ex_name,ex_version,ex_prompt_version,ex_number,timestamp,index,time,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1,errors_dependencies_reversed,errors_dependencies_missing,errors_dependencies_extra,errors_measures_missing,errors_measures_extra,errors_fact_incorrect,errors_fact_false_fact,errors_attributes_shared_missing,errors_attributes_shared_extra,errors_attributes_shared_with_fact_root_missing,errors_attributes_shared_with_fact_root_extra,errors_miscellaneous_extra_disconnected_components,errors_miscellaneous_extra_tags
exercise-1,demand,rq5,1,2025-09-10T10-47-51,1,80.9580,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,INSTALLATION,['installationdate'],"[{'from': 'computer', 'to': 'model', 'label': 'tp'}, {'from': 'computer', 'to': 'brand', 'label': 'tp'}, {'from': 'brand', 'to': 'supplier', 'label': 'tp'}, {'from': 'supplier', 'to': 'city', 'label': 'tp'}, {'from': 'supplier', 'to': 'address', 'label': 'tp'}, {'from': 'software', 'to': 'description', 'label': 'tp'}, {'from': 'software', 'to': 'type', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'software', 'label': 'tp'}]","['model', 'type', 'computer', 'city', 'description', 'supplier', 'address', 'installation', 'brand', 'software']",['installationdate'],['date'],9,1,0,1.0,0.9,0.9474,10,1,1,0.9091,0.9091,0.9091,0,1,0,0,1,False,0,0,0,0,0,0,False
exercise-1,demand,rq5,1,2025-09-10T10-49-07,1,76.2016,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,INSTALLATION,['installationdate'],"[{'from': 'computer', 'to': 'model', 'label': 'tp'}, {'from': 'computer', 'to': 'brand', 'label': 'tp'}, {'from': 'brand', 'to': 'supplier', 'label': 'tp'}, {'from': 'supplier', 'to': 'city', 'label': 'tp'}, {'from': 'supplier', 'to': 'address', 'label': 'tp'}, {'from': 'software', 'to': 'description', 'label': 'tp'}, {'from': 'software', 'to': 'type', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'software', 'label': 'tp'}]","['model', 'type', 'computer', 'city', 'description', 'supplier', 'address', 'installation', 'brand', 'software']",['installationdate'],['date'],9,1,0,1.0,0.9,0.9474,10,1,1,0.9091,0.9091,0.9091,0,1,0,0,1,False,0,0,0,0,0,0,False
exercise-1,demand,rq5,1,2025-09-10T10-50-24,1,76.9546,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,INSTALLATION,['installationdate'],"[{'from': 'computer', 'to': 'model', 'label': 'tp'}, {'from': 'computer', 'to': 'brand', 'label': 'tp'}, {'from': 'brand', 'to': 'supplier', 'label': 'tp'}, {'from': 'supplier', 'to': 'city', 'label': 'tp'}, {'from': 'supplier', 'to': 'address', 'label': 'tp'}, {'from': 'software', 'to': 'description', 'label': 'tp'}, {'from': 'software', 'to': 'type', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'software', 'label': 'tp'}]","['model', 'type', 'computer', 'city', 'description', 'supplier', 'address', 'installation', 'brand', 'software']",['installationdate'],['date'],9,1,0,1.0,0.9,0.9474,10,1,1,0.9091,0.9091,0.9091,0,1,0,0,1,False,0,0,0,0,0,0,False
exercise-1,demand,rq5,1,2025-09-10T10-51-40,1,75.7126,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,INSTALLATION,['installationdate'],"[{'from': 'computer', 'to': 'model', 'label': 'tp'}, {'from': 'computer', 'to': 'brand', 'label': 'tp'}, {'from': 'brand', 'to': 'supplier', 'label': 'tp'}, {'from': 'supplier', 'to': 'city', 'label': 'tp'}, {'from': 'supplier', 'to': 'address', 'label': 'tp'}, {'from': 'software', 'to': 'description', 'label': 'tp'}, {'from': 'software', 'to': 'type', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'software', 'label': 'tp'}]","['model', 'type', 'computer', 'city', 'description', 'supplier', 'address', 'installation', 'brand', 'software']",['installationdate'],['date'],9,1,0,1.0,0.9,0.9474,10,1,1,0.9091,0.9091,0.9091,0,1,0,0,1,False,0,0,0,0,0,0,False
exercise-1,demand,rq5,1,2025-09-10T10-53-10,1,90.2933,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,INSTALLATION,['installationdate'],"[{'from': 'computer', 'to': 'model', 'label': 'tp'}, {'from': 'computer', 'to': 'brand', 'label': 'tp'}, {'from': 'brand', 'to': 'supplier', 'label': 'tp'}, {'from': 'supplier', 'to': 'city', 'label': 'tp'}, {'from': 'supplier', 'to': 'address', 'label': 'tp'}, {'from': 'software', 'to': 'description', 'label': 'tp'}, {'from': 'software', 'to': 'type', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'software', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'installationdate', 'label': 'fp'}]","['model', 'type', 'computer', 'city', 'description', 'supplier', 'address', 'installation', 'brand', 'software']",['installationdate'],['date'],9,1,1,0.9,0.9,0.9,10,1,1,0.9091,0.9091,0.9091,0,1,1,0,1,False,0,0,0,0,0,0,False
exercise-1,demand,rq5,1,2025-09-10T10-54-26,1,75.9190,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,INSTALLATION,['installationdate'],"[{'from': 'computer', 'to': 'model', 'label': 'tp'}, {'from': 'computer', 'to': 'brand', 'label': 'tp'}, {'from': 'brand', 'to': 'supplier', 'label': 'tp'}, {'from': 'supplier', 'to': 'city', 'label': 'tp'}, {'from': 'supplier', 'to': 'address', 'label': 'tp'}, {'from': 'software', 'to': 'description', 'label': 'tp'}, {'from': 'software', 'to': 'type', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'software', 'label': 'tp'}]","['model', 'type', 'computer', 'city', 'description', 'supplier', 'address', 'installation', 'brand', 'software']",['installationdate'],['date'],9,1,0,1.0,0.9,0.9474,10,1,1,0.9091,0.9091,0.9091,0,1,0,0,1,False,0,0,0,0,0,0,False
exercise-1,demand,rq5,1,2025-09-10T10-55-57,1,90.7105,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,INSTALLATION,['installationdate'],"[{'from': 'computer', 'to': 'model', 'label': 'tp'}, {'from': 'computer', 'to': 'brand', 'label': 'tp'}, {'from': 'brand', 'to': 'supplier', 'label': 'tp'}, {'from': 'supplier', 'to': 'city', 'label': 'tp'}, {'from': 'supplier', 'to': 'address', 'label': 'tp'}, {'from': 'software', 'to': 'description', 'label': 'tp'}, {'from': 'software', 'to': 'type', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'software', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'installationdate', 'label': 'fp'}]","['model', 'type', 'computer', 'city', 'description', 'supplier', 'address', 'installation', 'brand', 'software']",['installationdate'],['date'],9,1,1,0.9,0.9,0.9,10,1,1,0.9091,0.9091,0.9091,0,1,1,0,1,False,0,0,0,0,0,0,False
exercise-1,demand,rq5,1,2025-09-10T10-57-13,1,75.6557,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,INSTALLATION,['installationdate'],"[{'from': 'computer', 'to': 'model', 'label': 'tp'}, {'from': 'computer', 'to': 'brand', 'label': 'tp'}, {'from': 'brand', 'to': 'supplier', 'label': 'tp'}, {'from': 'supplier', 'to': 'city', 'label': 'tp'}, {'from': 'supplier', 'to': 'address', 'label': 'tp'}, {'from': 'software', 'to': 'description', 'label': 'tp'}, {'from': 'software', 'to': 'type', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'software', 'label': 'tp'}]","['model', 'type', 'computer', 'city', 'description', 'supplier', 'address', 'installation', 'brand', 'software']",['installationdate'],['date'],9,1,0,1.0,0.9,0.9474,10,1,1,0.9091,0.9091,0.9091,0,1,0,0,1,False,0,0,0,0,0,0,False
exercise-1,demand,rq5,1,2025-09-10T10-58-28,1,75.9228,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,INSTALLATION,['installationdate'],"[{'from': 'computer', 'to': 'model', 'label': 'tp'}, {'from': 'computer', 'to': 'brand', 'label': 'tp'}, {'from': 'brand', 'to': 'supplier', 'label': 'tp'}, {'from': 'supplier', 'to': 'city', 'label': 'tp'}, {'from': 'supplier', 'to': 'address', 'label': 'tp'}, {'from': 'software', 'to': 'description', 'label': 'tp'}, {'from': 'software', 'to': 'type', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'software', 'label': 'tp'}]","['model', 'type', 'computer', 'city', 'description', 'supplier', 'address', 'installation', 'brand', 'software']",['installationdate'],['date'],9,1,0,1.0,0.9,0.9474,10,1,1,0.9091,0.9091,0.9091,0,1,0,0,1,False,0,0,0,0,0,0,False
exercise-1,demand,rq5,1,2025-09-10T10-59-44,1,75.7138,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,INSTALLATION,['installationdate'],"[{'from': 'computer', 'to': 'model', 'label': 'tp'}, {'from': 'computer', 'to': 'brand', 'label': 'tp'}, {'from': 'brand', 'to': 'supplier', 'label': 'tp'}, {'from': 'supplier', 'to': 'city', 'label': 'tp'}, {'from': 'supplier', 'to': 'address', 'label': 'tp'}, {'from': 'software', 'to': 'description', 'label': 'tp'}, {'from': 'software', 'to': 'type', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'software', 'label': 'tp'}]","['model', 'type', 'computer', 'city', 'description', 'supplier', 'address', 'installation', 'brand', 'software']",['installationdate'],['date'],9,1,0,1.0,0.9,0.9474,10,1,1,0.9091,0.9091,0.9091,0,1,0,0,1,False,0,0,0,0,0,0,False
exercise-2,demand,rq5,2,2025-09-10T11-01-29,1,104.3888,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,PURCHASE,"['quantity', 'revenue', 'unitPrice']","[{'from': 'article', 'to': 'articleName', 'label': 'tp'}, {'from': 'article', 'to': 'type', 'label': 'tp'}, {'from': 'store', 'to': 'storeName', 'label': 'tp'}, {'from': 'store', 'to': 'address', 'label': 'tp'}, {'from': 'store', 'to': 'region', 'label': 'tp'}, {'from': 'region', 'to': 'state', 'label': 'tp'}, {'from': 'state', 'to': 'country', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'article', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'store', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'date', 'label': 'tp'}]","['articlename', 'state', 'purchase', 'type', 'country', 'store', 'region', 'unitprice', 'storename', 'date', 'address', 'article', 'revenue', 'quantity']",[],[],13,0,0,1.0,1.0,1.0,14,0,0,1.0,1.0,1.0,0,0,0,0,0,False,0,0,0,0,0,0,False
exercise-2,demand,rq5,2,2025-09-10T11-03-13,1,104.7807,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,PURCHASE,"['quantity', 'revenue', 'unitPrice']","[{'from': 'article', 'to': 'articleName', 'label': 'tp'}, {'from': 'article', 'to': 'type', 'label': 'tp'}, {'from': 'store', 'to': 'storeName', 'label': 'tp'}, {'from': 'store', 'to': 'address', 'label': 'tp'}, {'from': 'store', 'to': 'region', 'label': 'tp'}, {'from': 'region', 'to': 'state', 'label': 'tp'}, {'from': 'state', 'to': 'country', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'article', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'store', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'date', 'label': 'tp'}]","['articlename', 'state', 'purchase', 'type', 'country', 'store', 'region', 'unitprice', 'storename', 'date', 'address', 'article', 'revenue', 'quantity']",[],[],13,0,0,1.0,1.0,1.0,14,0,0,1.0,1.0,1.0,0,0,0,0,0,False,0,0,0,0,0,0,False
exercise-2,demand,rq5,2,2025-09-10T11-04-58,1,104.3406,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,PURCHASE,"['quantity', 'revenue', 'unitPrice']","[{'from': 'article', 'to': 'articleName', 'label': 'tp'}, {'from': 'article', 'to': 'type', 'label': 'tp'}, {'from': 'store', 'to': 'storeName', 'label': 'tp'}, {'from': 'store', 'to': 'address', 'label': 'tp'}, {'from': 'store', 'to': 'region', 'label': 'tp'}, {'from': 'region', 'to': 'state', 'label': 'tp'}, {'from': 'state', 'to': 'country', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'article', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'store', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'date', 'label': 'tp'}]","['articlename', 'state', 'purchase', 'type', 'country', 'store', 'region', 'unitprice', 'storename', 'date', 'address', 'article', 'revenue', 'quantity']",[],[],13,0,0,1.0,1.0,1.0,14,0,0,1.0,1.0,1.0,0,0,0,0,0,False,0,0,0,0,0,0,False
exercise-2,demand,rq5,2,2025-09-10T11-06-42,1,104.3637,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,PURCHASE,"['quantity', 'revenue', 'unitPrice']","[{'from': 'article', 'to': 'articleName', 'label': 'tp'}, {'from': 'article', 'to': 'type', 'label': 'tp'}, {'from': 'store', 'to': 'storeName', 'label': 'tp'}, {'from': 'store', 'to': 'address', 'label': 'tp'}, {'from': 'store', 'to': 'region', 'label': 'tp'}, {'from': 'region', 'to': 'state', 'label': 'tp'}, {'from': 'state', 'to': 'country', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'article', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'store', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'date', 'label': 'tp'}]","['articlename', 'state', 'purchase', 'type', 'country', 'store', 'region', 'unitprice', 'storename', 'date', 'address', 'article', 'revenue', 'quantity']",[],[],13,0,0,1.0,1.0,1.0,14,0,0,1.0,1.0,1.0,0,0,0,0,0,False,0,0,0,0,0,0,False
