ex_name,ex_version,ex_prompt_version,ex_number,timestamp,index,time,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1,errors_dependencies_reversed,errors_dependencies_missing,errors_dependencies_extra,errors_measures_missing,errors_measures_extra,errors_fact_incorrect,errors_fact_false_fact,errors_attributes_shared_missing,errors_attributes_shared_extra,errors_attributes_shared_with_fact_root_missing,errors_attributes_shared_with_fact_root_extra,errors_miscellaneous_extra_disconnected_components,errors_miscellaneous_extra_tags
exercise-1,sql,rq3-dec,1,2025-09-08T22-51-15,1,173.0979,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,INSTALLATIONS,['SOFTWARE.SoftwareDescription'],"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['suppliers.suppliername', 'computer.codcomputer', 'computer.model', 'suppliers.suppliercity', 'suppliers.supplieraddress', 'installations', 'installations.installationdate', 'software.type', 'supplies.brand', 'software.codsoftw']","['software.softwaredescription', 'supplies.suppliername', 'computer.brand']",['software.softwaredescription'],8,2,2,0.8,0.8,0.8,10,1,3,0.7692,0.9091,0.8333,0,2,2,0,1,False,2,0,0,0,0,2,False
exercise-1,sql,rq3-dec,1,2025-09-08T22-53-39,1,144.2289,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,INSTALLATIONS,['SOFTWARE.SoftwareDescription'],"[{'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['suppliers.suppliername', 'computer.codcomputer', 'computer.model', 'installations', 'installations.installationdate', 'software.type', 'software.codsoftw', 'supplies.brand']","['software.softwaredescription', 'supplies.suppliername', 'computer.brand']","['suppliers.suppliercity', 'suppliers.supplieraddress', 'software.softwaredescription']",6,4,3,0.6667,0.6,0.6316,8,3,3,0.7273,0.7273,0.7273,0,4,3,0,1,False,1,0,0,0,0,1,False
exercise-1,sql,rq3-dec,1,2025-09-08T22-56-25,1,165.4962,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,INSTALLATIONS,['SOFTWARE.SoftwareDescription'],"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'SUPPLIES.Brand', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['suppliers.suppliername', 'computer.codcomputer', 'computer.model', 'suppliers.suppliercity', 'suppliers.supplieraddress', 'installations', 'installations.installationdate', 'software.type', 'supplies.brand', 'software.codsoftw']","['software.softwaredescription', 'supplies.suppliername', 'computer.brand']",['software.softwaredescription'],9,1,2,0.8182,0.9,0.8571,10,1,3,0.7692,0.9091,0.8333,0,1,2,0,1,False,1,0,0,0,0,1,False
exercise-1,sql,rq3-dec,1,2025-09-08T22-59-04,1,159.1324,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,INSTALLATIONS,['COMPUTER.Model'],"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'SUPPLIES.Brand', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['suppliers.suppliername', 'computer.codcomputer', 'suppliers.suppliercity', 'suppliers.supplieraddress', 'installations.installationdate', 'installations', 'software.type', 'software.softwaredescription', 'supplies.brand', 'software.codsoftw']","['computer.model', 'supplies.suppliername', 'computer.brand']",['computer.model'],8,2,2,0.8,0.8,0.8,10,1,3,0.7692,0.9091,0.8333,0,2,2,0,1,False,1,0,0,0,0,1,False
exercise-1,sql,rq3-dec,1,2025-09-08T23-01-28,1,143.5775,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,INSTALLATIONS,['SOFTWARE.SoftwareDescription'],"[{'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['suppliers.suppliername', 'computer.codcomputer', 'computer.model', 'installations', 'installations.installationdate', 'software.type', 'software.codsoftw', 'supplies.brand']","['software.softwaredescription', 'supplies.suppliername', 'computer.brand']","['suppliers.suppliercity', 'suppliers.supplieraddress', 'software.softwaredescription']",6,4,3,0.6667,0.6,0.6316,8,3,3,0.7273,0.7273,0.7273,0,4,3,0,1,False,1,0,0,0,0,1,False
exercise-1,sql,rq3-dec,1,2025-09-08T23-03-50,1,142.4457,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,INSTALLATIONS,['SOFTWARE.SoftwareDescription'],"[{'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['suppliers.suppliername', 'computer.codcomputer', 'computer.model', 'installations', 'installations.installationdate', 'software.type', 'software.codsoftw', 'supplies.brand']","['software.softwaredescription', 'supplies.suppliername', 'computer.brand']","['suppliers.suppliercity', 'suppliers.supplieraddress', 'software.softwaredescription']",6,4,3,0.6667,0.6,0.6316,8,3,3,0.7273,0.7273,0.7273,0,4,3,0,1,False,1,0,0,0,0,1,False
exercise-1,sql,rq3-dec,1,2025-09-08T23-06-40,1,170.0121,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,INSTALLATIONS,"['SOFTWARE.SoftwareDescription', 'SOFTWARE.Type']","[{'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'fp'}, {'from': 'COMPUTER.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['suppliers.suppliername', 'computer.codcomputer', 'computer.model', 'suppliers.suppliercity', 'suppliers.supplieraddress', 'installations', 'installations.installationdate', 'supplies.brand', 'software.codsoftw']","['software.softwaredescription', 'computer.brand', 'supplies.suppliername', 'software.type']","['software.softwaredescription', 'software.type']",6,4,5,0.5455,0.6,0.5714,9,2,4,0.6923,0.8182,0.75,0,4,5,0,2,False,1,0,0,0,0,1,False
exercise-1,sql,rq3-dec,1,2025-09-08T23-09-16,1,156.0257,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,INSTALLATIONS,['COMPUTER.Model'],"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'SUPPLIES.Brand', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['suppliers.suppliername', 'computer.codcomputer', 'suppliers.suppliercity', 'suppliers.supplieraddress', 'installations.installationdate', 'installations', 'software.type', 'software.softwaredescription', 'supplies.brand', 'software.codsoftw']","['computer.model', 'supplies.suppliername', 'computer.brand']",['computer.model'],8,2,2,0.8,0.8,0.8,10,1,3,0.7692,0.9091,0.8333,0,2,2,0,1,False,1,0,0,0,0,1,False
exercise-1,sql,rq3-dec,1,2025-09-08T23-12-07,1,171.3571,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,INSTALLATIONS,"['SOFTWARE.SoftwareDescription', 'SOFTWARE.Type']","[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'SUPPLIES.Brand', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['suppliers.suppliername', 'computer.codcomputer', 'computer.model', 'suppliers.suppliercity', 'suppliers.supplieraddress', 'installations', 'installations.installationdate', 'supplies.brand', 'software.codsoftw']","['software.softwaredescription', 'computer.brand', 'supplies.suppliername', 'software.type']","['software.softwaredescription', 'software.type']",9,1,2,0.8182,0.9,0.8571,9,2,4,0.6923,0.8182,0.75,0,1,2,0,2,False,1,0,0,0,0,1,False
exercise-1,sql,rq3-dec,1,2025-09-08T23-14-44,1,156.2960,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,INSTALLATIONS,['COMPUTER.Model'],"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'SUPPLIES.Brand', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['suppliers.suppliername', 'computer.codcomputer', 'suppliers.suppliercity', 'suppliers.supplieraddress', 'installations.installationdate', 'installations', 'software.type', 'software.softwaredescription', 'supplies.brand', 'software.codsoftw']","['computer.model', 'supplies.suppliername', 'computer.brand']",['computer.model'],8,2,2,0.8,0.8,0.8,10,1,3,0.7692,0.9091,0.8333,0,2,2,0,1,False,1,0,0,0,0,1,False
