ex_name,ex_version,ex_prompt_version,ex_number,timestamp,index,time,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1,errors_dependencies_reversed,errors_dependencies_missing,errors_dependencies_extra,errors_measures_missing,errors_measures_extra,errors_fact_incorrect,errors_fact_false_fact,errors_attributes_shared_missing,errors_attributes_shared_extra,errors_attributes_shared_with_fact_root_missing,errors_attributes_shared_with_fact_root_extra,errors_miscellaneous_extra_disconnected_components,errors_miscellaneous_extra_tags
exercise-1,sql,rq3-dec,1,2025-09-08T12-28-38,1,84.6379,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,INSTALLATIONS,"['COMPUTER.Model', 'SOFTWARE.Type', 'SUPPLIES.SupplierName']","[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'fp'}]","['installations', 'computer.codcomputer', 'supplies.brand', 'software.codsoftw', 'installations.installationdate']","['software.type', 'computer.model', 'installations.codsoftw', 'computer.brand', 'installations.codcomputer', 'supplies.suppliername']","['software.softwaredescription', 'software.type', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'computer.model', 'suppliers.suppliername']",1,9,10,0.0909,0.1,0.0952,5,6,6,0.4545,0.4545,0.4545,0,9,10,0,3,False,1,0,2,0,0,1,False
exercise-1,sql,rq3-dec,1,2025-09-08T12-30-03,1,85.1142,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,INSTALLATIONS,"['COMPUTER.Model', 'SOFTWARE.Type', 'SUPPLIES.SupplierName']","[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierAddress', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}]","['installations', 'computer.codcomputer', 'supplies.brand', 'software.codsoftw', 'installations.installationdate']","['computer.brand', 'software.type', 'supplies.supplieraddress', 'computer.model', 'installations.codsoftw', 'supplies.suppliercity', 'installations.codcomputer', 'supplies.suppliername']","['software.softwaredescription', 'software.type', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'computer.model', 'suppliers.suppliername']",1,9,12,0.0769,0.1,0.087,5,6,8,0.3846,0.4545,0.4167,1,8,11,0,3,False,1,0,2,0,0,2,False
exercise-1,sql,rq3-dec,1,2025-09-08T12-31-30,1,87.2513,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,INSTALLATIONS,"['COMPUTER.Model', 'SOFTWARE.Type', 'SUPPLIES.SupplierName']","[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierAddress', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}]","['installations', 'computer.codcomputer', 'supplies.brand', 'software.codsoftw', 'installations.installationdate']","['computer.brand', 'software.type', 'supplies.supplieraddress', 'computer.model', 'installations.codsoftw', 'supplies.suppliercity', 'installations.codcomputer', 'supplies.suppliername']","['software.softwaredescription', 'software.type', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'computer.model', 'suppliers.suppliername']",1,9,12,0.0769,0.1,0.087,5,6,8,0.3846,0.4545,0.4167,1,8,11,0,3,False,1,0,2,0,0,2,False
exercise-1,sql,rq3-dec,1,2025-09-08T12-33-16,1,106.1580,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,INSTALLATIONS,"['COMPUTER.Model', 'SOFTWARE.Type', 'SUPPLIES.SupplierName']","[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'fp'}]","['installations', 'computer.codcomputer', 'supplies.brand', 'software.codsoftw', 'installations.installationdate']","['software.type', 'computer.model', 'installations.codsoftw', 'computer.brand', 'installations.codcomputer', 'supplies.suppliername']","['software.softwaredescription', 'software.type', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'computer.model', 'suppliers.suppliername']",1,9,16,0.0588,0.1,0.0741,5,6,6,0.4545,0.4545,0.4545,1,8,15,0,3,False,1,0,4,0,0,0,False
exercise-1,sql,rq3-dec,1,2025-09-08T12-34-20,1,64.0572,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,INSTALLATIONS,"['COMPUTER.Model', 'SOFTWARE.Type', 'SUPPLIES.SupplierName']","[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}]","['software.codsoftw', 'installations', 'computer.codcomputer', 'supplies.brand']","['software.type', 'computer.model', 'installations.codsoftw', 'computer.brand', 'installations.codcomputer', 'supplies.suppliername']","['software.softwaredescription', 'software.type', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'computer.model', 'suppliers.suppliername', 'installations.installationdate']",1,9,8,0.1111,0.1,0.1053,4,7,6,0.4,0.3636,0.381,0,9,8,0,3,False,1,0,1,0,0,2,False
exercise-1,sql,rq3-dec,1,2025-09-08T12-35-34,1,73.8379,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,INSTALLATIONS,"['COMPUTER.Model', 'SOFTWARE.Type', 'SUPPLIES.SupplierName']","[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SOFTWARE.Type', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierAddress', 'label': 'fp'}]","['software.softwaredescription', 'installations', 'computer.codcomputer', 'supplies.brand', 'software.codsoftw']","['computer.brand', 'software.type', 'supplies.supplieraddress', 'computer.model', 'installations.codsoftw', 'supplies.suppliercity', 'installations.codcomputer', 'supplies.suppliername']","['software.type', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'computer.model', 'suppliers.suppliername', 'installations.installationdate']",1,9,9,0.1,0.1,0.1,5,6,8,0.3846,0.4545,0.4167,1,8,8,0,3,False,2,0,1,0,0,1,False
exercise-1,sql,rq3-dec,1,2025-09-08T12-36-57,1,82.3485,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,INSTALLATIONS,"['COMPUTER.Model', 'SOFTWARE.Type', 'SUPPLIES.SupplierName']","[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierAddress', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}]","['installations', 'computer.codcomputer', 'supplies.brand', 'software.codsoftw', 'installations.installationdate']","['computer.brand', 'software.type', 'supplies.supplieraddress', 'computer.model', 'installations.codsoftw', 'supplies.suppliercity', 'installations.codcomputer', 'supplies.suppliername']","['software.softwaredescription', 'software.type', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'computer.model', 'suppliers.suppliername']",1,9,12,0.0769,0.1,0.087,5,6,8,0.3846,0.4545,0.4167,1,8,11,0,3,False,1,0,2,0,0,2,False
exercise-1,sql,rq3-dec,1,2025-09-08T12-37-52,1,55.3466,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,INSTALLATIONS,"['COMPUTER.Brand', 'SOFTWARE.Type', 'SUPPLIES.SupplierName']","[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}]","['software.codsoftw', 'installations', 'computer.codcomputer', 'supplies.brand']","['software.type', 'installations.codsoftw', 'computer.brand', 'installations.codcomputer', 'supplies.suppliername']","['software.softwaredescription', 'software.type', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'computer.model', 'suppliers.suppliername', 'installations.installationdate']",1,9,6,0.1429,0.1,0.1176,4,7,5,0.4444,0.3636,0.4,0,9,6,0,3,False,3,0,2,0,0,2,False
exercise-1,sql,rq3-dec,1,2025-09-08T12-39-24,1,91.8963,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,INSTALLATIONS,"['COMPUTER.Model', 'SOFTWARE.Type', 'SUPPLIES.SupplierName']","[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}]","['installations', 'computer.codcomputer', 'supplies.brand', 'software.codsoftw', 'installations.installationdate']","['software.type', 'computer.model', 'installations.codsoftw', 'computer.brand', 'installations.codcomputer', 'supplies.suppliername']","['software.softwaredescription', 'software.type', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'computer.model', 'suppliers.suppliername']",1,9,14,0.0667,0.1,0.08,5,6,6,0.4545,0.4545,0.4545,1,8,13,0,3,False,1,0,4,0,0,0,False
exercise-1,sql,rq3-dec,1,2025-09-08T12-40-38,1,74.2833,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,INSTALLATIONS,"['COMPUTER.Model', 'SOFTWARE.Type', 'SUPPLIES.SupplierName']","[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'fp'}]","['installations', 'supplies.brand', 'software.codsoftw', 'suppliers.suppliername', 'computer.codcomputer', 'installations.installationdate']","['software.type', 'computer.model', 'installations.codsoftw', 'computer.brand', 'installations.codcomputer', 'supplies.suppliername']","['software.softwaredescription', 'software.type', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'computer.model']",1,9,10,0.0909,0.1,0.0952,6,5,6,0.5,0.5455,0.5217,0,9,10,0,3,False,1,0,2,0,0,0,False
