ex_name,ex_version,ex_prompt_version,ex_number,timestamp,index,time,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1,errors_dependencies_reversed,errors_dependencies_missing,errors_dependencies_extra,errors_measures_missing,errors_measures_extra,errors_fact_incorrect,errors_fact_false_fact,errors_attributes_shared_missing,errors_attributes_shared_extra,errors_attributes_shared_with_fact_root_missing,errors_attributes_shared_with_fact_root_extra,errors_miscellaneous_extra_disconnected_components,errors_miscellaneous_extra_tags
exercise-1,sql,rq3-dec,1,2025-09-11T14-56-34,1,149.8232,mistral-7B-inst-v0.3-hf,mistral-7,,,0.2,,,,0.9,,INSTALLATIONS,['COMPUTER.Model'],"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer,COMPUTER.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS.CodComputer,INSTALLATIONS.CodSoftw', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'fp'}]","['software.type', 'supplies.brand', 'software.codsoftw', 'software.softwaredescription', 'installations', 'suppliers.suppliername', 'installations.installationdate']","['installations.codsoftw,installations.codcomputer', 'computer.model', 'computer.codcomputer,computer.brand']","['computer.codcomputer', 'suppliers.suppliercity', 'computer.model', 'suppliers.supplieraddress']",2,8,4,0.3333,0.2,0.25,7,4,3,0.7,0.6364,0.6667,0,8,4,0,1,False,3,0,0,0,0,4,False
exercise-1,sql,rq3-dec,1,2025-09-11T14-58-52,1,137.8726,mistral-7B-inst-v0.3-hf,mistral-7,,,0.2,,,,0.9,,INSTALLATIONS,['COMPUTER.Model'],"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer,COMPUTER.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS.CodComputer,INSTALLATIONS.CodSoftw', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'fp'}]","['software.type', 'supplies.brand', 'software.codsoftw', 'software.softwaredescription', 'installations', 'suppliers.suppliername', 'installations.installationdate']","['installations.codsoftw,installations.codcomputer', 'computer.model', 'computer.codcomputer,computer.brand']","['computer.codcomputer', 'suppliers.suppliercity', 'computer.model', 'suppliers.supplieraddress']",2,8,4,0.3333,0.2,0.25,7,4,3,0.7,0.6364,0.6667,0,8,4,0,1,False,3,0,0,0,0,4,False
exercise-1,sql,rq3-dec,1,2025-09-11T15-01-08,1,136.5373,mistral-7B-inst-v0.3-hf,mistral-7,,,0.2,,,,0.9,,INSTALLATIONS,['COMPUTER.Model'],"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer,COMPUTER.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS.CodComputer,INSTALLATIONS.CodSoftw', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'fp'}]","['software.type', 'supplies.brand', 'software.codsoftw', 'software.softwaredescription', 'installations', 'suppliers.suppliername', 'installations.installationdate']","['installations.codsoftw,installations.codcomputer', 'computer.model', 'computer.codcomputer,computer.brand']","['computer.codcomputer', 'suppliers.suppliercity', 'computer.model', 'suppliers.supplieraddress']",2,8,4,0.3333,0.2,0.25,7,4,3,0.7,0.6364,0.6667,0,8,4,0,1,False,3,0,0,0,0,4,False
exercise-1,sql,rq3-dec,1,2025-09-11T15-03-24,1,135.8345,mistral-7B-inst-v0.3-hf,mistral-7,,,0.2,,,,0.9,,INSTALLATIONS,['COMPUTER.Model'],"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer,COMPUTER.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS.CodComputer,INSTALLATIONS.CodSoftw', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'fp'}]","['software.type', 'supplies.brand', 'software.codsoftw', 'software.softwaredescription', 'installations', 'suppliers.suppliername', 'installations.installationdate']","['installations.codsoftw,installations.codcomputer', 'computer.model', 'computer.codcomputer,computer.brand']","['computer.codcomputer', 'suppliers.suppliercity', 'computer.model', 'suppliers.supplieraddress']",2,8,4,0.3333,0.2,0.25,7,4,3,0.7,0.6364,0.6667,0,8,4,0,1,False,3,0,0,0,0,4,False
exercise-1,sql,rq3-dec,1,2025-09-11T15-05-42,1,138.0522,mistral-7B-inst-v0.3-hf,mistral-7,,,0.2,,,,0.9,,INSTALLATIONS,['COMPUTER.Model'],"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer,COMPUTER.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS.CodComputer,INSTALLATIONS.CodSoftw', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'fp'}]","['software.type', 'supplies.brand', 'software.codsoftw', 'software.softwaredescription', 'installations', 'suppliers.suppliername', 'installations.installationdate']","['installations.codsoftw,installations.codcomputer', 'computer.model', 'computer.codcomputer,computer.brand']","['computer.codcomputer', 'suppliers.suppliercity', 'computer.model', 'suppliers.supplieraddress']",2,8,4,0.3333,0.2,0.25,7,4,3,0.7,0.6364,0.6667,0,8,4,0,1,False,3,0,0,0,0,4,False
exercise-1,sql,rq3-dec,1,2025-09-11T15-07-57,1,134.7640,mistral-7B-inst-v0.3-hf,mistral-7,,,0.2,,,,0.9,,INSTALLATIONS,['COMPUTER.Model'],"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer,COMPUTER.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS.CodComputer,INSTALLATIONS.CodSoftw', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'fp'}]","['software.type', 'supplies.brand', 'software.codsoftw', 'software.softwaredescription', 'installations', 'suppliers.suppliername', 'installations.installationdate']","['installations.codsoftw,installations.codcomputer', 'computer.model', 'computer.codcomputer,computer.brand']","['computer.codcomputer', 'suppliers.suppliercity', 'computer.model', 'suppliers.supplieraddress']",2,8,4,0.3333,0.2,0.25,7,4,3,0.7,0.6364,0.6667,0,8,4,0,1,False,3,0,0,0,0,4,False
exercise-1,sql,rq3-dec,1,2025-09-11T15-10-24,1,146.6744,mistral-7B-inst-v0.3-hf,mistral-7,,,0.2,,,,0.9,,INSTALLATIONS,['COMPUTER.Model'],"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['computer.codcomputer', 'software.type', 'supplies.brand', 'software.codsoftw', 'installations', 'software.softwaredescription', 'suppliers.suppliername', 'installations.installationdate']","['computer.brand', 'computer.model']","['suppliers.suppliercity', 'computer.model', 'suppliers.supplieraddress']",5,5,3,0.625,0.5,0.5556,8,3,2,0.8,0.7273,0.7619,0,5,3,0,1,False,0,0,0,0,0,2,False
exercise-1,sql,rq3-dec,1,2025-09-11T15-12-50,1,146.0606,mistral-7B-inst-v0.3-hf,mistral-7,,,0.2,,,,0.9,,INSTALLATIONS,['COMPUTER.Model'],"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['computer.codcomputer', 'software.type', 'supplies.brand', 'software.codsoftw', 'installations', 'software.softwaredescription', 'suppliers.suppliername', 'installations.installationdate']","['computer.brand', 'computer.model']","['suppliers.suppliercity', 'computer.model', 'suppliers.supplieraddress']",5,5,3,0.625,0.5,0.5556,8,3,2,0.8,0.7273,0.7619,0,5,3,0,1,False,0,0,0,0,0,2,False
exercise-1,sql,rq3-dec,1,2025-09-11T15-15-15,1,144.8017,mistral-7B-inst-v0.3-hf,mistral-7,,,0.2,,,,0.9,,INSTALLATIONS,['COMPUTER.Model'],"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['computer.codcomputer', 'software.type', 'supplies.brand', 'software.codsoftw', 'installations', 'software.softwaredescription', 'suppliers.suppliername', 'installations.installationdate']","['computer.brand', 'computer.model']","['suppliers.suppliercity', 'computer.model', 'suppliers.supplieraddress']",5,5,3,0.625,0.5,0.5556,8,3,2,0.8,0.7273,0.7619,0,5,3,0,1,False,0,0,0,0,0,2,False
exercise-1,sql,rq3-dec,1,2025-09-11T15-17-29,1,134.4224,mistral-7B-inst-v0.3-hf,mistral-7,,,0.2,,,,0.9,,INSTALLATIONS,['COMPUTER.Model'],"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer,COMPUTER.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS.CodComputer,INSTALLATIONS.CodSoftw', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'fp'}]","['software.type', 'supplies.brand', 'software.codsoftw', 'software.softwaredescription', 'installations', 'suppliers.suppliername', 'installations.installationdate']","['installations.codsoftw,installations.codcomputer', 'computer.model', 'computer.codcomputer,computer.brand']","['computer.codcomputer', 'suppliers.suppliercity', 'computer.model', 'suppliers.supplieraddress']",2,8,4,0.3333,0.2,0.25,7,4,3,0.7,0.6364,0.6667,0,8,4,0,1,False,3,0,0,0,0,4,False
