ex_name,ex_version,ex_prompt_version,ex_number,timestamp,index,time,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1,errors_dependencies_reversed,errors_dependencies_missing,errors_dependencies_extra,errors_measures_missing,errors_measures_extra,errors_fact_incorrect,errors_fact_false_fact,errors_attributes_shared_missing,errors_attributes_shared_extra,errors_attributes_shared_with_fact_root_missing,errors_attributes_shared_with_fact_root_extra,errors_miscellaneous_extra_disconnected_components,errors_miscellaneous_extra_tags
exercise-1,demand,rq3-dec,1,2025-04-02T01-24-29,1,155.3333,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,INSTALLATION,"['COMPUTER.model', 'COMPUTER.brand']","[{'from': 'COMPUTER,brand', 'to': 'BRAND,brand', 'label': 'fp'}, {'from': 'BRAND,brand', 'to': 'SUPPLIER,brand', 'label': 'fp'}, {'from': 'SUPPLIER,brand', 'to': 'SUPPLIER,city', 'label': 'fp'}, {'from': 'SUPPLIER,brand', 'to': 'SUPPLIER,address', 'label': 'fp'}, {'from': 'SOFTWARE,description', 'to': 'SOFTWARE,description', 'label': 'fp'}, {'from': 'SOFTWARE,type', 'to': 'type,type', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'COMPUTER,model', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'COMPUTER,brand', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'SOFTWARE,description', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'SOFTWARE,type', 'label': 'fp'}]","['brand,brand', 'installation', 'type']","['software,description', 'supplier,address', 'supplier,city', 'computer.model', 'computer.brand', 'brand,computer', 'supplier,brand', 'model,computer', 'software,type']","['computer', 'description', 'date', 'model', 'address', 'city', 'supplier', 'software']",0,10,10,0.0,0.0,0,3,8,9,0.25,0.2727,0.2609,0,10,10,0,2,False,0,0,1,0,1,0,False
exercise-1,demand,rq3-dec,1,2025-04-02T01-26-37,1,128.1211,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,INSTALLATION,['COMPUTER.model'],"[{'from': 'COMPUTER,computerCode', 'to': 'COMPUTER,brand', 'label': 'fp'}, {'from': 'COMPUTER,computerCode', 'to': 'COMPUTER,model', 'label': 'fp'}, {'from': 'BRAND,brandCode', 'to': 'BRAND,brandName', 'label': 'fp'}, {'from': 'BRAND,brandCode', 'to': 'SUPPLIER,supplierCode', 'label': 'fp'}, {'from': 'SUPPLIER,supplierCode', 'to': 'SUPPLIER,city', 'label': 'fp'}, {'from': 'SUPPLIER,supplierCode', 'to': 'SUPPLIER,address', 'label': 'fp'}, {'from': 'SOFTWARE,softwareCode', 'to': 'SOFTWARE,description', 'label': 'fp'}, {'from': 'SOFTWARE,softwareCode', 'to': 'SOFTWARE,type', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'COMPUTER,computerCode', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'SOFTWARE,softwareCode', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'COMPUTER,model', 'label': 'fp'}]",['installation'],"['software,description', 'software,softwarecode', 'supplier,address', 'supplier,city', 'brand,brandname', 'supplier,suppliercode', 'computer.model', 'computercode,computer', 'brandcode,brand', 'brand,computer', 'model,computer', 'software,type']","['brand', 'computer', 'description', 'date', 'type', 'model', 'address', 'city', 'supplier', 'software']",0,10,11,0.0,0.0,0,1,10,12,0.0769,0.0909,0.0833,0,10,11,0,1,False,1,0,1,0,1,1,False
exercise-1,demand,rq3-dec,1,2025-04-02T01-29-04,1,147.4695,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,INSTALLATION,"['COMPUTER.model', 'COMPUTER.brand', 'BRAND.supplier', 'SUPPLIER.city', 'SUPPLIER.address', 'SOFTWARE.description', 'SOFTWARE.type']","[{'from': 'COMPUTER,computerCode', 'to': 'COMPUTER,model', 'label': 'fp'}, {'from': 'COMPUTER,computerCode', 'to': 'COMPUTER,brand', 'label': 'fp'}, {'from': 'BRAND,brandCode', 'to': 'BRAND,supplier', 'label': 'fp'}, {'from': 'SUPPLIER,supplierCode', 'to': 'SUPPLIER,city', 'label': 'fp'}, {'from': 'SUPPLIER,supplierCode', 'to': 'SUPPLIER,address', 'label': 'fp'}, {'from': 'SOFTWARE,softwareCode', 'to': 'SOFTWARE,description', 'label': 'fp'}, {'from': 'SOFTWARE,softwareCode', 'to': 'SOFTWARE,type', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'COMPUTER,computerCode', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'SOFTWARE,softwareCode', 'label': 'fp'}, {'from': 'COMPUTER,brand', 'to': 'BRAND,brandCode', 'label': 'fp'}, {'from': 'BRAND,supplier', 'to': 'SUPPLIER,supplierCode', 'label': 'fp'}]",['installation'],"['software,description', 'software,softwarecode', 'supplier,address', 'supplier,city', 'software.type', 'supplier,suppliercode', 'computer.model', 'computercode,computer', 'software.description', 'brandcode,brand', 'supplier.address', 'supplier.city', 'computer.brand', 'brand.supplier', 'brand,computer', 'supplier,brand', 'model,computer', 'software,type']","['brand', 'computer', 'description', 'date', 'type', 'model', 'address', 'city', 'supplier', 'software']",0,10,11,0.0,0.0,0,1,10,18,0.0526,0.0909,0.0667,0,10,11,0,7,False,0,0,0,0,0,0,False
exercise-1,demand,rq3-dec,1,2025-04-02T01-31-17,1,132.4456,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,INSTALLATION,"['COMPUTER.model', 'COMPUTER.brand']","[{'from': 'SUPPLIER,supplierCode', 'to': 'SUPPLIER,supplierName', 'label': 'fp'}, {'from': 'SUPPLIER,supplierCode', 'to': 'SUPPLIER,city', 'label': 'fp'}, {'from': 'SUPPLIER,supplierCode', 'to': 'SUPPLIER,address', 'label': 'fp'}, {'from': 'COMPUTER,computerCode', 'to': 'COMPUTER,model', 'label': 'fp'}, {'from': 'COMPUTER,computerCode', 'to': 'COMPUTER,brand', 'label': 'fp'}, {'from': 'COMPUTER,computerCode', 'to': 'SUPPLIER,supplierCode', 'label': 'fp'}, {'from': 'SOFTWARE,softwareCode', 'to': 'SOFTWARE,description', 'label': 'fp'}, {'from': 'SOFTWARE,softwareCode', 'to': 'SOFTWARE,type', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'COMPUTER,computerCode', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'SOFTWARE,softwareCode', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'SOFTWARE,INSTALLATIONDATE', 'label': 'fp'}]",['installation'],"['software,description', 'software,softwarecode', 'supplier,address', 'supplier,city', 'software,installationdate', 'supplier,suppliercode', 'computer.model', 'computercode,computer', 'computer.brand', 'brand,computer', 'model,computer', 'software,type', 'supplier,suppliername']","['brand', 'computer', 'description', 'date', 'type', 'model', 'address', 'city', 'supplier', 'software']",0,10,11,0.0,0.0,0,1,10,13,0.0714,0.0909,0.08,0,10,11,0,2,False,0,0,0,0,0,0,False
exercise-1,demand,rq3-dec,1,2025-04-02T01-34-00,1,163.1571,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,INSTALLATION,['COMPUTER.model'],"[{'from': 'COMPUTER,computerCode', 'to': 'COMPUTER,model', 'label': 'fp'}, {'from': 'COMPUTER,computerCode', 'to': 'COMPUTER,brand', 'label': 'fp'}, {'from': 'COMPUTER,brand', 'to': 'BRAND,brandName', 'label': 'fp'}, {'from': 'BRAND,brandName', 'to': 'SUPPLIER,supplierName', 'label': 'fp'}, {'from': 'SUPPLIER,supplierName', 'to': 'SUPPLIER,address', 'label': 'fp'}, {'from': 'SUPPLIER,supplierName', 'to': 'SUPPLIER,city', 'label': 'fp'}, {'from': 'SOFTWARE,softwareCode', 'to': 'SOFTWARE,description', 'label': 'fp'}, {'from': 'SOFTWARE,softwareCode', 'to': 'SOFTWARE,type', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'COMPUTER,computerCode', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'SOFTWARE,softwareCode', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'COMPUTER,model', 'label': 'fp'}]",['installation'],"['software,description', 'software,softwarecode', 'supplier,address', 'supplier,city', 'brand,brandname', 'computer.model', 'computercode,computer', 'brand,computer', 'model,computer', 'software,type', 'supplier,suppliername']","['brand', 'computer', 'description', 'date', 'type', 'model', 'address', 'city', 'supplier', 'software']",0,10,11,0.0,0.0,0,1,10,11,0.0833,0.0909,0.087,0,10,11,0,1,False,0,0,1,0,1,0,False
exercise-2,demand,rq3-dec,2,2025-04-02T01-36-30,1,150.4447,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'ARTICLES,artId', 'to': 'ARTICLES,artName', 'label': 'fp'}, {'from': 'ARTICLES,artId', 'to': 'TYPES,typeId', 'label': 'fp'}, {'from': 'TYPES,typeId', 'to': 'TYPES,typeName', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'STORES,storeName', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'STORES,address', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'REGIONS,regId,REGIONS,state', 'label': 'fp'}, {'from': 'REGIONS,regId,REGIONS,state', 'to': 'REGIONS,regionName', 'label': 'fp'}, {'from': 'REGIONS,regId,REGIONS,state', 'to': 'REGIONS,state', 'label': 'fp'}, {'from': 'REGIONS,state', 'to': 'REGIONS,country', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,quantity', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,revenue', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'ARTICLES,artId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'STORES,storeId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,date', 'label': 'fp'}]",['purchase'],"['regions,regionname', 'stores,storeid', 'storename,stores', 'typename,types', 'typeid,types', 'purchase,revenue', 'country,regions', 'purchase,quantity', 'state,regions', 'purchase.quantity', 'regid,state,regions', 'artid,articles', 'stores,address', 'articles.unitprice', 'artname,articles', 'purchase,date', 'purchase.revenue']","['country', 'storename', 'revenue', 'date', 'unitprice', 'state', 'quantity', 'store', 'type', 'address', 'articlename', 'article', 'region']",0,13,14,0.0,0.0,0,1,13,17,0.0556,0.0714,0.0625,0,13,14,3,3,False,0,0,0,0,0,0,False
exercise-2,demand,rq3-dec,2,2025-04-02T01-39-05,1,154.8970,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'ARTICLES,artId', 'to': 'ARTICLES,artName', 'label': 'fp'}, {'from': 'ARTICLES,artId', 'to': 'TYPES,typeId', 'label': 'fp'}, {'from': 'TYPES,typeId', 'to': 'TYPES,typeName', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'STORES,storeName', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'STORES,address', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'REGIONS,regId,REGIONS,state', 'label': 'fp'}, {'from': 'REGIONS,regId,REGIONS,state', 'to': 'REGIONS,regionName', 'label': 'fp'}, {'from': 'REGIONS,regId,REGIONS,state', 'to': 'REGIONS,state', 'label': 'fp'}, {'from': 'REGIONS,state', 'to': 'REGIONS,country', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,quantity', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,revenue', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'ARTICLES,artId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'STORES,storeId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'ARTICLES,unitPrice', 'label': 'fp'}]",['purchase'],"['regions,regionname', 'stores,storeid', 'storename,stores', 'typename,types', 'typeid,types', 'purchase,revenue', 'country,regions', 'purchase,quantity', 'unitprice,articles', 'state,regions', 'purchase.quantity', 'regid,state,regions', 'artid,articles', 'stores,address', 'articles.unitprice', 'artname,articles', 'purchase.revenue']","['country', 'storename', 'revenue', 'date', 'unitprice', 'state', 'quantity', 'store', 'type', 'address', 'articlename', 'article', 'region']",0,13,14,0.0,0.0,0,1,13,17,0.0556,0.0714,0.0625,0,13,14,3,3,False,0,0,0,0,0,0,False
exercise-2,demand,rq3-dec,2,2025-04-02T01-41-37,1,151.1770,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'ARTICLES,artId', 'to': 'ARTICLES,artName', 'label': 'fp'}, {'from': 'ARTICLES,artId', 'to': 'TYPES,typeId', 'label': 'fp'}, {'from': 'TYPES,typeId', 'to': 'TYPES,typeName', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'STORES,storeName', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'STORES,address', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'REGIONS,regId,REGIONS,state', 'label': 'fp'}, {'from': 'REGIONS,regId,REGIONS,state', 'to': 'REGIONS,regionName', 'label': 'fp'}, {'from': 'REGIONS,regId,REGIONS,state', 'to': 'REGIONS,state', 'label': 'fp'}, {'from': 'REGIONS,state', 'to': 'REGIONS,country', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,quantity', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,revenue', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'ARTICLES,artId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'STORES,storeId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,date', 'label': 'fp'}]",['purchase'],"['regions,regionname', 'stores,storeid', 'storename,stores', 'typename,types', 'typeid,types', 'purchase,revenue', 'country,regions', 'purchase,quantity', 'state,regions', 'purchase.quantity', 'regid,state,regions', 'artid,articles', 'stores,address', 'articles.unitprice', 'artname,articles', 'purchase,date', 'purchase.revenue']","['country', 'storename', 'revenue', 'date', 'unitprice', 'state', 'quantity', 'store', 'type', 'address', 'articlename', 'article', 'region']",0,13,14,0.0,0.0,0,1,13,17,0.0556,0.0714,0.0625,0,13,14,3,3,False,0,0,0,0,0,0,False
exercise-2,demand,rq3-dec,2,2025-04-02T01-44-07,1,150.9156,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'ARTICLES,artId', 'to': 'ARTICLES,artName', 'label': 'fp'}, {'from': 'ARTICLES,artId', 'to': 'TYPES,typeId', 'label': 'fp'}, {'from': 'TYPES,typeId', 'to': 'TYPES,typeName', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'STORES,storeName', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'STORES,address', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'REGIONS,regId,REGIONS,state', 'label': 'fp'}, {'from': 'REGIONS,regId,REGIONS,state', 'to': 'REGIONS,regionName', 'label': 'fp'}, {'from': 'REGIONS,regId,REGIONS,state', 'to': 'REGIONS,state', 'label': 'fp'}, {'from': 'REGIONS,state', 'to': 'REGIONS,country', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,quantity', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,revenue', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'ARTICLES,artId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'STORES,storeId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,date', 'label': 'fp'}]",['purchase'],"['regions,regionname', 'stores,storeid', 'storename,stores', 'typename,types', 'typeid,types', 'purchase,revenue', 'country,regions', 'purchase,quantity', 'state,regions', 'purchase.quantity', 'regid,state,regions', 'artid,articles', 'stores,address', 'articles.unitprice', 'artname,articles', 'purchase,date', 'purchase.revenue']","['country', 'storename', 'revenue', 'date', 'unitprice', 'state', 'quantity', 'store', 'type', 'address', 'articlename', 'article', 'region']",0,13,14,0.0,0.0,0,1,13,17,0.0556,0.0714,0.0625,0,13,14,3,3,False,0,0,0,0,0,0,False
exercise-2,demand,rq3-dec,2,2025-04-02T01-46-40,1,152.5417,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'ARTICLES,artId', 'to': 'ARTICLES,artName', 'label': 'fp'}, {'from': 'ARTICLES,artId', 'to': 'TYPES,typeId', 'label': 'fp'}, {'from': 'TYPES,typeId', 'to': 'TYPES,typeName', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'STORES,storeName', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'STORES,address', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'REGIONS,regId,REGIONS,state', 'label': 'fp'}, {'from': 'REGIONS,regId,REGIONS,state', 'to': 'REGIONS,regionName', 'label': 'fp'}, {'from': 'REGIONS,regId,REGIONS,state', 'to': 'REGIONS,state', 'label': 'fp'}, {'from': 'REGIONS,state', 'to': 'REGIONS,country', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,quantity', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,revenue', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'ARTICLES,artId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'STORES,storeId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,date', 'label': 'fp'}]",['purchase'],"['regions,regionname', 'stores,storeid', 'storename,stores', 'typename,types', 'typeid,types', 'purchase,revenue', 'country,regions', 'purchase,quantity', 'state,regions', 'purchase.quantity', 'regid,state,regions', 'artid,articles', 'stores,address', 'articles.unitprice', 'artname,articles', 'purchase,date', 'purchase.revenue']","['country', 'storename', 'revenue', 'date', 'unitprice', 'state', 'quantity', 'store', 'type', 'address', 'articlename', 'article', 'region']",0,13,14,0.0,0.0,0,1,13,17,0.0556,0.0714,0.0625,0,13,14,3,3,False,0,0,0,0,0,0,False
