ex_name,ex_version,ex_prompt_version,ex_number,timestamp,index,time,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1,errors_dependencies_reversed,errors_dependencies_missing,errors_dependencies_extra,errors_measures_missing,errors_measures_extra,errors_fact_incorrect,errors_fact_false_fact,errors_attributes_shared_missing,errors_attributes_shared_extra,errors_attributes_shared_with_fact_root_missing,errors_attributes_shared_with_fact_root_extra,errors_miscellaneous_extra_disconnected_components,errors_miscellaneous_extra_tags
exercise-1,demand,rq3-dec,1,2025-07-28T15-53-58,1,2.8595,gpt,gpt,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATION,['INSTALLATION.quantity'],"[{'from': 'COMPUTER,computerId', 'to': 'COMPUTER,model', 'label': 'fp'}, {'from': 'COMPUTER,computerId', 'to': 'COMPUTER,brand', 'label': 'fp'}, {'from': 'BRAND,brandId', 'to': 'BRAND,name', 'label': 'fp'}, {'from': 'BRAND,brandId', 'to': 'SUPPLIER,supplierId', 'label': 'fp'}, {'from': 'SUPPLIER,supplierId', 'to': 'SUPPLIER,name', 'label': 'fp'}, {'from': 'SUPPLIER,supplierId', 'to': 'SUPPLIER,address', 'label': 'fp'}, {'from': 'SUPPLIER,supplierId', 'to': 'CITY,cityId', 'label': 'fp'}, {'from': 'CITY,cityId', 'to': 'CITY,name', 'label': 'fp'}, {'from': 'SOFTWARE,softwareId', 'to': 'SOFTWARE,description', 'label': 'fp'}, {'from': 'SOFTWARE,softwareId', 'to': 'SOFTWARE,type', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'INSTALLATION,date', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'COMPUTER,computerId', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'SOFTWARE,softwareId', 'label': 'fp'}]",['installation'],"['software,softwareid', 'name,city', 'computer,model', 'software,type', 'installation.quantity', 'computerid,computer', 'software,description', 'date,installation', 'cityid,city', 'brandid,brand', 'brand,computer', 'name,brand', 'name,supplier', 'supplierid,supplier', 'address,supplier']","['supplier', 'software', 'model', 'computer', 'date', 'description', 'city', 'brand', 'address', 'type']",0,10,13,0.0,0.0,0,1,10,15,0.0625,0.0909,0.0741,0,10,13,0,1,False,1,0,0,0,0,1,False
exercise-1,demand,rq3-dec,1,2025-07-28T15-54-00,1,2.3750,gpt,gpt,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATION,['INSTALLATION.installationDate'],"[{'from': 'COMPUTER,computerId', 'to': 'COMPUTER,model', 'label': 'fp'}, {'from': 'COMPUTER,computerId', 'to': 'COMPUTER,brand', 'label': 'fp'}, {'from': 'BRAND,brandId', 'to': 'BRAND,name', 'label': 'fp'}, {'from': 'BRAND,brandId', 'to': 'SUPPLIER,supplierId', 'label': 'fp'}, {'from': 'SUPPLIER,supplierId', 'to': 'SUPPLIER,address', 'label': 'fp'}, {'from': 'SUPPLIER,supplierId', 'to': 'SUPPLIER,city', 'label': 'fp'}, {'from': 'SOFTWARE,softwareId', 'to': 'SOFTWARE,description', 'label': 'fp'}, {'from': 'SOFTWARE,softwareId', 'to': 'SOFTWARE,type', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'COMPUTER,computerId', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'SOFTWARE,softwareId', 'label': 'fp'}]",['installation'],"['software,softwareid', 'city,supplier', 'computer,model', 'software,type', 'computerid,computer', 'software,description', 'brandid,brand', 'brand,computer', 'name,brand', 'installation.installationdate', 'supplierid,supplier', 'address,supplier']","['supplier', 'software', 'model', 'computer', 'date', 'description', 'city', 'brand', 'address', 'type']",0,10,10,0.0,0.0,0,1,10,12,0.0769,0.0909,0.0833,0,10,10,0,1,False,1,0,0,0,0,1,False
exercise-1,demand,rq3-dec,1,2025-07-28T15-54-03,1,2.3590,gpt,gpt,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATION,['INSTALLATION.installationDate'],"[{'from': 'COMPUTER,computerId', 'to': 'COMPUTER,model', 'label': 'fp'}, {'from': 'COMPUTER,computerId', 'to': 'COMPUTER,brand', 'label': 'fp'}, {'from': 'BRAND,brandId', 'to': 'BRAND,supplierId', 'label': 'fp'}, {'from': 'BRAND,brandId', 'to': 'SUPPLIER,supplierId', 'label': 'fp'}, {'from': 'SUPPLIER,supplierId', 'to': 'SUPPLIER,city', 'label': 'fp'}, {'from': 'SUPPLIER,supplierId', 'to': 'SUPPLIER,address', 'label': 'fp'}, {'from': 'SOFTWARE,softwareId', 'to': 'SOFTWARE,description', 'label': 'fp'}, {'from': 'SOFTWARE,softwareId', 'to': 'SOFTWARE,type', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'COMPUTER,computerId', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'SOFTWARE,softwareId', 'label': 'fp'}]",['installation'],"['software,softwareid', 'supplierid,brand', 'city,supplier', 'computer,model', 'software,type', 'computerid,computer', 'software,description', 'brandid,brand', 'brand,computer', 'installation.installationdate', 'supplierid,supplier', 'address,supplier']","['supplier', 'software', 'model', 'computer', 'date', 'description', 'city', 'brand', 'address', 'type']",0,10,10,0.0,0.0,0,1,10,12,0.0769,0.0909,0.0833,0,10,10,0,1,False,1,0,0,0,0,1,False
exercise-1,demand,rq3-dec,1,2025-07-28T15-54-05,1,2.7970,gpt,gpt,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATION,,"[{'from': 'COMPUTER,computerId', 'to': 'COMPUTER,model', 'label': 'fp'}, {'from': 'COMPUTER,computerId', 'to': 'COMPUTER,brand', 'label': 'fp'}, {'from': 'BRAND,brandId', 'to': 'BRAND,supplierId', 'label': 'fp'}, {'from': 'BRAND,brandId', 'to': 'BRAND,brandName', 'label': 'fp'}, {'from': 'SUPPLIER,supplierId', 'to': 'SUPPLIER,city', 'label': 'fp'}, {'from': 'SUPPLIER,supplierId', 'to': 'SUPPLIER,address', 'label': 'fp'}, {'from': 'SOFTWARE,softwareId', 'to': 'SOFTWARE,description', 'label': 'fp'}, {'from': 'SOFTWARE,softwareId', 'to': 'SOFTWARE,type', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'COMPUTER,computerId', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'SOFTWARE,softwareId', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'INSTALLATION,installationDate', 'label': 'fp'}]",['installation'],"['software,softwareid', 'brand,brandname', 'supplierid,brand', 'installationdate,installation', 'city,supplier', 'computer,model', 'software,type', 'computerid,computer', 'software,description', 'brandid,brand', 'brand,computer', 'supplierid,supplier', 'address,supplier']","['supplier', 'software', 'model', 'computer', 'date', 'description', 'city', 'brand', 'address', 'type']",0,10,11,0.0,0.0,0,1,10,13,0.0714,0.0909,0.08,0,10,11,0,0,False,2,0,0,0,0,2,False
exercise-1,demand,rq3-dec,1,2025-07-28T15-54-08,1,2.0784,gpt,gpt,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATION,['INSTALLATION.installationDate'],"[{'from': 'COMPUTER,computerId', 'to': 'COMPUTER,model', 'label': 'fp'}, {'from': 'COMPUTER,computerId', 'to': 'COMPUTER,brand', 'label': 'fp'}, {'from': 'BRAND,brandId', 'to': 'BRAND,name', 'label': 'fp'}, {'from': 'BRAND,brandId', 'to': 'SUPPLIER,supplierId', 'label': 'fp'}, {'from': 'SUPPLIER,supplierId', 'to': 'SUPPLIER,name', 'label': 'fp'}, {'from': 'SUPPLIER,supplierId', 'to': 'SUPPLIER,city', 'label': 'fp'}, {'from': 'SUPPLIER,supplierId', 'to': 'SUPPLIER,address', 'label': 'fp'}, {'from': 'SOFTWARE,softwareId', 'to': 'SOFTWARE,description', 'label': 'fp'}, {'from': 'SOFTWARE,softwareId', 'to': 'SOFTWARE,type', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'COMPUTER,computerId', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'SOFTWARE,softwareId', 'label': 'fp'}]",['installation'],"['software,softwareid', 'city,supplier', 'computer,model', 'software,type', 'name,supplier', 'computerid,computer', 'software,description', 'brandid,brand', 'brand,computer', 'name,brand', 'installation.installationdate', 'supplierid,supplier', 'address,supplier']","['supplier', 'software', 'model', 'computer', 'date', 'description', 'city', 'brand', 'address', 'type']",0,10,11,0.0,0.0,0,1,10,13,0.0714,0.0909,0.08,0,10,11,0,1,False,1,0,0,0,0,1,False
exercise-2,demand,rq3-dec,2,2025-07-28T15-54-11,1,3.2503,gpt,gpt,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES,typeId', 'to': 'TYPES,typeName', 'label': 'fp'}, {'from': 'ARTICLES,artId', 'to': 'ARTICLES,artName', 'label': 'fp'}, {'from': 'ARTICLES,artId', 'to': 'TYPES,typeId', 'role': 'type', 'label': 'fp'}, {'from': 'REGIONS,regId,REGIONS,state', 'to': 'REGIONS,regionName', 'label': 'fp'}, {'from': 'REGIONS,regId,REGIONS,state', 'to': 'REGIONS,state', 'label': 'fp'}, {'from': 'REGIONS,state', 'to': 'REGIONS,country', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'STORES,storeName', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'STORES,address', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'REGIONS,regId,REGIONS,state', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,quantity', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,revenue', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'ARTICLES,unitPrice', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'ARTICLES,artId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'STORES,storeId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,date', 'label': 'fp'}]",['purchase'],"['address,stores', 'types,typeid', 'purchase,revenue', 'regionname,regions', 'articles,artname', 'purchase.quantity', 'articles,unitprice', 'purchase,quantity', 'articles.unitprice', 'articles,artid', 'regions,state', 'storename,stores', 'purchase.revenue', 'regions,regid,state', 'regions,country', 'types,typename', 'storeid,stores', 'date,purchase']","['article', 'country', 'quantity', 'region', 'date', 'unitprice', 'store', 'storename', 'address', 'revenue', 'articlename', 'type', 'state']",0,13,15,0.0,0.0,0,1,13,18,0.0526,0.0714,0.0606,0,13,15,3,3,False,0,0,0,0,0,0,True
exercise-2,demand,rq3-dec,2,2025-07-28T15-54-14,1,3.1249,gpt,gpt,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES,typeId', 'to': 'TYPES,typeName', 'label': 'fp'}, {'from': 'ARTICLES,artId', 'to': 'ARTICLES,artName', 'label': 'fp'}, {'from': 'ARTICLES,artId', 'to': 'TYPES,typeId', 'role': 'type', 'label': 'fp'}, {'from': 'REGIONS,regId,REGIONS,state', 'to': 'REGIONS,regionName', 'label': 'fp'}, {'from': 'REGIONS,regId,REGIONS,state', 'to': 'REGIONS,state', 'label': 'fp'}, {'from': 'REGIONS,state', 'to': 'REGIONS,country', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'STORES,storeName', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'STORES,address', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'REGIONS,regId,REGIONS,state', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,quantity', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,revenue', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'ARTICLES,unitPrice', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'ARTICLES,artId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'STORES,storeId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,date', 'label': 'fp'}]",['purchase'],"['address,stores', 'types,typeid', 'purchase,revenue', 'regionname,regions', 'articles,artname', 'purchase.quantity', 'articles,unitprice', 'purchase,quantity', 'articles.unitprice', 'articles,artid', 'regions,state', 'storename,stores', 'purchase.revenue', 'regions,regid,state', 'regions,country', 'types,typename', 'storeid,stores', 'date,purchase']","['article', 'country', 'quantity', 'region', 'date', 'unitprice', 'store', 'storename', 'address', 'revenue', 'articlename', 'type', 'state']",0,13,15,0.0,0.0,0,1,13,18,0.0526,0.0714,0.0606,0,13,15,3,3,False,0,0,0,0,0,0,True
exercise-2,demand,rq3-dec,2,2025-07-28T15-54-17,1,3.1406,gpt,gpt,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES,typeId', 'to': 'TYPES,typeName', 'label': 'fp'}, {'from': 'ARTICLES,artId', 'to': 'ARTICLES,artName', 'label': 'fp'}, {'from': 'ARTICLES,artId', 'to': 'TYPES,typeId', 'role': 'type', 'label': 'fp'}, {'from': 'REGIONS,regId,REGIONS,state', 'to': 'REGIONS,regionName', 'label': 'fp'}, {'from': 'REGIONS,regId,REGIONS,state', 'to': 'REGIONS,state', 'label': 'fp'}, {'from': 'REGIONS,state', 'to': 'REGIONS,country', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'STORES,storeName', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'STORES,address', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'REGIONS,regId,REGIONS,state', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,quantity', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,revenue', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'ARTICLES,unitPrice', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'ARTICLES,artId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'STORES,storeId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,date', 'label': 'fp'}]",['purchase'],"['address,stores', 'types,typeid', 'purchase,revenue', 'regionname,regions', 'articles,artname', 'purchase.quantity', 'articles,unitprice', 'purchase,quantity', 'articles.unitprice', 'articles,artid', 'regions,state', 'storename,stores', 'purchase.revenue', 'regions,regid,state', 'regions,country', 'types,typename', 'storeid,stores', 'date,purchase']","['article', 'country', 'quantity', 'region', 'date', 'unitprice', 'store', 'storename', 'address', 'revenue', 'articlename', 'type', 'state']",0,13,15,0.0,0.0,0,1,13,18,0.0526,0.0714,0.0606,0,13,15,3,3,False,0,0,0,0,0,0,True
exercise-2,demand,rq3-dec,2,2025-07-28T15-54-21,1,3.5628,gpt,gpt,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES,typeId', 'to': 'TYPES,typeName', 'label': 'fp'}, {'from': 'ARTICLES,artId', 'to': 'ARTICLES,artName', 'label': 'fp'}, {'from': 'ARTICLES,artId', 'to': 'TYPES,typeId', 'role': 'type', 'label': 'fp'}, {'from': 'REGIONS,regId,REGIONS,state', 'to': 'REGIONS,regionName', 'label': 'fp'}, {'from': 'REGIONS,regId,REGIONS,state', 'to': 'REGIONS,state', 'label': 'fp'}, {'from': 'REGIONS,state', 'to': 'REGIONS,country', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'STORES,storeName', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'STORES,address', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'REGIONS,regId,REGIONS,state', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,quantity', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,revenue', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'ARTICLES,unitPrice', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'ARTICLES,artId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'STORES,storeId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,date', 'label': 'fp'}]",['purchase'],"['address,stores', 'types,typeid', 'purchase,revenue', 'regionname,regions', 'articles,artname', 'purchase.quantity', 'articles,unitprice', 'purchase,quantity', 'articles.unitprice', 'articles,artid', 'regions,state', 'storename,stores', 'purchase.revenue', 'regions,regid,state', 'regions,country', 'types,typename', 'storeid,stores', 'date,purchase']","['article', 'country', 'quantity', 'region', 'date', 'unitprice', 'store', 'storename', 'address', 'revenue', 'articlename', 'type', 'state']",0,13,15,0.0,0.0,0,1,13,18,0.0526,0.0714,0.0606,0,13,15,3,3,False,0,0,0,0,0,0,True
exercise-2,demand,rq3-dec,2,2025-07-28T15-54-25,1,3.4532,gpt,gpt,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES,typeId', 'to': 'TYPES,typeName', 'label': 'fp'}, {'from': 'ARTICLES,artId', 'to': 'ARTICLES,artName', 'label': 'fp'}, {'from': 'ARTICLES,artId', 'to': 'TYPES,typeId', 'role': 'type', 'label': 'fp'}, {'from': 'REGIONS,regId,REGIONS,state', 'to': 'REGIONS,regionName', 'label': 'fp'}, {'from': 'REGIONS,regId,REGIONS,state', 'to': 'REGIONS,state', 'label': 'fp'}, {'from': 'REGIONS,state', 'to': 'REGIONS,country', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'STORES,storeName', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'STORES,address', 'label': 'fp'}, {'from': 'STORES,storeId', 'to': 'REGIONS,regId,REGIONS,state', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,quantity', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,revenue', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'ARTICLES,unitPrice', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'ARTICLES,artId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'STORES,storeId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE,date', 'label': 'fp'}]",['purchase'],"['address,stores', 'types,typeid', 'purchase,revenue', 'regionname,regions', 'articles,artname', 'purchase.quantity', 'articles,unitprice', 'purchase,quantity', 'articles.unitprice', 'articles,artid', 'regions,state', 'storename,stores', 'purchase.revenue', 'regions,regid,state', 'regions,country', 'types,typename', 'storeid,stores', 'date,purchase']","['article', 'country', 'quantity', 'region', 'date', 'unitprice', 'store', 'storename', 'address', 'revenue', 'articlename', 'type', 'state']",0,13,15,0.0,0.0,0,1,13,18,0.0526,0.0714,0.0606,0,13,15,3,3,False,0,0,0,0,0,0,True
