ex_name,ex_version,ex_prompt_version,ex_number,timestamp,index,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1
exercise-1-demand-rq5-example-gpt4o-2024-11-12T15-54-46,demand,,1,2024-11-12T15-54-46,1,,,,,,,,,,,INSTALLATION,,"[{'from': 'computer', 'to': 'model', 'label': 'tp'}, {'from': 'model', 'to': 'brand', 'label': 'fp'}, {'from': 'brand', 'to': 'supplier', 'label': 'tp'}, {'from': 'supplier', 'to': 'city', 'label': 'tp'}, {'from': 'supplier', 'to': 'address', 'label': 'tp'}, {'from': 'software', 'to': 'description', 'label': 'tp'}, {'from': 'software', 'to': 'type', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'software', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'date', 'label': 'tp'}]","['installation', 'supplier', 'address', 'computer', 'brand', 'type', 'description', 'date', 'city', 'model', 'software']",[],[],9,1,1,0.9,0.9,0.9,11,0,0,1.0,1.0,1.0
exercise-1-demand-rq5-example-gpt4o-2024-11-12T15-55-05,demand,,1,2024-11-12T15-55-05,1,,,,,,,,,,,INSTALLATION,,"[{'from': 'computer', 'to': 'model', 'label': 'tp'}, {'from': 'model', 'to': 'brand', 'label': 'fp'}, {'from': 'brand', 'to': 'supplier', 'label': 'tp'}, {'from': 'supplier', 'to': 'city', 'label': 'tp'}, {'from': 'supplier', 'to': 'address', 'label': 'tp'}, {'from': 'software', 'to': 'description', 'label': 'tp'}, {'from': 'software', 'to': 'type', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'software', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'date', 'label': 'tp'}]","['description', 'city', 'model', 'address', 'date', 'software', 'supplier', 'brand', 'computer', 'installation', 'type']",[],[],9,1,1,0.9,0.9,0.9,11,0,0,1.0,1.0,1.0
exercise-1-demand-rq5-example-gpt4o-2024-11-12T15-55-24,demand,,1,2024-11-12T15-55-24,1,,,,,,,,,,,INSTALLATION,,"[{'from': 'computer', 'to': 'model', 'label': 'tp'}, {'from': 'model', 'to': 'brand', 'label': 'fp'}, {'from': 'brand', 'to': 'supplier', 'label': 'tp'}, {'from': 'supplier', 'to': 'city', 'label': 'tp'}, {'from': 'supplier', 'to': 'address', 'label': 'tp'}, {'from': 'software', 'to': 'description', 'label': 'tp'}, {'from': 'software', 'to': 'type', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'software', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'date', 'label': 'tp'}]","['description', 'installation', 'software', 'address', 'brand', 'model', 'date', 'supplier', 'computer', 'type', 'city']",[],[],9,1,1,0.9,0.9,0.9,11,0,0,1.0,1.0,1.0
exercise-1-demand-rq5-example-gpt4o-2024-11-12T15-55-42,demand,,1,2024-11-12T15-55-42,1,,,,,,,,,,,INSTALLATION,,"[{'from': 'computer', 'to': 'model', 'label': 'tp'}, {'from': 'computer', 'to': 'brand', 'label': 'tp'}, {'from': 'brand', 'to': 'supplier', 'label': 'tp'}, {'from': 'supplier', 'to': 'city', 'label': 'tp'}, {'from': 'supplier', 'to': 'address', 'label': 'tp'}, {'from': 'software', 'to': 'description', 'label': 'tp'}, {'from': 'software', 'to': 'type', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'software', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'date', 'label': 'tp'}]","['software', 'computer', 'date', 'model', 'brand', 'installation', 'city', 'address', 'description', 'type', 'supplier']",[],[],10,0,0,1.0,1.0,1.0,11,0,0,1.0,1.0,1.0
exercise-1-demand-rq5-example-gpt4o-2024-11-12T15-56-03,demand,,1,2024-11-12T15-56-03,1,,,,,,,,,,,INSTALLATION,,"[{'from': 'computer', 'to': 'model', 'label': 'tp'}, {'from': 'computer', 'to': 'brand', 'label': 'tp'}, {'from': 'brand', 'to': 'supplier', 'label': 'tp'}, {'from': 'supplier', 'to': 'city', 'label': 'tp'}, {'from': 'supplier', 'to': 'address', 'label': 'tp'}, {'from': 'software', 'to': 'description', 'label': 'tp'}, {'from': 'software', 'to': 'type', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'software', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'date', 'label': 'tp'}]","['computer', 'city', 'supplier', 'brand', 'software', 'installation', 'description', 'type', 'date', 'address', 'model']",[],[],10,0,0,1.0,1.0,1.0,11,0,0,1.0,1.0,1.0
exercise-1-demand-rq5-example-gpt4o-2024-11-12T19-05-40,demand,,1,2024-11-12T19-05-40,1,,,,,,,,,,,INSTALLATION,,"[{'from': 'computer', 'to': 'model', 'label': 'tp'}, {'from': 'model', 'to': 'brand', 'label': 'fp'}, {'from': 'brand', 'to': 'supplier', 'label': 'tp'}, {'from': 'supplier', 'to': 'city', 'label': 'tp'}, {'from': 'supplier', 'to': 'address', 'label': 'tp'}, {'from': 'software', 'to': 'description', 'label': 'tp'}, {'from': 'software', 'to': 'type', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'software', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'date', 'label': 'tp'}]","['city', 'address', 'software', 'installation', 'model', 'supplier', 'type', 'brand', 'description', 'date', 'computer']",[],[],9,1,1,0.9,0.9,0.9,11,0,0,1.0,1.0,1.0
exercise-1-demand-rq5-example-gpt4o-2024-11-12T19-05-55,demand,,1,2024-11-12T19-05-55,1,,,,,,,,,,,INSTALLATION,,"[{'from': 'computer', 'to': 'model', 'label': 'tp'}, {'from': 'computer', 'to': 'brand', 'label': 'tp'}, {'from': 'brand', 'to': 'supplier', 'label': 'tp'}, {'from': 'supplier', 'to': 'city', 'label': 'tp'}, {'from': 'supplier', 'to': 'address', 'label': 'tp'}, {'from': 'software', 'to': 'description', 'label': 'tp'}, {'from': 'software', 'to': 'type', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'software', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'date', 'label': 'tp'}]","['software', 'city', 'description', 'date', 'supplier', 'brand', 'type', 'model', 'installation', 'computer', 'address']",[],[],10,0,0,1.0,1.0,1.0,11,0,0,1.0,1.0,1.0
exercise-1-demand-rq5-example-gpt4o-2024-11-12T19-06-17,demand,,1,2024-11-12T19-06-17,1,,,,,,,,,,,INSTALLATION,,"[{'from': 'computer', 'to': 'model', 'label': 'tp'}, {'from': 'computer', 'to': 'brand', 'label': 'tp'}, {'from': 'brand', 'to': 'supplier', 'label': 'tp'}, {'from': 'supplier', 'to': 'city', 'label': 'tp'}, {'from': 'supplier', 'to': 'address', 'label': 'tp'}, {'from': 'software', 'to': 'description', 'label': 'tp'}, {'from': 'software', 'to': 'type', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'software', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'date', 'label': 'tp'}]","['model', 'type', 'brand', 'date', 'installation', 'address', 'description', 'supplier', 'software', 'computer', 'city']",[],[],10,0,0,1.0,1.0,1.0,11,0,0,1.0,1.0,1.0
exercise-1-demand-rq5-example-gpt4o-2024-11-12T19-06-31,demand,,1,2024-11-12T19-06-31,1,,,,,,,,,,,INSTALLATION,,"[{'from': 'computer', 'to': 'model', 'label': 'tp'}, {'from': 'model', 'to': 'brand', 'label': 'fp'}, {'from': 'brand', 'to': 'supplier', 'label': 'tp'}, {'from': 'supplier', 'to': 'city', 'label': 'tp'}, {'from': 'supplier', 'to': 'address', 'label': 'tp'}, {'from': 'software', 'to': 'description', 'label': 'tp'}, {'from': 'software', 'to': 'type', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'software', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'date', 'label': 'tp'}]","['date', 'installation', 'city', 'model', 'description', 'brand', 'type', 'address', 'supplier', 'computer', 'software']",[],[],9,1,1,0.9,0.9,0.9,11,0,0,1.0,1.0,1.0
exercise-1-demand-rq5-example-gpt4o-2024-11-12T19-06-46,demand,,1,2024-11-12T19-06-46,1,,,,,,,,,,,INSTALLATION,,"[{'from': 'computer', 'to': 'model', 'label': 'tp'}, {'from': 'model', 'to': 'brand', 'label': 'fp'}, {'from': 'brand', 'to': 'supplier', 'label': 'tp'}, {'from': 'supplier', 'to': 'city', 'label': 'tp'}, {'from': 'supplier', 'to': 'address', 'label': 'tp'}, {'from': 'software', 'to': 'description', 'label': 'tp'}, {'from': 'software', 'to': 'type', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'software', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'date', 'label': 'tp'}]","['model', 'computer', 'supplier', 'city', 'date', 'installation', 'brand', 'software', 'type', 'address', 'description']",[],[],9,1,1,0.9,0.9,0.9,11,0,0,1.0,1.0,1.0
