ex_name,ex_version,ex_prompt_version,ex_number,timestamp,index,time,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1,errors_dependencies_reversed,errors_dependencies_missing,errors_dependencies_extra,errors_measures_missing,errors_measures_extra,errors_fact_incorrect,errors_fact_false_fact,errors_attributes_shared_missing,errors_attributes_shared_extra,errors_attributes_shared_with_fact_root_missing,errors_attributes_shared_with_fact_root_extra,errors_miscellaneous_extra_disconnected_components,errors_miscellaneous_extra_tags
exercise-1,sql,rq2,1,2025-09-20T19-16-18,1,3.5230,gpt,gpt5,gpt-5-chat,2025-01-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierAddress', 'to': 'SUPPLIERS.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierCity', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.Model', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.SoftwareDescription', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.Type', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATIONS.InstallationDate', 'to': 'INSTALLATIONS', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['suppliers.suppliername', 'computer.model', 'installations', 'software.softwaredescription', 'suppliers.suppliercity', 'installations.installationdate', 'software.codsoftw', 'software.type', 'computer.codcomputer', 'suppliers.supplieraddress', 'supplies.brand']","['computer.brand', 'installations.codsoftw', 'installations.codcomputer']",[],3,7,10,0.2308,0.3,0.2609,11,0,3,0.7857,1.0,0.88,5,2,5,0,0,False,2,0,2,0,2,1,False
exercise-1,sql,rq2,1,2025-09-20T19-16-21,1,2.3686,gpt,gpt5,gpt-5-chat,2025-01-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierAddress', 'to': 'SUPPLIERS.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierCity', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'SOFTWARE.SoftwareDescription', 'to': 'SOFTWARE.Type', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATIONS.InstallationDate', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['suppliers.suppliername', 'installations', 'software.softwaredescription', 'suppliers.suppliercity', 'installations.installationdate', 'software.codsoftw', 'software.type', 'computer.codcomputer', 'suppliers.supplieraddress', 'supplies.brand']","['installations.codsoftw', 'installations.codcomputer']",['computer.model'],4,6,8,0.3333,0.4,0.3636,10,1,2,0.8333,0.9091,0.8696,3,3,5,0,0,False,1,0,2,0,2,0,False
exercise-1,sql,rq2,1,2025-09-20T19-16-23,1,2.7994,gpt,gpt5,gpt-5-chat,2025-01-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierAddress', 'to': 'SUPPLIERS.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierCity', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.Model', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.SoftwareDescription', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.Type', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATIONS.InstallationDate', 'to': 'INSTALLATIONS', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.Type', 'label': 'fp'}]","['suppliers.suppliername', 'computer.model', 'installations', 'software.softwaredescription', 'suppliers.suppliercity', 'installations.installationdate', 'software.codsoftw', 'software.type', 'computer.codcomputer', 'suppliers.supplieraddress', 'supplies.brand']","['computer.brand', 'installations.codsoftw', 'installations.codcomputer']",[],0,10,13,0.0,0.0,0,11,0,3,0.7857,1.0,0.88,5,5,8,0,0,False,0,0,0,0,0,0,False
exercise-1,sql,rq2,1,2025-09-20T19-16-26,1,2.8058,gpt,gpt5,gpt-5-chat,2025-01-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierAddress', 'to': 'SUPPLIERS.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierCity', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.Model', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.SoftwareDescription', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.Type', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATIONS.InstallationDate', 'to': 'INSTALLATIONS', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS', 'label': 'fp'}]","['suppliers.suppliername', 'computer.model', 'installations', 'software.softwaredescription', 'suppliers.suppliercity', 'installations.installationdate', 'software.codsoftw', 'software.type', 'computer.codcomputer', 'suppliers.supplieraddress', 'supplies.brand']","['computer.brand', 'installations.codsoftw', 'installations.codcomputer']",[],0,10,12,0.0,0.0,0,11,0,3,0.7857,1.0,0.88,7,3,5,0,0,False,4,0,1,0,1,1,False
exercise-1,sql,rq2,1,2025-09-20T19-16-30,1,3.1865,gpt,gpt5,gpt-5-chat,2025-01-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierAddress', 'to': 'SUPPLIERS.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierCity', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.Model', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.SoftwareDescription', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.Type', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATIONS.InstallationDate', 'to': 'INSTALLATIONS', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['suppliers.suppliername', 'computer.model', 'installations', 'software.softwaredescription', 'suppliers.suppliercity', 'installations.installationdate', 'software.codsoftw', 'software.type', 'computer.codcomputer', 'suppliers.supplieraddress', 'supplies.brand']","['computer.brand', 'installations.codsoftw', 'installations.codcomputer']",[],3,7,10,0.2308,0.3,0.2609,11,0,3,0.7857,1.0,0.88,5,2,5,0,0,False,2,0,2,0,2,1,False
exercise-1,sql,rq2,1,2025-09-20T19-16-32,1,2.1248,gpt,gpt5,gpt-5-chat,2025-01-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierAddress', 'to': 'SUPPLIERS.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierCity', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'SOFTWARE.SoftwareDescription', 'to': 'SOFTWARE.Type', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['suppliers.suppliername', 'computer.model', 'installations', 'software.softwaredescription', 'suppliers.suppliercity', 'installations.installationdate', 'software.codsoftw', 'software.type', 'computer.codcomputer', 'suppliers.supplieraddress', 'supplies.brand']",[],[],5,5,5,0.5,0.5,0.5,11,0,0,1.0,1.0,1.0,3,2,2,0,0,False,1,0,1,0,1,0,False
exercise-1,sql,rq2,1,2025-09-20T19-16-35,1,3.2524,gpt,gpt5,gpt-5-chat,2025-01-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierAddress', 'to': 'SUPPLIERS.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierCity', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.Model', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.SoftwareDescription', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.Type', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATIONS.InstallationDate', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.Type', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['suppliers.suppliername', 'computer.model', 'installations', 'software.softwaredescription', 'suppliers.suppliercity', 'installations.installationdate', 'software.codsoftw', 'software.type', 'computer.codcomputer', 'suppliers.supplieraddress', 'supplies.brand']","['computer.brand', 'installations.codsoftw', 'installations.codcomputer']",[],1,9,13,0.0714,0.1,0.0833,11,0,3,0.7857,1.0,0.88,4,5,9,0,0,False,0,0,1,0,1,0,False
exercise-1,sql,rq2,1,2025-09-20T19-16-38,1,2.7370,gpt,gpt5,gpt-5-chat,2025-01-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierAddress', 'to': 'SUPPLIERS.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierCity', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.Model', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.SoftwareDescription', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.Type', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATIONS.InstallationDate', 'to': 'INSTALLATIONS', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.Type', 'label': 'fp'}]","['suppliers.suppliername', 'computer.model', 'installations', 'software.softwaredescription', 'suppliers.suppliercity', 'installations.installationdate', 'software.codsoftw', 'software.type', 'computer.codcomputer', 'suppliers.supplieraddress', 'supplies.brand']","['computer.brand', 'installations.codsoftw', 'installations.codcomputer']",[],0,10,13,0.0,0.0,0,11,0,3,0.7857,1.0,0.88,5,5,8,0,0,False,0,0,0,0,0,0,False
exercise-1,sql,rq2,1,2025-09-20T19-16-41,1,3.7672,gpt,gpt5,gpt-5-chat,2025-01-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierAddress', 'to': 'SUPPLIERS.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierCity', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'SOFTWARE.SoftwareDescription', 'to': 'SOFTWARE.Type', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATIONS.InstallationDate', 'to': 'E,R,R,O,R', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'SUPPLIERS.SupplierCity', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.Type', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['suppliers.suppliername', 'computer.model', 'installations', 'software.softwaredescription', 'suppliers.suppliercity', 'installations.installationdate', 'software.codsoftw', 'software.type', 'computer.codcomputer', 'suppliers.supplieraddress', 'supplies.brand']","['installations.codsoftw', 'e,r,o', 'installations.codcomputer']",[],4,6,15,0.2105,0.4,0.2759,11,0,3,0.7857,1.0,0.88,3,3,12,0,0,False,0,0,6,0,6,0,False
exercise-1,sql,rq2,1,2025-09-20T19-16-44,1,2.8450,gpt,gpt5,gpt-5-chat,2025-01-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierAddress', 'to': 'SUPPLIERS.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierCity', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.Model', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.SoftwareDescription', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.Type', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATIONS.InstallationDate', 'to': 'INSTALLATIONS', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'INSTALLATIONS', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS', 'label': 'fp'}]","['suppliers.suppliername', 'computer.model', 'installations', 'software.softwaredescription', 'suppliers.suppliercity', 'installations.installationdate', 'software.codsoftw', 'software.type', 'computer.codcomputer', 'suppliers.supplieraddress', 'supplies.brand']","['computer.brand', 'installations.codsoftw', 'installations.codcomputer']",[],0,10,13,0.0,0.0,0,11,0,3,0.7857,1.0,0.88,7,3,6,0,0,False,4,0,1,0,1,1,False
