ex_name,ex_version,ex_prompt_version,ex_number,timestamp,index,time,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1,errors_dependencies_reversed,errors_dependencies_missing,errors_dependencies_extra,errors_measures_missing,errors_measures_extra,errors_fact_incorrect,errors_fact_false_fact,errors_attributes_shared_missing,errors_attributes_shared_extra,errors_attributes_shared_with_fact_root_missing,errors_attributes_shared_with_fact_root_extra,errors_miscellaneous_extra_disconnected_components,errors_miscellaneous_extra_tags
exercise-1,sql,rq3-dec,1,2025-09-05T17-45-51,1,4.5864,gpt,gpt4,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'COMPUTER.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}]","['software.type', 'software.codsoftw', 'installations.installationdate', 'software.softwaredescription', 'suppliers.suppliername', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'supplies.brand', 'computer.codcomputer', 'installations', 'computer.model']",['computer.brand'],[],9,1,2,0.8182,0.9,0.8571,11,0,1,0.9167,1.0,0.9565,0,1,2,0,0,False,0,0,0,0,0,0,False
exercise-1,sql,rq3-dec,1,2025-09-05T17-45-54,1,2.0708,gpt,gpt4,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['software.type', 'software.codsoftw', 'installations.installationdate', 'software.softwaredescription', 'suppliers.suppliername', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'supplies.brand', 'computer.codcomputer', 'installations', 'computer.model']",['computer.brand'],[],9,1,1,0.9,0.9,0.9,11,0,1,0.9167,1.0,0.9565,0,1,1,0,0,False,1,0,0,0,0,1,False
exercise-1,sql,rq3-dec,1,2025-09-05T17-45-56,1,2.6898,gpt,gpt4,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['software.type', 'software.codsoftw', 'installations.installationdate', 'software.softwaredescription', 'suppliers.suppliername', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'supplies.brand', 'computer.codcomputer', 'installations', 'computer.model']",['computer.brand'],[],9,1,1,0.9,0.9,0.9,11,0,1,0.9167,1.0,0.9565,0,1,1,0,0,False,1,0,0,0,0,1,False
exercise-1,sql,rq3-dec,1,2025-09-05T17-46-01,1,4.3509,gpt,gpt4,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'COMPUTER.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['software.type', 'software.codsoftw', 'installations.installationdate', 'software.softwaredescription', 'suppliers.suppliername', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'supplies.brand', 'computer.codcomputer', 'installations', 'computer.model']",['computer.brand'],[],9,1,2,0.8182,0.9,0.8571,11,0,1,0.9167,1.0,0.9565,0,1,2,0,0,False,0,0,0,0,0,0,False
exercise-1,sql,rq3-dec,1,2025-09-05T17-46-05,1,4.3068,gpt,gpt4,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}]","['software.type', 'software.codsoftw', 'installations.installationdate', 'software.softwaredescription', 'suppliers.suppliername', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'supplies.brand', 'computer.codcomputer', 'installations', 'computer.model']",['computer.brand'],[],9,1,1,0.9,0.9,0.9,11,0,1,0.9167,1.0,0.9565,0,1,1,0,0,False,1,0,0,0,0,1,False
exercise-1,sql,rq3-dec,1,2025-09-05T17-46-09,1,4.1886,gpt,gpt4,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'COMPUTER.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}]","['software.type', 'software.codsoftw', 'installations.installationdate', 'software.softwaredescription', 'suppliers.suppliername', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'supplies.brand', 'computer.codcomputer', 'installations', 'computer.model']",['computer.brand'],[],9,1,2,0.8182,0.9,0.8571,11,0,1,0.9167,1.0,0.9565,0,1,2,0,0,False,0,0,0,0,0,0,False
exercise-1,sql,rq3-dec,1,2025-09-05T17-46-11,1,2.2669,gpt,gpt4,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'COMPUTER.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}]","['software.type', 'software.codsoftw', 'installations.installationdate', 'software.softwaredescription', 'suppliers.suppliername', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'supplies.brand', 'computer.codcomputer', 'installations', 'computer.model']",['computer.brand'],[],9,1,2,0.8182,0.9,0.8571,11,0,1,0.9167,1.0,0.9565,0,1,2,0,0,False,0,0,0,0,0,0,False
exercise-1,sql,rq3-dec,1,2025-09-05T17-46-27,1,15.1053,gpt,gpt4,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'COMPUTER.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}]","['software.type', 'software.codsoftw', 'installations.installationdate', 'software.softwaredescription', 'suppliers.suppliername', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'supplies.brand', 'computer.codcomputer', 'installations', 'computer.model']",['computer.brand'],[],9,1,2,0.8182,0.9,0.8571,11,0,1,0.9167,1.0,0.9565,0,1,2,0,0,False,0,0,0,0,0,0,False
exercise-1,sql,rq3-dec,1,2025-09-05T17-46-30,1,2.9196,gpt,gpt4,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'COMPUTER.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}]","['software.type', 'software.codsoftw', 'installations.installationdate', 'software.softwaredescription', 'suppliers.suppliername', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'supplies.brand', 'computer.codcomputer', 'installations', 'computer.model']",['computer.brand'],[],9,1,2,0.8182,0.9,0.8571,11,0,1,0.9167,1.0,0.9565,0,1,2,0,0,False,0,0,0,0,0,0,False
exercise-1,sql,rq3-dec,1,2025-09-05T17-46-32,1,2.4344,gpt,gpt4,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'COMPUTER.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}]","['software.type', 'software.codsoftw', 'installations.installationdate', 'software.softwaredescription', 'suppliers.suppliername', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'supplies.brand', 'computer.codcomputer', 'installations', 'computer.model']",['computer.brand'],[],9,1,2,0.8182,0.9,0.8571,11,0,1,0.9167,1.0,0.9565,0,1,2,0,0,False,0,0,0,0,0,0,False
