ex_name,ex_version,ex_prompt_version,ex_number,timestamp,index,time,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1,errors_dependencies_reversed,errors_dependencies_missing,errors_dependencies_extra,errors_measures_missing,errors_measures_extra,errors_fact_incorrect,errors_fact_false_fact,errors_attributes_shared_missing,errors_attributes_shared_extra,errors_attributes_shared_with_fact_root_missing,errors_attributes_shared_with_fact_root_extra,errors_miscellaneous_extra_disconnected_components,errors_miscellaneous_extra_tags
exercise-1,demand,rq5,1,2025-08-31T18-32-36,1,115.1800,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,INSTALLATION,['installationdate'],"[{'from': 'computer', 'to': 'model', 'label': 'tp'}, {'from': 'computer', 'to': 'brand', 'label': 'tp'}, {'from': 'brand', 'to': 'supplier', 'label': 'tp'}, {'from': 'supplier', 'to': 'city', 'label': 'tp'}, {'from': 'supplier', 'to': 'address', 'label': 'tp'}, {'from': 'software', 'to': 'description', 'label': 'tp'}, {'from': 'software', 'to': 'type', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'software', 'label': 'tp'}]","['supplier', 'address', 'type', 'model', 'brand', 'city', 'computer', 'description', 'software', 'installation']",['installationdate'],['date'],9,1,0,1.0,0.9,0.9474,10,1,1,0.9091,0.9091,0.9091,0,1,0,0,1,False,0,0,0,0,0,0,False
exercise-1,demand,rq5,1,2025-08-31T18-36-26,1,114.8663,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,INSTALLATION,['installationdate'],"[{'from': 'computer', 'to': 'model', 'label': 'tp'}, {'from': 'computer', 'to': 'brand', 'label': 'tp'}, {'from': 'brand', 'to': 'supplier', 'label': 'tp'}, {'from': 'supplier', 'to': 'city', 'label': 'tp'}, {'from': 'supplier', 'to': 'address', 'label': 'tp'}, {'from': 'software', 'to': 'description', 'label': 'tp'}, {'from': 'software', 'to': 'type', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'software', 'label': 'tp'}]","['supplier', 'address', 'type', 'model', 'brand', 'city', 'computer', 'description', 'software', 'installation']",['installationdate'],['date'],9,1,0,1.0,0.9,0.9474,10,1,1,0.9091,0.9091,0.9091,0,1,0,0,1,False,0,0,0,0,0,0,False
exercise-4,demand,rq5,4,2025-08-31T19-01-18,1,114.7337,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,ARRIVAL,"['position', 'score', 'numberOfLaps', 'time']","[{'from': 'driver', 'to': 'firstName', 'label': 'tp'}, {'from': 'driver', 'to': 'lastName', 'label': 'tp'}, {'from': 'driver', 'to': 'age', 'label': 'tp'}, {'from': 'carNumber', 'to': 'carNumber', 'label': 'fp'}, {'from': 'carNumber', 'to': 'stable', 'label': 'tp'}, {'from': 'stable', 'to': 'manager', 'label': 'tp'}, {'from': 'stable', 'to': 'mainAddress', 'label': 'tp'}, {'from': 'circuit', 'to': 'city', 'label': 'tp'}, {'from': 'circuit', 'to': 'mileage', 'label': 'tp'}, {'from': 'ARRIVAL', 'to': 'position', 'label': 'tp'}, {'from': 'ARRIVAL', 'to': 'score', 'label': 'tp'}, {'from': 'ARRIVAL', 'to': 'numberOfLaps', 'label': 'tp'}, {'from': 'ARRIVAL', 'to': 'time', 'label': 'tp'}, {'from': 'ARRIVAL', 'to': 'driver', 'label': 'tp'}, {'from': 'ARRIVAL', 'to': 'carNumber', 'label': 'tp'}, {'from': 'ARRIVAL', 'to': 'circuit', 'label': 'tp'}, {'from': 'ARRIVAL', 'to': 'date', 'label': 'tp'}]","['manager', 'numberoflaps', 'driver', 'date', 'carnumber', 'time', 'circuit', 'firstname', 'mileage', 'city', 'position', 'age', 'mainaddress', 'lastname', 'arrival', 'score', 'stable']",[],[],16,0,1,0.9412,1.0,0.9697,17,0,0,1.0,1.0,1.0,0,0,1,0,0,False,0,0,1,0,1,0,False
exercise-5,demand,rq5,5,2025-08-31T19-10-52,1,114.7542,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,PRESENCE,['duration'],"[{'from': 'member', 'to': 'name', 'label': 'tp'}, {'from': 'member', 'to': 'surname', 'label': 'tp'}, {'from': 'member', 'to': 'address', 'label': 'tp'}, {'from': 'member', 'to': 'postalCode', 'label': 'fp'}, {'from': 'member', 'to': 'city', 'label': 'fp'}, {'from': 'member', 'to': 'weight', 'label': 'tp'}, {'from': 'member', 'to': 'height', 'label': 'tp'}, {'from': 'city', 'to': 'postalCode', 'label': 'fp'}, {'from': 'WOD', 'to': 'WODType', 'label': 'tp'}, {'from': 'WOD', 'to': 'date', 'label': 'fp'}, {'from': 'WOD', 'to': 'workout', 'label': 'fp'}, {'from': 'workout', 'to': 'WOD', 'label': 'fp'}, {'from': 'workout', 'to': 'hour', 'label': 'fp'}, {'from': 'workout', 'to': 'instructor', 'label': 'fp'}, {'from': 'PRESENCE', 'to': 'member', 'label': 'tp'}, {'from': 'PRESENCE', 'to': 'workout', 'label': 'fp'}, {'from': 'PRESENCE', 'to': 'date**Q:**', 'label': 'fp'}]","['postalcode', 'hour', 'date', 'surname', 'address', 'instructor', 'wodtype', 'weight', 'name', 'city', 'presence', 'wod', 'height', 'member']","['duration', 'date**q:**', 'workout']",[],7,6,10,0.4118,0.5385,0.4667,14,0,3,0.8235,1.0,0.9032,1,5,9,0,1,False,0,0,2,0,2,0,False
exercise-5,demand,rq5,5,2025-08-31T19-12-47,1,114.7991,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,PRESENCE,['duration'],"[{'from': 'member', 'to': 'name', 'label': 'tp'}, {'from': 'member', 'to': 'surname', 'label': 'tp'}, {'from': 'member', 'to': 'address', 'label': 'tp'}, {'from': 'member', 'to': 'postalCode', 'label': 'fp'}, {'from': 'member', 'to': 'city', 'label': 'fp'}, {'from': 'member', 'to': 'weight', 'label': 'tp'}, {'from': 'member', 'to': 'height', 'label': 'tp'}, {'from': 'city', 'to': 'postalCode', 'label': 'fp'}, {'from': 'WOD', 'to': 'WODType', 'label': 'tp'}, {'from': 'WOD', 'to': 'date', 'label': 'fp'}, {'from': 'WOD', 'to': 'workout', 'label': 'fp'}, {'from': 'workout', 'to': 'WOD', 'label': 'fp'}, {'from': 'workout', 'to': 'hour', 'label': 'fp'}, {'from': 'workout', 'to': 'instructor', 'label': 'fp'}, {'from': 'PRESENCE', 'to': 'member', 'label': 'tp'}, {'from': 'PRESENCE', 'to': 'workout', 'label': 'fp'}, {'from': 'PRESENCE', 'to': 'duration**Q:**', 'label': 'fp'}]","['postalcode', 'hour', 'date', 'surname', 'address', 'instructor', 'wodtype', 'weight', 'name', 'city', 'presence', 'wod', 'height', 'member']","['duration', 'duration**q:**', 'workout']",[],7,6,10,0.4118,0.5385,0.4667,14,0,3,0.8235,1.0,0.9032,1,5,9,0,1,False,0,0,2,0,2,0,False
exercise-7,demand,rq5,7,2025-08-31T19-30-00,1,114.8251,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,RENTAL,"['amount', 'discount', 'insuranceCost', 'milesTravelled']","[{'from': 'car', 'to': 'carPlate', 'label': 'fp'}, {'from': 'rental', 'to': 'date', 'role': 'pickup', 'label': 'tp'}, {'from': 'rental', 'to': 'date', 'role': 'dropoff', 'label': 'tp'}, {'from': 'rental', 'to': 'office', 'role': 'pickup', 'label': 'tp'}, {'from': 'rental', 'to': 'office', 'role': 'dropoff', 'label': 'tp'}, {'from': 'car', 'to': 'registrationDate', 'label': 'fp'}, {'from': 'car', 'to': 'fuelType', 'label': 'fp'}, {'from': 'car', 'to': 'category', 'label': 'fp'}, {'from': 'car', 'to': 'model', 'label': 'fp'}, {'from': 'model', 'to': 'brand', 'label': 'tp'}, {'from': 'office', 'to': 'city', 'label': 'tp'}, {'from': 'city', 'to': 'state', 'label': 'tp'}, {'from': 'state', 'to': 'country', 'label': 'tp'}, {'from': 'country', 'to': 'area', 'label': 'tp'}, {'from': 'RENTAL', 'to': 'amount', 'label': 'tp'}, {'from': 'RENTAL', 'to': 'discount', 'label': 'tp'}, {'from': 'RENTAL', 'to': 'insuranceCost', 'label': 'tp'}, {'from': 'RENTAL', 'to': 'milesTravelled', 'label': 'tp'}, {'from': 'RENTAL', 'to': 'car', 'label': 'fp'}, {'from': 'RENTAL', 'to': 'date', 'role': 'pickup', 'label': 'fp'}, {'from': 'RENTAL', 'to': 'date', 'role': 'dropoff', 'label': 'fp'}, {'from': 'RENTAL', 'to': 'office', 'role': 'pickup', 'label': 'fp'}, {'from': 'RENTAL', 'to': 'office', 'role': 'dropoff**Q:**', 'label': 'fp'}]","['category', 'fueltype', 'area', 'country', 'date', 'carplate', 'office', 'discount', 'model', 'insurancecost', 'brand', 'city', 'rental', 'milestravelled', 'state', 'amount']","['registrationdate', 'car']",['risk'],13,6,10,0.5652,0.6842,0.619,16,1,2,0.8889,0.9412,0.9143,0,6,10,0,0,False,0,0,0,0,0,0,True
exercise-7,demand,rq5,7,2025-08-31T19-31-55,1,114.8454,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,RENTAL,"['amount', 'discount', 'insuranceCost', 'milesTravelled']","[{'from': 'car', 'to': 'carPlate', 'label': 'fp'}, {'from': 'rental', 'to': 'date', 'role': 'pickup', 'label': 'tp'}, {'from': 'rental', 'to': 'date', 'role': 'dropoff', 'label': 'tp'}, {'from': 'rental', 'to': 'office', 'role': 'pickup', 'label': 'tp'}, {'from': 'rental', 'to': 'office', 'role': 'dropoff', 'label': 'tp'}, {'from': 'car', 'to': 'registrationDate', 'label': 'fp'}, {'from': 'car', 'to': 'fuelType', 'label': 'fp'}, {'from': 'car', 'to': 'category', 'label': 'fp'}, {'from': 'car', 'to': 'model', 'label': 'fp'}, {'from': 'model', 'to': 'brand', 'label': 'tp'}, {'from': 'office', 'to': 'city', 'label': 'tp'}, {'from': 'city', 'to': 'state', 'label': 'tp'}, {'from': 'state', 'to': 'country', 'label': 'tp'}, {'from': 'country', 'to': 'area', 'label': 'tp'}, {'from': 'RENTAL', 'to': 'amount', 'label': 'tp'}, {'from': 'RENTAL', 'to': 'discount', 'label': 'tp'}, {'from': 'RENTAL', 'to': 'insuranceCost', 'label': 'tp'}, {'from': 'RENTAL', 'to': 'milesTravelled', 'label': 'tp'}, {'from': 'RENTAL', 'to': 'car', 'label': 'fp'}, {'from': 'RENTAL', 'to': 'date', 'role': 'pickup', 'label': 'fp'}, {'from': 'RENTAL', 'to': 'date', 'role': 'dropoff', 'label': 'fp'}, {'from': 'RENTAL', 'to': 'office', 'role': 'pickup', 'label': 'fp'}, {'from': 'RENTAL', 'to': 'office', 'role': 'dropoff| + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + +', 'label': 'fp'}]","['category', 'fueltype', 'area', 'country', 'date', 'carplate', 'office', 'discount', 'model', 'insurancecost', 'brand', 'city', 'rental', 'milestravelled', 'state', 'amount']","['registrationdate', 'car']",['risk'],13,6,10,0.5652,0.6842,0.619,16,1,2,0.8889,0.9412,0.9143,0,6,10,0,0,False,0,0,0,0,0,0,True
exercise-8,demand,rq5,8,2025-08-31T19-45-19,1,115.0227,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,CheckIn,"['numberOfBagsBoarded', 'ticketAmount', 'taxAmount', 'totalAmount']","[{'from': 'passenger', 'to': 'firstName', 'label': 'tp'}, {'from': 'passenger', 'to': 'lastName', 'label': 'tp'}, {'from': 'passenger', 'to': 'date', 'role': 'birth', 'label': 'tp'}, {'from': 'passenger', 'to': 'city', 'label': 'fp'}, {'from': 'passenger', 'to': 'documentId', 'label': 'tp'}, {'from': 'passenger', 'to': 'documentType', 'label': 'tp'}, {'from': 'passenger', 'to': 'telephoneNumber', 'label': 'tp'}, {'from': 'passenger', 'to': 'emailAddress', 'label': 'tp'}, {'from': 'passenger', 'to': 'gender', 'label': 'tp'}, {'from': 'CheckIn', 'to': 'passenger', 'label': 'fp'}, {'from': 'CheckIn', 'to': 'seat', 'label': 'tp'}, {'from': 'CheckIn', 'to': 'date', 'role': 'checkInTime', 'label': 'fp'}, {'from': 'CheckIn', 'to': 'ticketNumber', 'label': 'tp'}, {'from': 'ticketNumber', 'to': 'date', 'role': 'purchaseDate', 'label': 'fp'}, {'from': 'ticketNumber', 'to': 'passenger', 'label': 'tp'}, {'from': 'ticketNumber', 'to': 'ticketPriority', 'label': 'tp'}, {'from': 'ticketNumber', 'to': 'flight', 'label': 'tp'}, {'from': 'flight', 'to': 'date', 'role': 'departureDate', 'label': 'fp'}, {'from': 'flight', 'to': 'date', 'role': 'arrivalDate', 'label': 'fp'}, {'from': 'flight', 'to': 'delayDeparture', 'label': 'tp'}, {'from': 'flight', 'to': 'delayArrival', 'label': 'tp'}, {'from': 'flight', 'to': 'cancellation', 'label': 'fp'}, {'from': 'flight', 'to': 'route', 'label': 'tp'}, {'from': 'route', 'to': 'departureAirport', 'label': 'fp'}, {'from': 'route', 'to': 'arrivalAirport', 'label': 'fp'}, {'from': 'route', 'to': 'date', 'role': 'routeDate', 'label': 'fp'}, {'from': 'route', 'to': 'airline', 'label': 'fp'}, {'from': 'airline', 'to': 'code', 'label': 'fp'}, {'from': 'airline', 'to': 'firstName', 'label': 'fp'}, {'from': 'airline', 'to': 'nation', 'label': 'fp'}, {'from': 'airplaneType', 'to': 'numberOfSeats', 'label': 'tp'}, {'from': 'departureAirport', 'to': 'code', 'label': 'fp'}, {'from': 'departureAirport', 'to': 'firstName', 'label': 'fp'}, {'from': 'departureAirport', 'to': 'city', 'label': 'fp'}, {'from': 'departureAirport', 'to': 'nation', 'label': 'fp'}, {'from': 'arrivalAirport', 'to': 'code', 'label': 'fp'}, {'from': 'arrivalAirport', 'to': 'firstName', 'label': 'fp'}, {'from': 'arrivalAirport', 'to': 'city', 'label': 'fp'}, {'from': 'arrivalAirport', 'to': 'nation', 'label': 'fp'}, {'from': 'CheckIn', 'to': 'numberOfBagsBoarded', 'label': 'fp'}, {'from': 'CheckIn', 'to': 'ticketAmount', 'label': 'tp'}, {'from': 'CheckIn', 'to': 'taxAmount', 'label': 'tp'}, {'from': 'CheckIn', 'to': 'totalAmount', 'label': 'tp'}]","['checkin', 'delaydeparture', 'telephonenumber', 'totalamount', 'ticketamount', 'route', 'taxamount', 'city', 'nation', 'ticketpriority', 'airplanetype', 'flight', 'date', 'firstname', 'delayarrival', 'documentid', 'documenttype', 'numberofseats', 'seat', 'gender', 'emailaddress', 'lastname', 'ticketnumber', 'passenger']","['arrivalairport', 'cancellation', 'airline', 'code', 'numberofbagsboarded', 'departureairport']","['time', 'flightdate', 'airportcode', 'airlinenation', 'departuretime', 'numberofbags', 'airlinename', 'airlinecode', 'arrivaltime', 'cancelled', 'airportname']",20,17,23,0.4651,0.5405,0.5,24,11,6,0.8,0.6857,0.7385,0,17,23,1,1,False,1,0,3,0,3,1,True
exercise-9,demand,rq5,9,2025-08-31T19-52-59,1,114.9615,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,TICKET,"['price', 'distance', 'baseFare', 'duration']","[{'from': 'ticket', 'to': 'date', 'role': 'purchase', 'label': 'tp'}, {'from': 'ticket', 'to': 'customerCode', 'label': 'tp'}, {'from': 'customerCode', 'to': 'customerCode', 'label': 'fp'}, {'from': 'customerCode', 'to': 'firstName', 'label': 'tp'}, {'from': 'customerCode', 'to': 'lastName', 'label': 'tp'}, {'from': 'customerCode', 'to': 'date', 'role': 'birth', 'label': 'tp'}, {'from': 'customerCode', 'to': 'city', 'role': 'birth', 'label': 'tp'}, {'from': 'customerCode', 'to': 'documentId', 'label': 'tp'}, {'from': 'route', 'to': 'stationDeparture', 'label': 'fp'}, {'from': 'route', 'to': 'stationArrival', 'label': 'fp'}, {'from': 'stationDeparture', 'to': 'stationName', 'label': 'fp'}, {'from': 'stationDeparture', 'to': 'city', 'label': 'fp'}, {'from': 'city', 'to': 'region', 'label': 'tp'}, {'from': 'route', 'to': 'trip', 'label': 'fp'}, {'from': 'trip', 'to': 'date', 'role': 'tripDate', 'label': 'fp'}, {'from': 'trip', 'to': 'train', 'label': 'fp'}, {'from': 'train', 'to': 'trainCode', 'label': 'fp'}, {'from': 'train', 'to': 'trainType', 'label': 'fp'}, {'from': 'trainType', 'to': 'capacity', 'label': 'tp'}, {'from': 'TICKET', 'to': 'price', 'label': 'fp'}, {'from': 'TICKET', 'to': 'distance', 'label': 'fp'}, {'from': 'TICKET', 'to': 'baseFare', 'label': 'fp'}, {'from': 'TICKET', 'to': 'duration', 'label': 'fp'}, {'from': 'TICKET', 'to': 'customerCode', 'label': 'fp'}, {'from': 'TICKET', 'to': 'route', 'label': 'fp'}]","['traincode', 'date', 'customercode', 'route', 'region', 'firstname', 'traintype', 'stationname', 'city', 'trip', 'documentid', 'capacity', 'lastname', 'basefare', 'distance', 'price']","['duration', 'train', 'stationarrival', 'stationdeparture', 'ticket']","['timeduration', 'status', 'ticket', 'location', 'routeinticket']",9,15,16,0.36,0.375,0.3673,16,5,5,0.7619,0.7619,0.7619,0,15,16,1,1,True,1,0,0,0,0,0,True
exercise-9,demand,rq5,9,2025-08-31T19-56-49,1,114.9438,falcon-3-10B-inst-hf,falcon3-10,,,0.2,,,,0.9,,TICKET,"['price', 'distance', 'baseFare', 'duration']","[{'from': 'route', 'to': 'ticket', 'label': 'fp'}, {'from': 'ticket', 'to': 'customerCode', 'label': 'tp'}, {'from': 'customerCode', 'to': 'customerCode', 'label': 'fp'}, {'from': 'customerCode', 'to': 'firstName', 'label': 'tp'}, {'from': 'customerCode', 'to': 'lastName', 'label': 'tp'}, {'from': 'customerCode', 'to': 'date', 'role': 'birth', 'label': 'tp'}, {'from': 'customerCode', 'to': 'city', 'role': 'birth', 'label': 'tp'}, {'from': 'customerCode', 'to': 'documentId', 'label': 'tp'}, {'from': 'route', 'to': 'departureStation', 'label': 'fp'}, {'from': 'route', 'to': 'arrivalStation', 'label': 'fp'}, {'from': 'departureStation', 'to': 'stationName', 'label': 'fp'}, {'from': 'departureStation', 'to': 'city', 'label': 'fp'}, {'from': 'city', 'to': 'region', 'label': 'tp'}, {'from': 'arrivalStation', 'to': 'stationName', 'label': 'fp'}, {'from': 'arrivalStation', 'to': 'city', 'label': 'fp'}, {'from': 'city', 'to': 'region', 'label': 'fp'}, {'from': 'ticket', 'to': 'trip', 'label': 'fp'}, {'from': 'trip', 'to': 'train', 'label': 'fp'}, {'from': 'trip', 'to': 'date', 'role': 'tripDate', 'label': 'fp'}, {'from': 'trip', 'to': 'status', 'label': 'tp'}, {'from': 'train', 'to': 'trainCode', 'label': 'fp'}, {'from': 'train', 'to': 'trainType', 'label': 'fp'}, {'from': 'trainType', 'to': 'capacity', 'label': 'tp'}, {'from': 'TICKET', 'to': 'price', 'label': 'fp'}, {'from': 'TICKET', 'to': 'distance', 'label': 'fp'}, {'from': 'TICKET', 'to': 'baseFare', 'label': 'fp'}, {'from': 'TICKET', 'to': 'duration|++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++', 'label': 'fp'}]","['traincode', 'date', 'customercode', 'route', 'region', 'firstname', 'traintype', 'status', 'city', 'trip', 'documentid', 'stationname', 'capacity', 'lastname', 'basefare', 'distance', 'price']","['departurestation', 'duration', 'train', 'arrivalstation', 'duration|++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++', 'ticket']","['timeduration', 'ticket', 'location', 'routeinticket']",9,15,18,0.3333,0.375,0.3529,17,4,6,0.7391,0.8095,0.7727,0,15,18,1,1,True,1,0,2,0,2,0,True
