ex_name,ex_version,ex_prompt_version,ex_number,timestamp,index,time,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1,errors_dependencies_reversed,errors_dependencies_missing,errors_dependencies_extra,errors_measures_missing,errors_measures_extra,errors_fact_incorrect,errors_fact_false_fact,errors_attributes_shared_missing,errors_attributes_shared_extra,errors_attributes_shared_with_fact_root_missing,errors_attributes_shared_with_fact_root_extra,errors_miscellaneous_extra_disconnected_components,errors_miscellaneous_extra_tags
exercise-1,sql,rq3-dec,1,2025-08-31T12-19-25,1,49.1776,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,INSTALLATIONS,"['COMPUTER.Model', 'SOFTWARE.Type', 'SUPPLIES.SupplierName']","[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierAddress', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierAddress', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierAddress', 'label': 'fp'}]","['installations', 'computer.codcomputer', 'software.codsoftw', 'supplies.brand']","['installations.codsoftw', 'computer.model', 'computer.brand', 'supplies.suppliername', 'supplies.supplieraddress', 'software.type', 'installations.codcomputer', 'supplies.suppliercity']","['computer.model', 'software.softwaredescription', 'suppliers.supplieraddress', 'software.type', 'suppliers.suppliername', 'installations.installationdate', 'suppliers.suppliercity']",1,9,11,0.0833,0.1,0.0909,4,7,8,0.3333,0.3636,0.3478,0,9,11,0,3,False,2,0,2,0,0,1,False
exercise-1,sql,rq3-dec,1,2025-08-31T12-21-04,1,49.2362,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,INSTALLATIONS,['SUPPLIES.SupplierName'],"[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'SUPPLIES.Supplier', 'to': 'E,R,R,O,R', 'label': 'fp'}]","['computer.model', 'computer.codcomputer', 'software.type', 'software.codsoftw', 'installations', 'supplies.brand']","['installations.codsoftw', 'computer.brand', 'supplies.suppliername', 'installations.codcomputer', 'supplies.supplier', 'o,e,r']","['software.softwaredescription', 'suppliers.supplieraddress', 'suppliers.suppliername', 'installations.installationdate', 'suppliers.suppliercity']",1,9,10,0.0909,0.1,0.0952,6,5,6,0.5,0.5455,0.5217,0,9,10,0,1,False,2,0,2,0,0,2,False
exercise-1,sql,rq3-dec,1,2025-08-31T12-21-53,1,49.2602,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,INSTALLATIONS,"['COMPUTER.Model', 'SOFTWARE.Type', 'SUPPLIES.SupplierName', 'SUPPLIES.SupplierCity', 'SUPPLIES.SupplierAddress']","[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'E,R,R,O,R', 'label': 'fp'}]","['supplies.brand', 'installations', 'computer.codcomputer']","['computer.model', 'computer.brand', 'supplies.suppliername', 'supplies.supplieraddress', 'software.type', 'supplies.suppliercity', 'o,e,r']","['computer.model', 'software.softwaredescription', 'suppliers.supplieraddress', 'software.type', 'software.codsoftw', 'suppliers.suppliername', 'installations.installationdate', 'suppliers.suppliercity']",0,10,3,0.0,0.0,0,3,8,7,0.3,0.2727,0.2857,1,9,2,0,5,False,1,0,0,0,0,0,False
exercise-2,sql,rq3-dec,2,2025-08-31T12-23-32,1,49.2358,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.revenue', 'PURCHASE.quantity']","[{'from': 'TYPES.typeId', 'to': 'TYPES.typeName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.artName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.unitPrice', 'label': 'fp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.type', 'label': 'fp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.regionName', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.state', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.country', 'label': 'fp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeName', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeAddress', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.artId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.type', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'REGIONS.regId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'STORES.storeId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'REGIONS.regId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'STORES.storeId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.artId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'E,R,R,O,R', 'label': 'fp'}]","['purchase.revenue', 'regions.country', 'stores.storename', 'articles.artname', 'stores.storeaddress', 'regions.regid', 'regions.state', 'types.typename', 'purchase', 'articles.artid', 'stores.storeid', 'regions.regionname', 'types.typeid', 'purchase.quantity']","['articles.unitprice', 'articles.type', 'o,e,r']","['articles.unitprice', 'purchase.date']",11,4,9,0.55,0.7333,0.6286,14,2,3,0.8235,0.875,0.8485,0,4,9,1,0,False,1,0,5,0,5,1,False
exercise-2,sql,rq3-dec,2,2025-08-31T12-24-21,1,49.1991,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.revenue', 'PURCHASE.quantity']","[{'from': 'PURCHASE.storeId', 'to': 'STORES.storeId', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'STORES.storeName', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'STORES.storeAddress', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'REGIONS.regId', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'REGIONS.state', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'REGIONS.country', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'ARTICLES.artId', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'ARTICLES.artName', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'ARTICLES.unitPrice', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'ARTICLES.type', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'TYPES.typeId', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'TYPES.typeName', 'label': 'fp'}, {'from': 'PURCHASE.date', 'to': 'PURCHASE.quantity', 'label': 'fp'}, {'from': 'PURCHASE.date', 'to': 'PURCHASE.revenue', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'PURCHASE.storeId', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'E,R,R,O,R', 'label': 'fp'}]","['purchase.revenue', 'regions.country', 'purchase.date', 'stores.storename', 'articles.artname', 'stores.storeaddress', 'regions.regid', 'regions.state', 'types.typename', 'purchase', 'articles.artid', 'stores.storeid', 'types.typeid', 'purchase.quantity']","['articles.type', 'purchase.storeid', 'purchase.artid', 'articles.unitprice', 'o,e,r']","['articles.unitprice', 'regions.regionname']",0,15,16,0.0,0.0,0,14,2,5,0.7368,0.875,0.8,0,15,16,1,0,False,2,0,0,0,0,1,False
exercise-2,sql,rq3-dec,2,2025-08-31T12-25-10,1,49.1681,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue']","[{'from': 'STORES.storeId', 'to': 'E,R,R,O,R', 'label': 'fp'}]","['purchase.revenue', 'stores.storeid', 'purchase', 'purchase.quantity']","['o,e,r']","['regions.country', 'purchase.date', 'stores.storename', 'stores.storeaddress', 'regions.regid', 'regions.state', 'types.typename', 'articles.artid', 'articles.unitprice', 'regions.regionname', 'types.typeid', 'articles.artname']",0,15,1,0.0,0.0,0,4,12,1,0.8,0.25,0.381,0,15,1,1,0,False,1,0,0,0,0,0,False
exercise-2,sql,rq3-dec,2,2025-08-31T12-25-59,1,49.1879,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.revenue', 'PURCHASE.quantity']","[{'from': 'PURCHASE.storeId', 'to': 'STORES.storeId', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'STORES.storeName', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'STORES.storeAddress', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'REGIONS.regId,REGIONS.state', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'REGIONS.regionName', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'ARTICLES.artId', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'ARTICLES.artName', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'ARTICLES.unitPrice', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'TYPES.typeId', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'TYPES.typeName', 'label': 'fp'}, {'from': 'PURCHASE.date', 'to': 'PURCHASE.storeId', 'label': 'fp'}, {'from': 'PURCHASE.date', 'to': 'PURCHASE.artId', 'label': 'fp'}, {'from': 'PURCHASE.date', 'to': 'PURCHASE.quantity', 'label': 'fp'}, {'from': 'PURCHASE.date', 'to': 'PURCHASE.revenue', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'PURCHASE.date', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'PURCHASE.date', 'label': 'fp'}, {'from': 'PURCHASE.quantity', 'to': 'PURCHASE.revenue', 'label': 'fp'}, {'from': 'PURCHASE.revenue', 'to': 'PURCHASE.quantity', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'PURCHASE.revenue', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'PURCHASE.revenue', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'PURCHASE.quantity', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'PURCHASE.revenue', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'PURCHASE.quantity', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'PURCHASE.quantity', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'PURCHASE.revenue', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'PURCHASE.quantityassistant', 'label': 'fp'}]","['purchase.revenue', 'purchase.date', 'stores.storename', 'articles.artname', 'stores.storeaddress', 'types.typename', 'purchase', 'articles.artid', 'stores.storeid', 'regions.regionname', 'types.typeid', 'purchase.quantity']","['purchase.storeid', 'purchase.quantityassistant', 'regions.regid,regions.state', 'purchase.artid', 'articles.unitprice']","['regions.country', 'regions.regid', 'regions.state', 'articles.unitprice']",0,15,26,0.0,0.0,0,12,4,5,0.7059,0.75,0.7273,0,15,26,1,0,False,0,0,3,0,0,0,False
exercise-2,sql,rq3-dec,2,2025-08-31T12-26-48,1,49.2076,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue']","[{'from': 'STORES.storeId', 'to': 'STORES.storeName', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeAddress', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'REGIONS.regId', 'label': 'fp'}, {'from': 'STORES.storeId', 'to': 'REGIONS.regionName', 'label': 'fp'}, {'from': 'STORES.storeId', 'to': 'REGIONS.state', 'label': 'fp'}, {'from': 'STORES.storeId', 'to': 'REGIONS.country', 'label': 'fp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.artName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.unitPrice', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'E,R,R,O,R', 'label': 'fp'}]","['purchase.revenue', 'regions.country', 'stores.storename', 'articles.artname', 'stores.storeaddress', 'regions.regid', 'regions.state', 'purchase', 'articles.artid', 'stores.storeid', 'regions.regionname', 'purchase.quantity']","['articles.unitprice', 'o,e,r', 'purchase.artid']","['types.typename', 'purchase.date', 'articles.unitprice', 'types.typeid']",3,12,6,0.3333,0.2,0.25,12,4,3,0.8,0.75,0.7742,0,12,6,1,0,False,3,0,0,0,0,2,False
exercise-3,sql,rq3-dec,3,2025-08-31T12-27-38,1,49.2596,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,PURCHASES,"['PURCHASES.Amount', 'PURCHASES.Exchange', 'CREDITCARDS.CreditLimit']","[{'from': 'CREDITCARDS.CCNumber', 'to': 'CREDITCARDS.TypeCode', 'label': 'fp'}, {'from': 'CREDITCARDS.CCNumber', 'to': 'CREDITCARDS.HolderCode', 'label': 'fp'}, {'from': 'CREDITCARDS.CCNumber', 'to': 'CREDITCARDS.ExpirationDate', 'label': 'tp'}, {'from': 'CREDITCARDS.CCNumber', 'to': 'CREDITCARDS.CreditLimit', 'label': 'fp'}, {'from': 'CREDITCARDS.CCNumber', 'to': 'PURCHASES.Amount', 'label': 'fp'}, {'from': 'CREDITCARDS.CCNumber', 'to': 'PURCHASES.Exchange', 'label': 'fp'}, {'from': 'CREDITCARDS.CCNumber', 'to': 'PURCHASES.Date', 'label': 'fp'}, {'from': 'PURCHASES.CCNumber', 'to': 'CREDITCARDS.CCNumber', 'label': 'fp'}, {'from': 'PURCHASES.CCNumber', 'to': 'CREDITCARDS.TypeCode', 'label': 'fp'}, {'from': 'PURCHASES.CCNumber', 'to': 'CREDITCARDS.HolderCode', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.StoreCode', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.Name', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.Address', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.Country', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.Area', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.WebSite', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.Email', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.Type', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.HolderCode', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.FirstName', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.LastName', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.BirthDate', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Job', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.IncomeRange', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Quality', 'label': 'fp'}, {'from': 'PURCHASES.Date', 'to': 'CREDITCARDS.ExpirationDate', 'label': 'fp'}, {'from': 'PURCHASES.Amount', 'to': 'CREDITCARDS.CreditLimit', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.Country', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.Area', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.Type', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Job', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.IncomeRange', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Quality', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.Type', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Job', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.IncomeRange', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Quality', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.Type', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Job', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.IncomeRange', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Quality', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.Type', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Job', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.IncomeRange', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Quality', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.Type', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Job', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.IncomeRange', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Quality', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.Type', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Job', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.IncomeRange', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Quality', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.Type', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Job', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.IncomeRange', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Quality', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.Type', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Job', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.IncomeRange', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Quality', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.Type', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Job', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.IncomeRange', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Quality', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.Type', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Job', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.IncomeRange', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Quality', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.Type', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Job', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.IncomeRange', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Quality', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.Type', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Job', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.IncomeRange', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Quality', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.Type', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Job', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.IncomeRange', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Quality', 'label': 'fp'}]","['stores.name', 'holders.lastname', 'holders.firstname', 'holders.incomerange', 'stores.type', 'holders.holdercode', 'purchases.amount', 'stores.website', 'holders.quality', 'creditcards.expirationdate', 'purchases.exchange', 'creditcards.creditlimit', 'stores.country', 'holders.birthdate', 'stores.email', 'holders.job', 'creditcards.ccnumber', 'stores.storecode', 'purchases', 'stores.address', 'stores.area', 'purchases.date']","['purchases.ccnumber', 'creditcards.holdercode', 'purchases.storecode', 'creditcards.typecode']","['cardtypes.typecode', 'cardtypes.circuit', 'cardtypes.address', 'cardtypes.country', 'cardtypes.cardname', 'cardtypes.color', 'purchases.currency', 'cardtypes.issuingbank']",1,28,80,0.0123,0.0345,0.0182,22,8,4,0.8462,0.7333,0.7857,0,28,80,0,0,False,2,0,10,0,0,1,False
exercise-3,sql,rq3-dec,3,2025-08-31T12-28-27,1,49.2592,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,PURCHASE,"['CREDITCARDS.CreditLimit', 'PURCHASES.Amount', 'PURCHASES.Exchange']","[{'from': 'CREDITCARDS.CCNumber', 'to': 'PURCHASES.CCNumber', 'label': 'fp'}, {'from': 'CREDITCARDS.CCNumber', 'to': 'PURCHASES.Amount', 'label': 'fp'}, {'from': 'CREDITCARDS.CCNumber', 'to': 'PURCHASES.Exchange', 'label': 'fp'}, {'from': 'CREDITCARDS.TypeCode', 'to': 'CARDTYPES.Circuit', 'label': 'fp'}, {'from': 'CREDITCARDS.TypeCode', 'to': 'CARDTYPES.IssuingBank', 'label': 'fp'}, {'from': 'CREDITCARDS.TypeCode', 'to': 'CARDTYPES.Address', 'label': 'fp'}, {'from': 'CREDITCARDS.TypeCode', 'to': 'CARDTYPES.Country', 'label': 'fp'}, {'from': 'CREDITCARDS.TypeCode', 'to': 'CARDTYPES.CardName', 'label': 'fp'}, {'from': 'CREDITCARDS.TypeCode', 'to': 'CARDTYPES.Color', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.FirstName', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.LastName', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.BirthDate', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Job', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.IncomeRange', 'label': 'fp'}, {'from': 'CREDITCARDS.HolderCode', 'to': 'HOLDERS.Quality', 'label': 'fp'}, {'from': 'PURCHASES.CCNumber', 'to': 'CREDITCARDS.CreditLimit', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.Name', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.Address', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.Country', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.Area', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.WebSite', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.Email', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.Type', 'label': 'fp'}, {'from': 'PURCHASES.StoreCode', 'to': 'STORES.Type', 'label': 'fp'}]","['stores.name', 'cardtypes.circuit', 'holders.lastname', 'holders.firstname', 'holders.incomerange', 'stores.type', 'purchases.amount', 'cardtypes.cardname', 'stores.website', 'holders.quality', 'purchases.exchange', 'creditcards.creditlimit', 'cardtypes.address', 'stores.country', 'holders.birthdate', 'cardtypes.color', 'stores.email', 'holders.job', 'creditcards.ccnumber', 'stores.address', 'stores.area', 'cardtypes.country', 'cardtypes.issuingbank']","['purchases.storecode', 'creditcards.typecode', 'purchases.ccnumber', 'creditcards.holdercode', 'purchase']","['cardtypes.typecode', 'holders.holdercode', 'stores.storecode', 'creditcards.expirationdate', 'purchases', 'purchases.date', 'purchases.currency']",0,29,24,0.0,0.0,0,23,7,5,0.8214,0.7667,0.7931,0,29,24,0,0,True,4,0,1,0,0,3,False
