ex_name,ex_version,ex_prompt_version,ex_number,timestamp,index,time,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1,errors_dependencies_reversed,errors_dependencies_missing,errors_dependencies_extra,errors_measures_missing,errors_measures_extra,errors_fact_incorrect,errors_fact_false_fact,errors_attributes_shared_missing,errors_attributes_shared_extra,errors_attributes_shared_with_fact_root_missing,errors_attributes_shared_with_fact_root_extra,errors_miscellaneous_extra_disconnected_components,errors_miscellaneous_extra_tags
exercise-1,demand,rq5,1,2025-09-06T10-15-40,1,84.6003,mistral-7B-inst-v0.3-hf,mistral-7,,,0.2,,,,0.9,,INSTALLATION,,"[{'from': 'computer', 'to': 'model', 'label': 'tp'}, {'from': 'computer', 'to': 'brand', 'role': 'from', 'label': 'fp'}, {'from': 'brand', 'to': 'supplier', 'label': 'tp'}, {'from': 'supplier', 'to': 'city', 'label': 'tp'}, {'from': 'supplier', 'to': 'address', 'label': 'tp'}, {'from': 'software', 'to': 'description', 'label': 'tp'}, {'from': 'software', 'to': 'type', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'computer', 'role': 'to', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'date', 'label': 'tp'}]","['date', 'type', 'installation', 'description', 'model', 'brand', 'software', 'computer', 'address', 'supplier', 'city']",[],[],7,3,2,0.7778,0.7,0.7368,11,0,0,1.0,1.0,1.0,0,3,2,0,0,False,1,0,0,0,0,1,True
exercise-1,demand,rq5,1,2025-09-06T10-17-04,1,84.5506,mistral-7B-inst-v0.3-hf,mistral-7,,,0.2,,,,0.9,,INSTALLATION,,"[{'from': 'computer', 'to': 'model', 'label': 'tp'}, {'from': 'computer', 'to': 'brand', 'label': 'tp'}, {'from': 'brand', 'to': 'supplier', 'role': 'supplier', 'label': 'fp'}, {'from': 'supplier', 'to': 'city', 'label': 'tp'}, {'from': 'supplier', 'to': 'address', 'label': 'tp'}, {'from': 'software', 'to': 'description', 'label': 'tp'}, {'from': 'software', 'to': 'type', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'computer', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'software', 'label': 'tp'}, {'from': 'INSTALLATION', 'to': 'date', 'label': 'tp'}]","['date', 'type', 'installation', 'description', 'model', 'brand', 'software', 'computer', 'address', 'supplier', 'city']",[],[],9,1,1,0.9,0.9,0.9,11,0,0,1.0,1.0,1.0,0,1,1,0,0,False,0,0,0,0,0,0,True
exercise-1,demand,rq5,1,2025-09-06T10-19-54,1,84.5560,mistral-7B-inst-v0.3-hf,mistral-7,,,0.2,,,,0.9,,INSTALLATION,,"[{'from': 'computer', 'to': 'model', 'label': 'tp'}, {'from': 'computer', 'to': 'brand', 'label': 'tp'}, {'from': 'brand', 'to': 'supplier', 'label': 'tp'}, {'from': 'supplier', 'to': 'city', 'label': 'tp'}, {'from': 'supplier', 'to': 'address', 'label': 'tp'}, {'from': 'software', 'to': 'description', 'label': 'tp'}, {'from': 'software', 'to': 'type', 'label': 'tp'}, {'from': 'computer', 'to': 'date', 'label': 'fp'}]","['date', 'type', 'installation', 'description', 'model', 'brand', 'software', 'computer', 'address', 'supplier', 'city']",[],[],7,3,1,0.875,0.7,0.7778,11,0,0,1.0,1.0,1.0,0,3,1,0,0,False,2,0,0,0,0,1,False
exercise-2,demand,rq5,2,2025-09-06T10-21-18,1,84.5675,mistral-7B-inst-v0.3-hf,mistral-7,,,0.2,,,,0.9,,PURCHASE,"['quantity', 'revenue', 'unitPrice']","[{'from': 'store', 'to': 'storeName', 'label': 'tp'}, {'from': 'store', 'to': 'address', 'label': 'tp'}, {'from': 'store', 'to': 'region', 'label': 'tp'}, {'from': 'region', 'to': 'state', 'label': 'tp'}, {'from': 'state', 'to': 'country', 'label': 'tp'}, {'from': 'article', 'to': 'articleName', 'label': 'tp'}, {'from': 'article', 'to': 'type', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'store', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'article', 'label': 'tp'}]","['type', 'region', 'articlename', 'revenue', 'quantity', 'address', 'purchase', 'unitprice', 'country', 'store', 'article', 'state', 'storename']",[],['date'],12,1,0,1.0,0.9231,0.96,13,1,0,1.0,0.9286,0.963,0,1,0,0,0,False,0,0,0,0,0,0,False
exercise-2,demand,rq5,2,2025-09-06T10-22-43,1,84.5259,mistral-7B-inst-v0.3-hf,mistral-7,,,0.2,,,,0.9,,PURCHASE,"['quantity', 'revenue', 'unitPrice']","[{'from': 'store', 'to': 'storeName', 'label': 'tp'}, {'from': 'store', 'to': 'address', 'label': 'tp'}, {'from': 'store', 'to': 'region', 'label': 'tp'}, {'from': 'region', 'to': 'state', 'label': 'tp'}, {'from': 'state', 'to': 'country', 'label': 'tp'}, {'from': 'article', 'to': 'articleName', 'label': 'tp'}, {'from': 'article', 'to': 'type', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'store', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'article', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'date', 'label': 'tp'}]","['date', 'type', 'region', 'articlename', 'revenue', 'quantity', 'address', 'purchase', 'unitprice', 'country', 'store', 'article', 'state', 'storename']",[],[],13,0,0,1.0,1.0,1.0,14,0,0,1.0,1.0,1.0,0,0,0,0,0,False,0,0,0,0,0,0,False
exercise-2,demand,rq5,2,2025-09-06T10-24-07,1,84.5785,mistral-7B-inst-v0.3-hf,mistral-7,,,0.2,,,,0.9,,PURCHASE,"['quantity', 'revenue', 'unitPrice']","[{'from': 'store', 'to': 'storeName', 'label': 'tp'}, {'from': 'store', 'to': 'address', 'label': 'tp'}, {'from': 'store', 'to': 'region', 'label': 'tp'}, {'from': 'region', 'to': 'state', 'label': 'tp'}, {'from': 'state', 'to': 'country', 'label': 'tp'}, {'from': 'article', 'to': 'articleName', 'label': 'tp'}, {'from': 'article', 'to': 'type', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'store', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'article', 'label': 'tp'}]","['type', 'region', 'articlename', 'revenue', 'quantity', 'address', 'purchase', 'unitprice', 'country', 'store', 'article', 'state', 'storename']",[],['date'],12,1,0,1.0,0.9231,0.96,13,1,0,1.0,0.9286,0.963,0,1,0,0,0,False,0,0,0,0,0,0,False
exercise-2,demand,rq5,2,2025-09-06T10-25-32,1,84.5505,mistral-7B-inst-v0.3-hf,mistral-7,,,0.2,,,,0.9,,PURCHASE,"['quantity', 'revenue', 'unitPrice']","[{'from': 'store', 'to': 'storeName', 'label': 'tp'}, {'from': 'store', 'to': 'address', 'label': 'tp'}, {'from': 'store', 'to': 'region', 'label': 'tp'}, {'from': 'region', 'to': 'state', 'label': 'tp'}, {'from': 'state', 'to': 'country', 'label': 'tp'}, {'from': 'article', 'to': 'articleName', 'label': 'tp'}, {'from': 'article', 'to': 'type', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'store', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'article', 'label': 'tp'}]","['type', 'region', 'articlename', 'revenue', 'quantity', 'address', 'purchase', 'unitprice', 'country', 'store', 'article', 'state', 'storename']",[],['date'],12,1,0,1.0,0.9231,0.96,13,1,0,1.0,0.9286,0.963,0,1,0,0,0,False,0,0,0,0,0,0,False
exercise-2,demand,rq5,2,2025-09-06T10-26-56,1,84.5571,mistral-7B-inst-v0.3-hf,mistral-7,,,0.2,,,,0.9,,PURCHASE,"['quantity', 'revenue', 'unitPrice']","[{'from': 'store', 'to': 'storeName', 'label': 'tp'}, {'from': 'store', 'to': 'address', 'label': 'tp'}, {'from': 'store', 'to': 'region', 'label': 'tp'}, {'from': 'region', 'to': 'state', 'label': 'tp'}, {'from': 'state', 'to': 'country', 'label': 'tp'}, {'from': 'article', 'to': 'articleName', 'label': 'tp'}, {'from': 'article', 'to': 'type', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'store', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'article', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'date', 'label': 'tp'}]","['date', 'type', 'region', 'articlename', 'revenue', 'quantity', 'address', 'purchase', 'unitprice', 'country', 'store', 'article', 'state', 'storename']",[],[],13,0,0,1.0,1.0,1.0,14,0,0,1.0,1.0,1.0,0,0,0,0,0,False,0,0,0,0,0,0,False
exercise-2,demand,rq5,2,2025-09-06T10-29-46,1,84.5433,mistral-7B-inst-v0.3-hf,mistral-7,,,0.2,,,,0.9,,PURCHASE,"['quantity', 'revenue', 'unitPrice']","[{'from': 'store', 'to': 'storeName', 'label': 'tp'}, {'from': 'store', 'to': 'address', 'label': 'tp'}, {'from': 'store', 'to': 'region', 'label': 'tp'}, {'from': 'region', 'to': 'state', 'label': 'tp'}, {'from': 'state', 'to': 'country', 'label': 'tp'}, {'from': 'article', 'to': 'articleName', 'label': 'tp'}, {'from': 'article', 'to': 'type', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'store', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'article', 'label': 'tp'}]","['type', 'region', 'articlename', 'revenue', 'quantity', 'address', 'purchase', 'unitprice', 'country', 'store', 'article', 'state', 'storename']",[],['date'],12,1,0,1.0,0.9231,0.96,13,1,0,1.0,0.9286,0.963,0,1,0,0,0,False,0,0,0,0,0,0,False
exercise-2,demand,rq5,2,2025-09-06T10-31-10,1,84.5671,mistral-7B-inst-v0.3-hf,mistral-7,,,0.2,,,,0.9,,PURCHASE,"['quantity', 'revenue', 'unitPrice']","[{'from': 'store', 'to': 'storeName', 'label': 'tp'}, {'from': 'store', 'to': 'address', 'label': 'tp'}, {'from': 'store', 'to': 'region', 'label': 'tp'}, {'from': 'region', 'to': 'state', 'label': 'tp'}, {'from': 'state', 'to': 'country', 'label': 'tp'}, {'from': 'article', 'to': 'articleName', 'label': 'tp'}, {'from': 'article', 'to': 'type', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'store', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'article', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'date', 'label': 'tp'}]","['date', 'type', 'region', 'articlename', 'revenue', 'quantity', 'address', 'purchase', 'unitprice', 'country', 'store', 'article', 'state', 'storename']",[],[],13,0,0,1.0,1.0,1.0,14,0,0,1.0,1.0,1.0,0,0,0,0,0,False,0,0,0,0,0,0,False
