ex_name,ex_version,ex_prompt_version,ex_number,timestamp,index,time,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1,errors_dependencies_reversed,errors_dependencies_missing,errors_dependencies_extra,errors_measures_missing,errors_measures_extra,errors_fact_incorrect,errors_fact_false_fact,errors_attributes_shared_missing,errors_attributes_shared_extra,errors_attributes_shared_with_fact_root_missing,errors_attributes_shared_with_fact_root_extra,errors_miscellaneous_extra_disconnected_components,errors_miscellaneous_extra_tags
exercise-1,sql,rq3-dec,1,2025-09-05T20-43-19,1,109.3363,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,INSTALLATIONS,"['SUPPLIES.SupplierName', 'COMPUTER.Model', 'SOFTWARE.Type']","[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SOFTWARE.Type', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierAddress', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'INSTALLATIONS.CodComputer,INSTALLATIONS.CodSoftw', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIES', 'to': 'E,R,R,O,R', 'label': 'fp'}]","['computer.codcomputer', 'supplies.brand', 'installations.installationdate', 'installations', 'software.softwaredescription', 'software.codsoftw']","['supplies', 'computer.model', 'o,r,e', 'supplies.suppliername', 'supplies.suppliercity', 'software.type', 'supplies.supplieraddress', 'installations.codsoftw', 'installations.codsoftw,installations.codcomputer', 'installations.codcomputer', 'computer.brand']","['suppliers.suppliercity', 'computer.model', 'suppliers.suppliername', 'software.type', 'suppliers.supplieraddress']",2,8,11,0.1538,0.2,0.1739,6,5,11,0.3529,0.5455,0.4286,1,7,10,0,3,False,4,0,1,0,0,4,False
exercise-1,sql,rq3-dec,1,2025-09-05T20-45-08,1,109.8079,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,INSTALLATION,['SUPPLIERS.SupplierName'],"[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'COMPUTER.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUP', 'label': 'fp'}]","['suppliers.suppliercity', 'computer.codcomputer', 'supplies.brand', 'installations.installationdate', 'software.type', 'software.codsoftw']","['installation', 'suppliers.suppliername', 'supplies.suppliername', 'installations.codsoftw', 'sup', 'installations.codcomputer', 'computer.brand']","['computer.model', 'software.softwaredescription', 'suppliers.suppliername', 'installations', 'suppliers.supplieraddress']",1,9,14,0.0667,0.1,0.08,6,5,7,0.4615,0.5455,0.5,0,9,14,0,1,True,1,0,4,0,0,0,False
exercise-1,sql,rq3-dec,1,2025-09-05T20-46-57,1,108.3050,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,INSTALLATIONS,"['COMPUTER.Model', 'SOFTWARE.Type', 'SUPPLIES.SupplierName']","[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'E,R,R,O,R', 'label': 'fp'}]","['installations', 'computer.codcomputer', 'supplies.brand']","['computer.model', 'o,r,e', 'supplies.suppliername', 'software.type', 'computer.brand']","['computer.model', 'suppliers.suppliercity', 'installations.installationdate', 'software.softwaredescription', 'suppliers.suppliername', 'software.type', 'suppliers.supplieraddress', 'software.codsoftw']",0,10,3,0.0,0.0,0,3,8,5,0.375,0.2727,0.3158,1,9,2,0,3,False,1,0,0,0,0,0,False
exercise-1,sql,rq3-dec,1,2025-09-05T20-48-46,1,109.7271,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,INSTALLATIONS,"['SUPPLIES.SupplierName', 'COMPUTER.Model', 'SOFTWARE.Type']","[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SOFTWARE.Type', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierAddress', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'INSTALLATIONS.CodComputer,INSTALLATIONS', 'to': 'E,R,R,O,R', 'label': 'fp'}]","['computer.codcomputer', 'supplies.brand', 'software.softwaredescription', 'installations', 'software.codsoftw']","['computer.model', 'o,r,e', 'supplies.suppliername', 'supplies.suppliercity', 'software.type', 'supplies.supplieraddress', 'installations,installations.codcomputer', 'installations.codsoftw', 'installations.codcomputer', 'computer.brand']","['suppliers.suppliercity', 'computer.model', 'installations.installationdate', 'suppliers.suppliername', 'software.type', 'suppliers.supplieraddress']",2,8,9,0.1818,0.2,0.1905,5,6,10,0.3333,0.4545,0.3846,1,7,8,0,3,False,3,0,0,0,0,3,False
exercise-1,sql,rq3-dec,1,2025-09-05T20-50-01,1,74.1366,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,INSTALLATION,"['SUPPLIES.SupplierName', 'COMPUTER.Model']","[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATION.CodComputer', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'INSTALLATION.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'INSTALLATION.CodComputer', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'INSTALLATION.CodSoftw', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATION.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'fp'}, {'from': 'INSTALLATION.CodComputer', 'to': 'INSTALLATION.InstallationDate', 'label': 'fp'}, {'from': 'INSTALLATION.CodSoftw', 'to': 'INSTALLATION.InstallationDate', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierAddress', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'INSTALLATION.CodComputer', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'INSTALLATION.CodSoftw', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATION.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierAddress', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierAddress', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brandassistant', 'label': 'fp'}]","['computer.codcomputer', 'supplies.brand', 'suppliers.suppliername', 'software.type', 'software.codsoftw']","['installation', 'computer.model', 'supplies.suppliername', 'installation.installationdate', 'supplies.suppliercity', 'installation.codsoftw', 'computer.brandassistant', 'supplies.supplieraddress', 'installation.codcomputer', 'computer.brand']","['computer.model', 'suppliers.suppliercity', 'installations.installationdate', 'software.softwaredescription', 'installations', 'suppliers.supplieraddress']",1,9,25,0.0385,0.1,0.0556,5,6,10,0.3333,0.4545,0.3846,0,9,25,0,2,True,3,0,8,0,0,0,False
exercise-1,sql,rq3-dec,1,2025-09-05T20-50-50,1,49.1080,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,INSTALLATIONS,['SUPPLIES.SupplierName'],"[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'SUPPL', 'to': 'E,R,R,O,R', 'label': 'fp'}]","['installations', 'computer.codcomputer', 'supplies.brand']","['suppl', 'supplies.suppliername', 'o,r,e', 'computer.brand']","['computer.model', 'suppliers.suppliercity', 'installations.installationdate', 'software.softwaredescription', 'suppliers.suppliername', 'software.type', 'suppliers.supplieraddress', 'software.codsoftw']",0,10,3,0.0,0.0,0,3,8,4,0.4286,0.2727,0.3333,1,9,2,0,1,False,2,0,0,0,0,1,False
exercise-1,sql,rq3-dec,1,2025-09-05T20-51-39,1,49.1174,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,INSTALLATIONS,"['COMPUTER.Model', 'SOFTWARE.Type', 'SUPPLIES.SupplierName']","[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'E,R,R,O,R', 'to': 'E,R,R,O,R', 'label': 'fp'}]","['computer.codcomputer', 'supplies.brand', 'installations.installationdate', 'installations', 'software.codsoftw']","['computer.model', 'o,r,e', 'supplies.suppliername', 'software.type', 'installations.codsoftw', 'installations.codcomputer', 'computer.brand']","['suppliers.suppliercity', 'computer.model', 'software.softwaredescription', 'suppliers.suppliername', 'software.type', 'suppliers.supplieraddress']",2,8,11,0.1538,0.2,0.1739,5,6,7,0.4167,0.4545,0.4348,1,7,10,0,3,False,2,0,3,0,0,1,False
exercise-1,sql,rq3-dec,1,2025-09-05T20-52-28,1,49.1563,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,INSTALLATIONS,['SUPPLIES.SupplierName'],"[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierAddress', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS', 'label': 'fp'}]","['computer.codcomputer', 'supplies.brand', 'installations', 'software.type', 'software.codsoftw']","['supplies.suppliername', 'supplies.suppliercity', 'supplies.supplieraddress', 'installations.codsoftw', 'installations.codcomputer', 'computer.brand']","['suppliers.suppliercity', 'computer.model', 'installations.installationdate', 'software.softwaredescription', 'suppliers.suppliername', 'suppliers.supplieraddress']",1,9,11,0.0833,0.1,0.0909,5,6,6,0.4545,0.4545,0.4545,1,8,10,0,1,False,1,0,2,0,1,2,False
exercise-1,sql,rq3-dec,1,2025-09-05T20-53-17,1,49.1390,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,INSTALLATIONS,['SUPPLIERS.SupplierName'],"[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierAddress', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'E,R,R,O,R', 'label': 'fp'}]","['computer.codcomputer', 'supplies.brand', 'installations', 'software.type', 'software.codsoftw']","['o,r,e', 'suppliers.suppliername', 'supplies.suppliername', 'supplies.suppliercity', 'supplies.supplieraddress', 'installations.codsoftw', 'installations.codcomputer', 'computer.brand']","['computer.model', 'suppliers.suppliercity', 'installations.installationdate', 'software.softwaredescription', 'suppliers.suppliername', 'suppliers.supplieraddress']",1,9,13,0.0714,0.1,0.0833,5,6,8,0.3846,0.4545,0.4167,0,9,13,0,1,False,1,0,2,0,0,1,False
exercise-1,sql,rq3-dec,1,2025-09-05T20-54-06,1,49.1157,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,INSTALLATIONS,"['COMPUTER.Model', 'SOFTWARE.Type', 'SUPPLIES.SupplierName']","[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierAddress', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierAddress', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierCity', 'label': 'fp'}, {'from': 'SUPPL', 'to': 'E,R,R,O,R', 'label': 'fp'}]","['installations', 'software.codsoftw', 'computer.codcomputer', 'supplies.brand']","['computer.model', 'o,r,e', 'supplies.suppliername', 'supplies.suppliercity', 'software.type', 'suppl', 'supplies.supplieraddress', 'installations.codsoftw', 'installations.codcomputer', 'computer.brand']","['computer.model', 'suppliers.suppliercity', 'installations.installationdate', 'software.softwaredescription', 'suppliers.suppliername', 'software.type', 'suppliers.supplieraddress']",1,9,15,0.0625,0.1,0.0769,4,7,10,0.2857,0.3636,0.32,0,9,15,0,3,False,3,0,5,0,0,1,False
