ex_name,ex_version,ex_prompt_version,ex_number,timestamp,index,time,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1,errors_dependencies_reversed,errors_dependencies_missing,errors_dependencies_extra,errors_measures_missing,errors_measures_extra,errors_fact_incorrect,errors_fact_false_fact,errors_attributes_shared_missing,errors_attributes_shared_extra,errors_attributes_shared_with_fact_root_missing,errors_attributes_shared_with_fact_root_extra,errors_miscellaneous_extra_disconnected_components,errors_miscellaneous_extra_tags
exercise-1,sql,rq3-dec,1,2025-08-20T14-57-49,1,50.8734,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,INSTALLATION,"['SUPPLIES.SupplierName', 'COMPUTER.Model', 'SOFTWARE.Type']","[{'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierAddress', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATION.CodComputer', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'INSTALLATION.CodComputer', 'to': 'E,R,R,O,R', 'label': 'fp'}]","['software.softwaredescription', 'computer.codcomputer', 'supplies.brand', 'software.codsoftw']","['computer.model', 'computer.brand', 'e,o,r', 'supplies.suppliercity', 'supplies.supplieraddress', 'software.type', 'supplies.suppliername', 'installation', 'installation.codcomputer']","['computer.model', 'suppliers.supplieraddress', 'installations.installationdate', 'suppliers.suppliercity', 'software.type', 'suppliers.suppliername', 'installations']",2,8,9,0.1818,0.2,0.1905,4,7,9,0.3077,0.3636,0.3333,1,7,8,0,3,True,2,0,1,0,0,2,False
exercise-1,sql,rq3-dec,1,2025-08-20T14-58-40,1,50.8019,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,INSTALLATIONS,"['SUPPLIERS.SupplierName', 'SUPPLIERS.SupplierCity', 'SUPPLIERS.SupplierAddress', 'SUPPLIES.Brand', 'COMPUTER.Brand', 'COMPUTER.Model', 'SOFTWARE.Type', 'SOFTWARE.SoftwareDescription']","[{'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SUPPL', 'to': 'E,R,R,O,R', 'label': 'fp'}]","['computer.codcomputer', 'software.codsoftw', 'installations']","['suppl', 'computer.brand', 'computer.model', 'e,o,r', 'suppliers.supplieraddress', 'software.softwaredescription', 'suppliers.suppliercity', 'installations.codsoftw', 'installations.codcomputer', 'supplies.brand', 'software.type', 'supplies.suppliername', 'suppliers.suppliername']","['computer.model', 'suppliers.supplieraddress', 'installations.installationdate', 'software.softwaredescription', 'suppliers.suppliercity', 'supplies.brand', 'software.type', 'suppliers.suppliername']",2,8,14,0.125,0.2,0.1538,3,8,13,0.1875,0.2727,0.2222,0,8,14,0,8,False,2,0,4,0,0,1,False
exercise-1,sql,rq3-dec,1,2025-08-20T14-59-31,1,50.9215,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,INSTALLATIONS,"['COMPUTER.Model', 'SOFTWARE.Type', 'SUPPLIES.SupplierName']","[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SOFTWARE.Type', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierAddress', 'label': 'fp'}]","['computer.codcomputer', 'software.softwaredescription', 'supplies.brand', 'software.codsoftw', 'installations']","['computer.brand', 'computer.model', 'installations.codsoftw', 'supplies.suppliercity', 'supplies.supplieraddress', 'installations.codcomputer', 'software.type', 'supplies.suppliername']","['computer.model', 'suppliers.supplieraddress', 'installations.installationdate', 'suppliers.suppliercity', 'software.type', 'suppliers.suppliername']",1,9,9,0.1,0.1,0.1,5,6,8,0.3846,0.4545,0.4167,1,8,8,0,3,False,2,0,1,0,0,1,False
exercise-1,sql,rq3-dec,1,2025-08-20T15-00-22,1,50.9443,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,INSTALLATIONS,['SUPPLIES.SupplierName'],"[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierAddress', 'label': 'fp'}]","['computer.codcomputer', 'supplies.brand', 'software.type', 'software.codsoftw', 'installations']","['computer.brand', 'installations.codsoftw', 'supplies.suppliercity', 'supplies.supplieraddress', 'installations.codcomputer', 'supplies.suppliername']","['computer.model', 'suppliers.supplieraddress', 'installations.installationdate', 'software.softwaredescription', 'suppliers.suppliercity', 'suppliers.suppliername']",1,9,8,0.1111,0.1,0.1053,5,6,6,0.4545,0.4545,0.4545,0,9,8,0,1,False,3,0,2,0,0,2,False
exercise-1,sql,rq3-dec,1,2025-08-20T15-01-13,1,50.9288,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,INSTALLATION,['SUPPLIES.SupplierName'],"[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Supplier', 'to': 'E,R,R,O,R', 'label': 'fp'}]",['supplies.brand'],"['computer.brand', 'e,o,r', 'supplies.supplier', 'supplies.suppliername', 'installation']","['computer.model', 'computer.codcomputer', 'suppliers.supplieraddress', 'installations.installationdate', 'software.softwaredescription', 'suppliers.suppliercity', 'software.type', 'suppliers.suppliername', 'software.codsoftw', 'installations']",0,10,2,0.0,0.0,0,1,10,5,0.1667,0.0909,0.1176,0,10,2,0,1,True,2,0,0,0,0,1,False
exercise-2,sql,rq3-dec,2,2025-08-20T15-02-04,1,50.9406,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.revenue', 'PURCHASE.quantity']","[{'from': 'PURCHASE.storeId', 'to': 'STORES.storeId', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'STORES.storeName', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'STORES.storeAddress', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'REGIONS.regId', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'REG', 'label': 'fp'}]","['purchase.revenue', 'purchase', 'stores.storeid', 'stores.storename', 'stores.storeaddress', 'purchase.quantity', 'regions.regid']","['purchase.storeid', 'reg']","['purchase.date', 'regions.regionname', 'articles.unitprice', 'articles.artid', 'regions.state', 'articles.artname', 'regions.country', 'types.typeid', 'types.typename']",0,15,5,0.0,0.0,0,7,9,2,0.7778,0.4375,0.56,0,15,5,1,0,False,1,0,0,0,0,0,False
exercise-2,sql,rq3-dec,2,2025-08-20T15-02-55,1,50.8965,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.revenue', 'PURCHASE.quantity']","[{'from': 'PURCHASE.storeId', 'to': 'STORES.storeId', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'STORES.storeName', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'STORES.storeAddress', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'REGIONS.regId', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'REG', 'label': 'fp'}]","['purchase.revenue', 'purchase', 'stores.storeid', 'stores.storename', 'stores.storeaddress', 'purchase.quantity', 'regions.regid']","['purchase.storeid', 'reg']","['purchase.date', 'regions.regionname', 'articles.unitprice', 'articles.artid', 'regions.state', 'articles.artname', 'regions.country', 'types.typeid', 'types.typename']",0,15,5,0.0,0.0,0,7,9,2,0.7778,0.4375,0.56,0,15,5,1,0,False,1,0,0,0,0,0,False
exercise-2,sql,rq3-dec,2,2025-08-20T15-03-46,1,50.8811,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.revenue', 'PURCHASE.quantity']","[{'from': 'STORES.storeId', 'to': 'STORES.storeName', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeAddress', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'REGIONS.regId,REGIONS.state', 'label': 'fp'}, {'from': 'REGIONS.regId,REGIONS.state', 'to': 'REGIONS.country', 'label': 'fp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.artName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.unitPrice', 'label': 'fp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.type', 'label': 'fp'}, {'from': 'ARTICLES.artId', 'to': 'TYPES.typeId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'STORES.storeId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'E,R,R,O,R', 'label': 'fp'}]","['purchase.revenue', 'purchase', 'stores.storeid', 'stores.storename', 'articles.artid', 'stores.storeaddress', 'articles.artname', 'regions.country', 'types.typeid', 'purchase.quantity']","['regions.state,regions.regid', 'articles.unitprice', 'articles.type', 'e,o,r']","['regions.regid', 'purchase.date', 'regions.regionname', 'articles.unitprice', 'regions.state', 'types.typename']",6,9,6,0.5,0.4,0.4444,10,6,4,0.7143,0.625,0.6667,0,9,6,1,0,False,1,0,0,0,0,1,False
exercise-2,sql,rq3-dec,2,2025-08-20T15-04-37,1,50.8950,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.revenue', 'PURCHASE.quantity']","[{'from': 'PURCHASE.storeId', 'to': 'STORES.storeId', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'STORES.storeName', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'STORES.storeAddress', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'REGIONS.regId,REGIONS.state,REGIONS.country', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'ARTICLES.artId', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'ARTICLES.artName', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'ARTICLES.unitPrice', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'ARTICLES.type', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'TYPES.typeId', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'TYPES.typeName', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'PURCHASE.storeId', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'PURCHASE.date', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'PURCHASE.revenue', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'PURCHASE.artId', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'E,R,R,O,R', 'label': 'fp'}]","['purchase.date', 'purchase.revenue', 'purchase', 'stores.storeid', 'stores.storename', 'articles.artid', 'stores.storeaddress', 'articles.artname', 'types.typeid', 'purchase.quantity', 'types.typename']","['e,o,r', 'articles.type', 'purchase.artid', 'articles.unitprice', 'regions.country,regions.state,regions.regid', 'purchase.storeid']","['regions.regionname', 'articles.unitprice', 'regions.state', 'regions.country', 'regions.regid']",0,15,15,0.0,0.0,0,11,5,6,0.6471,0.6875,0.6667,0,15,15,1,0,False,0,0,0,0,0,0,False
exercise-2,sql,rq3-dec,2,2025-08-20T15-05-27,1,50.9120,llama-3.2-3B-inst-hf,lama3.2-3,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.revenue', 'PURCHASE.quantity']","[{'from': 'TYPES.typeId', 'to': 'TYPES.typeName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.artName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.unitPrice', 'label': 'fp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.type', 'label': 'fp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.regionName', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.state', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.country', 'label': 'fp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeName', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeAddress', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.artId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.type', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'REGIONS.regId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'STORES.storeId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'REGIONS.regId', 'label': 'fp'}]","['regions.regid', 'regions.regionname', 'purchase.revenue', 'purchase', 'stores.storeid', 'stores.storename', 'articles.artid', 'regions.state', 'stores.storeaddress', 'articles.artname', 'regions.country', 'types.typeid', 'purchase.quantity', 'types.typename']","['articles.type', 'articles.unitprice']","['articles.unitprice', 'purchase.date']",11,4,6,0.6471,0.7333,0.6875,14,2,2,0.875,0.875,0.875,0,4,6,1,0,False,1,0,3,0,3,1,False
