ex_name,ex_version,ex_prompt_version,ex_number,timestamp,index,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1
exercise-1-sql-rq3-dec-example-gpt4o-2024-11-12T14-59-25,sql,,1,2024-11-12T14-59-25,1,,,,,,,,,,,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'SUPPLIES.Brand', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['installations', 'software.type', 'supplies.brand', 'software.softwaredescription', 'suppliers.suppliername', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'software.codsoftw', 'installations.installationdate', 'computer.codcomputer', 'computer.model']",[],[],10,0,0,1.0,1.0,1.0,11,0,0,1.0,1.0,1.0
exercise-1-sql-rq3-dec-example-gpt4o-2024-11-12T14-59-45,sql,,1,2024-11-12T14-59-45,1,,,,,,,,,,,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'SUPPLIES.Brand', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['computer.codcomputer', 'suppliers.suppliername', 'supplies.brand', 'suppliers.supplieraddress', 'installations', 'software.type', 'software.softwaredescription', 'installations.installationdate', 'software.codsoftw', 'computer.model', 'suppliers.suppliercity']",[],[],10,0,0,1.0,1.0,1.0,11,0,0,1.0,1.0,1.0
exercise-1-sql-rq3-dec-example-gpt4o-2024-11-12T15-00-05,sql,,1,2024-11-12T15-00-05,1,,,,,,,,,,,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'SUPPLIES.Brand', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['installations.installationdate', 'suppliers.suppliername', 'supplies.brand', 'software.type', 'computer.codcomputer', 'installations', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'software.softwaredescription', 'computer.model', 'software.codsoftw']",[],[],10,0,0,1.0,1.0,1.0,11,0,0,1.0,1.0,1.0
exercise-1-sql-rq3-dec-example-gpt4o-2024-11-12T15-00-24,sql,,1,2024-11-12T15-00-24,1,,,,,,,,,,,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'SUPPLIES.Brand', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['suppliers.supplieraddress', 'installations.installationdate', 'suppliers.suppliercity', 'software.type', 'computer.codcomputer', 'suppliers.suppliername', 'installations', 'software.softwaredescription', 'software.codsoftw', 'computer.model', 'supplies.brand']",[],[],10,0,0,1.0,1.0,1.0,11,0,0,1.0,1.0,1.0
exercise-1-sql-rq3-dec-example-gpt4o-2024-11-12T15-00-44,sql,,1,2024-11-12T15-00-44,1,,,,,,,,,,,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'SUPPLIES.Brand', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['software.type', 'computer.codcomputer', 'installations.installationdate', 'installations', 'suppliers.supplieraddress', 'computer.model', 'software.codsoftw', 'suppliers.suppliername', 'supplies.brand', 'suppliers.suppliercity', 'software.softwaredescription']",[],[],10,0,0,1.0,1.0,1.0,11,0,0,1.0,1.0,1.0
exercise-1-sql-rq3-dec-example-gpt4o-2024-11-12T18-14-51,sql,,1,2024-11-12T18-14-51,1,,,,,,,,,,,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'SUPPLIES.Brand', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['installations', 'suppliers.supplieraddress', 'supplies.brand', 'software.codsoftw', 'software.softwaredescription', 'software.type', 'computer.codcomputer', 'suppliers.suppliercity', 'suppliers.suppliername', 'installations.installationdate', 'computer.model']",[],[],10,0,0,1.0,1.0,1.0,11,0,0,1.0,1.0,1.0
exercise-1-sql-rq3-dec-example-gpt4o-2024-11-12T18-15-10,sql,,1,2024-11-12T18-15-10,1,,,,,,,,,,,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'SUPPLIES.Brand', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['installations', 'suppliers.suppliercity', 'software.codsoftw', 'computer.model', 'supplies.brand', 'suppliers.suppliername', 'software.softwaredescription', 'suppliers.supplieraddress', 'software.type', 'installations.installationdate', 'computer.codcomputer']",[],[],10,0,0,1.0,1.0,1.0,11,0,0,1.0,1.0,1.0
exercise-1-sql-rq3-dec-example-gpt4o-2024-11-12T18-15-29,sql,,1,2024-11-12T18-15-29,1,,,,,,,,,,,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'SUPPLIES.Brand', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['supplies.brand', 'computer.codcomputer', 'software.softwaredescription', 'computer.model', 'software.type', 'installations', 'suppliers.suppliercity', 'suppliers.supplieraddress', 'software.codsoftw', 'installations.installationdate', 'suppliers.suppliername']",[],[],10,0,0,1.0,1.0,1.0,11,0,0,1.0,1.0,1.0
exercise-1-sql-rq3-dec-example-gpt4o-2024-11-12T18-16-02,sql,,1,2024-11-12T18-16-02,1,,,,,,,,,,,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'SUPPLIES.Brand', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['software.softwaredescription', 'suppliers.suppliername', 'suppliers.supplieraddress', 'computer.codcomputer', 'supplies.brand', 'installations.installationdate', 'software.codsoftw', 'suppliers.suppliercity', 'software.type', 'computer.model', 'installations']",[],[],10,0,0,1.0,1.0,1.0,11,0,0,1.0,1.0,1.0
exercise-1-sql-rq3-dec-example-gpt4o-2024-11-12T18-16-20,sql,,1,2024-11-12T18-16-20,1,,,,,,,,,,,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'SUPPLIES.Brand', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['installations', 'installations.installationdate', 'computer.codcomputer', 'suppliers.supplieraddress', 'software.codsoftw', 'suppliers.suppliercity', 'software.softwaredescription', 'suppliers.suppliername', 'computer.model', 'software.type', 'supplies.brand']",[],[],10,0,0,1.0,1.0,1.0,11,0,0,1.0,1.0,1.0
