ex_name,ex_version,ex_prompt_version,ex_number,timestamp,index,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1
exercise-1-sql-rq2-base-gpt4o-2024-11-12T14-01-01,sql,,1,2024-11-12T14-01-01,1,,,,,,,,,,,INSTALLATIONS,['INSTALLATIONS.InstallationDate'],"[{'from': 'INSTALLATIONS.CodComputer,INSTALLATIONS.CodSoftw', 'to': 'INSTALLATIONS', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['computer.codcomputer', 'software.softwaredescription', 'suppliers.suppliername', 'software.codsoftw', 'software.type', 'supplies.brand', 'suppliers.suppliercity', 'suppliers.supplieraddress', 'installations']","['installations.codsoftw', 'computer.brand', 'installations.codcomputer,installations.codsoftw', 'installations.codcomputer', 'installations.installationdate']","['computer.model', 'installations.installationdate']",6,4,5,0.5455,0.6,0.5714,9,2,5,0.6429,0.8182,0.72
exercise-1-sql-rq2-base-gpt4o-2024-11-12T14-01-22,sql,,1,2024-11-12T14-01-22,1,,,,,,,,,,,INSTALLATIONS,['INSTALLATIONS.InstallationDate'],"[{'from': 'INSTALLATIONS.CodComputer,INSTALLATIONS.CodSoftw', 'to': 'INSTALLATIONS', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'COMPUTER.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.Model', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierCity', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierAddress', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SOFTWARE.SoftwareDescription', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.Type', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATIONS.InstallationDate', 'to': 'INSTALLATIONS', 'label': 'fp'}]","['supplies.brand', 'software.codsoftw', 'software.type', 'suppliers.suppliername', 'installations', 'software.softwaredescription', 'computer.codcomputer', 'suppliers.suppliercity', 'computer.model', 'suppliers.supplieraddress']","['installations.codsoftw', 'installations.codcomputer', 'installations.installationdate', 'installations.codsoftw,installations.codcomputer', 'computer.brand', 'supplies.suppliername']",['installations.installationdate'],0,10,12,0.0,0.0,0.0,10,1,6,0.625,0.9091,0.7407
exercise-1-sql-rq2-base-gpt4o-2024-11-12T14-01-42,sql,,1,2024-11-12T14-01-42,1,,,,,,,,,,,INSTALLATIONS,['INSTALLATIONS.InstallationDate'],"[{'from': 'INSTALLATIONS.CodComputer,INSTALLATIONS.CodSoftw', 'to': 'INSTALLATIONS', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['installations', 'software.type', 'software.softwaredescription', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'computer.codcomputer', 'supplies.brand', 'software.codsoftw', 'suppliers.suppliername']","['installations.installationdate', 'supplies.suppliername', 'computer.brand', 'installations.codcomputer,installations.codsoftw', 'installations.codsoftw', 'installations.codcomputer']","['computer.model', 'installations.installationdate']",5,5,7,0.4167,0.5,0.4545,9,2,6,0.6,0.8182,0.6923
exercise-1-sql-rq2-base-gpt4o-2024-11-12T14-02-02,sql,,1,2024-11-12T14-02-02,1,,,,,,,,,,,INSTALLATIONS,['INSTALLATIONS.InstallationDate'],"[{'from': 'INSTALLATIONS.CodComputer,INSTALLATIONS.CodSoftw', 'to': 'INSTALLATIONS', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand,COMPUTER.Model', 'label': 'fp'}, {'from': 'COMPUTER.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity,SUPPLIERS.SupplierAddress', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription,SOFTWARE.Type', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['software.codsoftw', 'installations', 'suppliers.suppliername', 'computer.codcomputer', 'supplies.brand']","['installations.codcomputer', 'installations.codcomputer,installations.codsoftw', 'supplies.suppliername', 'software.softwaredescription,software.type', 'installations.codsoftw', 'installations.installationdate', 'suppliers.supplieraddress,suppliers.suppliercity', 'computer.brand,computer.model', 'computer.brand']","['computer.model', 'software.type', 'suppliers.supplieraddress', 'installations.installationdate', 'software.softwaredescription', 'suppliers.suppliercity']",1,9,9,0.1,0.1,0.1,5,6,9,0.3571,0.4545,0.4
exercise-1-sql-rq2-base-gpt4o-2024-11-12T14-02-26,sql,,1,2024-11-12T14-02-26,1,,,,,,,,,,,INSTALLATIONS,['INSTALLATIONS.InstallationDate'],"[{'from': 'INSTALLATIONS.CodComputer,INSTALLATIONS.CodSoftw', 'to': 'INSTALLATIONS', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'COMPUTER.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.Model', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierCity', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierAddress', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SOFTWARE.SoftwareDescription', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.Type', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATIONS.InstallationDate', 'to': 'INSTALLATIONS', 'label': 'fp'}]","['computer.codcomputer', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'computer.model', 'software.softwaredescription', 'installations', 'suppliers.suppliername', 'supplies.brand', 'software.codsoftw', 'software.type']","['supplies.suppliername', 'installations.codcomputer', 'installations.installationdate', 'installations.codsoftw', 'computer.brand', 'installations.codsoftw,installations.codcomputer']",['installations.installationdate'],0,10,12,0.0,0.0,0.0,10,1,6,0.625,0.9091,0.7407
exercise-1-sql-rq2-base-gpt4o-2024-11-12T17-13-50,sql,,1,2024-11-12T17-13-50,1,,,,,,,,,,,INSTALLATIONS,['INSTALLATIONS.InstallationDate'],"[{'from': 'INSTALLATIONS.CodComputer,INSTALLATIONS.CodSoftw', 'to': 'COMPUTER.CodComputer,SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'SUPPLIES.Brand', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity,SUPPLIERS.SupplierAddress', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription,SOFTWARE.Type', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['installations', 'computer.codcomputer', 'supplies.brand', 'suppliers.suppliername', 'software.codsoftw']","['installations.codcomputer,installations.codsoftw', 'software.softwaredescription,software.type', 'installations.installationdate', 'computer.codcomputer,software.codsoftw', 'suppliers.suppliercity,suppliers.supplieraddress']","['software.type', 'software.softwaredescription', 'installations.installationdate', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'computer.model']",5,5,3,0.625,0.5,0.5556,5,6,5,0.5,0.4545,0.4762
exercise-1-sql-rq2-base-gpt4o-2024-11-12T17-14-10,sql,,1,2024-11-12T17-14-10,1,,,,,,,,,,,INSTALLATIONS,['INSTALLATIONS.InstallationDate'],"[{'from': 'INSTALLATIONS.CodComputer,INSTALLATIONS.CodSoftw', 'to': 'INSTALLATIONS', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand,COMPUTER.Model', 'label': 'fp'}, {'from': 'COMPUTER.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity,SUPPLIERS.SupplierAddress', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription,SOFTWARE.Type', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}]","['installations', 'suppliers.suppliername', 'computer.codcomputer', 'supplies.brand', 'software.codsoftw']","['installations.installationdate', 'installations.codsoftw,installations.codcomputer', 'supplies.suppliername', 'installations.codcomputer', 'computer.model,computer.brand', 'computer.brand', 'suppliers.supplieraddress,suppliers.suppliercity', 'installations.codsoftw', 'software.type,software.softwaredescription']","['software.type', 'installations.installationdate', 'suppliers.supplieraddress', 'computer.model', 'software.softwaredescription', 'suppliers.suppliercity']",1,9,9,0.1,0.1,0.1,5,6,9,0.3571,0.4545,0.4
exercise-1-sql-rq2-base-gpt4o-2024-11-12T17-14-29,sql,,1,2024-11-12T17-14-29,1,,,,,,,,,,,INSTALLATIONS,['INSTALLATIONS.InstallationDate'],"[{'from': 'INSTALLATIONS.CodComputer,INSTALLATIONS.CodSoftw', 'to': 'INSTALLATIONS', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'COMPUTER.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierCity', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierAddress', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SOFTWARE.SoftwareDescription', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.Type', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['installations', 'software.codsoftw', 'suppliers.suppliername', 'suppliers.suppliercity', 'supplies.brand', 'computer.codcomputer', 'software.softwaredescription', 'suppliers.supplieraddress', 'software.type']","['supplies.suppliername', 'installations.installationdate', 'installations.codcomputer', 'installations.codsoftw', 'installations.codsoftw,installations.codcomputer', 'computer.brand']","['computer.model', 'installations.installationdate']",1,9,10,0.0909,0.1,0.0952,9,2,6,0.6,0.8182,0.6923
exercise-1-sql-rq2-base-gpt4o-2024-11-12T17-14-52,sql,,1,2024-11-12T17-14-52,1,,,,,,,,,,,INSTALLATIONS,['INSTALLATIONS.InstallationDate'],"[{'from': 'INSTALLATIONS.CodComputer,INSTALLATIONS.CodSoftw', 'to': 'INSTALLATIONS', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'COMPUTER.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.Model', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierCity', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierAddress', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SOFTWARE.SoftwareDescription', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.Type', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['computer.codcomputer', 'suppliers.suppliercity', 'software.softwaredescription', 'suppliers.supplieraddress', 'suppliers.suppliername', 'computer.model', 'installations', 'supplies.brand', 'software.codsoftw', 'software.type']","['supplies.suppliername', 'installations.codcomputer,installations.codsoftw', 'installations.installationdate', 'installations.codcomputer', 'installations.codsoftw', 'computer.brand']",['installations.installationdate'],1,9,11,0.0833,0.1,0.0909,10,1,6,0.625,0.9091,0.7407
exercise-1-sql-rq2-base-gpt4o-2024-11-12T17-15-15,sql,,1,2024-11-12T17-15-15,1,,,,,,,,,,,INSTALLATIONS,['INSTALLATIONS.InstallationDate'],"[{'from': 'INSTALLATIONS.CodComputer,INSTALLATIONS.CodSoftw', 'to': 'INSTALLATIONS', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'COMPUTER.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.Model', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierCity', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIERS.SupplierAddress', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SOFTWARE.SoftwareDescription', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.Type', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATIONS.InstallationDate', 'to': 'INSTALLATIONS', 'label': 'fp'}]","['installations', 'software.type', 'software.codsoftw', 'computer.model', 'suppliers.supplieraddress', 'suppliers.suppliername', 'software.softwaredescription', 'suppliers.suppliercity', 'computer.codcomputer', 'supplies.brand']","['installations.installationdate', 'computer.brand', 'installations.codsoftw,installations.codcomputer', 'installations.codsoftw', 'installations.codcomputer', 'supplies.suppliername']",['installations.installationdate'],0,10,12,0.0,0.0,0.0,10,1,6,0.625,0.9091,0.7407
