ex_name,ex_version,ex_prompt_version,ex_number,timestamp,index,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1
exercise-1,sql,rq3-dec,1,2024-11-25T22-24-22,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'COMPUTER.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}]","['software.softwaredescription', 'suppliers.suppliercity', 'computer.model', 'suppliers.suppliername', 'software.codsoftw', 'installations.installationdate', 'suppliers.supplieraddress', 'supplies.brand', 'computer.codcomputer', 'software.type', 'installations']",['computer.brand'],[],9,1,2,0.8182,0.9,0.8571,11,0,1,0.9167,1.0,0.9565
exercise-1,sql,rq3-dec,1,2024-11-25T22-24-36,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['software.softwaredescription', 'suppliers.suppliercity', 'suppliers.supplieraddress', 'software.codsoftw', 'supplies.brand', 'installations.installationdate', 'installations', 'software.type', 'suppliers.suppliername', 'computer.codcomputer', 'computer.model']",['computer.brand'],[],9,1,1,0.9,0.9,0.9,11,0,1,0.9167,1.0,0.9565
exercise-1,sql,rq3-dec,1,2024-11-25T22-24-53,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'COMPUTER.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['installations.installationdate', 'software.softwaredescription', 'suppliers.supplieraddress', 'suppliers.suppliername', 'installations', 'suppliers.suppliercity', 'software.type', 'software.codsoftw', 'computer.model', 'supplies.brand', 'computer.codcomputer']",['computer.brand'],[],9,1,2,0.8182,0.9,0.8571,11,0,1,0.9167,1.0,0.9565
exercise-1,sql,rq3-dec,1,2024-11-25T22-25-11,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'COMPUTER.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['installations', 'suppliers.suppliername', 'suppliers.suppliercity', 'installations.installationdate', 'suppliers.supplieraddress', 'software.softwaredescription', 'supplies.brand', 'computer.codcomputer', 'software.type', 'software.codsoftw', 'computer.model']",['computer.brand'],[],9,1,2,0.8182,0.9,0.8571,11,0,1,0.9167,1.0,0.9565
exercise-1,sql,rq3-dec,1,2024-11-25T22-25-26,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'COMPUTER.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}]","['suppliers.supplieraddress', 'suppliers.suppliercity', 'software.softwaredescription', 'computer.model', 'computer.codcomputer', 'supplies.brand', 'installations.installationdate', 'installations', 'suppliers.suppliername', 'software.type', 'software.codsoftw']",['computer.brand'],[],9,1,2,0.8182,0.9,0.8571,11,0,1,0.9167,1.0,0.9565
exercise-1,sql,rq3-dec,1,2024-11-25T22-25-41,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'COMPUTER.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['software.codsoftw', 'computer.model', 'supplies.brand', 'suppliers.suppliercity', 'suppliers.supplieraddress', 'installations', 'software.softwaredescription', 'installations.installationdate', 'computer.codcomputer', 'software.type', 'suppliers.suppliername']",['computer.brand'],[],9,1,2,0.8182,0.9,0.8571,11,0,1,0.9167,1.0,0.9565
exercise-1,sql,rq3-dec,1,2024-11-25T22-25-55,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'COMPUTER.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}]","['installations.installationdate', 'software.softwaredescription', 'suppliers.supplieraddress', 'computer.model', 'installations', 'software.type', 'supplies.brand', 'software.codsoftw', 'suppliers.suppliercity', 'computer.codcomputer', 'suppliers.suppliername']",['computer.brand'],[],9,1,2,0.8182,0.9,0.8571,11,0,1,0.9167,1.0,0.9565
exercise-1,sql,rq3-dec,1,2024-11-25T22-26-09,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'COMPUTER.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}]","['software.type', 'software.softwaredescription', 'supplies.brand', 'software.codsoftw', 'suppliers.suppliercity', 'suppliers.suppliername', 'computer.model', 'installations', 'suppliers.supplieraddress', 'installations.installationdate', 'computer.codcomputer']",['computer.brand'],[],9,1,2,0.8182,0.9,0.8571,11,0,1,0.9167,1.0,0.9565
exercise-1,sql,rq3-dec,1,2024-11-25T22-26-29,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'COMPUTER.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}]","['computer.model', 'installations.installationdate', 'suppliers.supplieraddress', 'software.type', 'suppliers.suppliercity', 'computer.codcomputer', 'installations', 'suppliers.suppliername', 'software.softwaredescription', 'supplies.brand', 'software.codsoftw']",['computer.brand'],[],9,1,2,0.8182,0.9,0.8571,11,0,1,0.9167,1.0,0.9565
exercise-1,sql,rq3-dec,1,2024-11-25T22-26-44,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIERS.SupplierName', 'label': 'tp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'COMPUTER.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}]","['software.type', 'supplies.brand', 'computer.codcomputer', 'computer.model', 'installations', 'installations.installationdate', 'software.codsoftw', 'suppliers.suppliername', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'software.softwaredescription']",['computer.brand'],[],9,1,2,0.8182,0.9,0.8571,11,0,1,0.9167,1.0,0.9565
