ex_name,ex_version,ex_prompt_version,timestamp,index,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1
exercise-1,sql,rq2-base,2024-11-12T14-01-01,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,['INSTALLATIONS.InstallationDate'],"[{'from': 'INSTALLATIONS.CodComputer,INSTALLATIONS.CodSoftw', 'label': 'fp', 'to': 'INSTALLATIONS'}, {'from': 'COMPUTER.CodComputer', 'label': 'fp', 'to': 'INSTALLATIONS.CodComputer'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'fp', 'to': 'INSTALLATIONS.CodSoftw'}, {'from': 'COMPUTER.CodComputer', 'label': 'fp', 'to': 'COMPUTER.Brand'}, {'from': 'COMPUTER.Brand', 'label': 'fp', 'to': 'SUPPLIES.Brand'}, {'from': 'SUPPLIES.Brand', 'label': 'tp', 'to': 'SUPPLIERS.SupplierName'}, {'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierCity'}, {'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierAddress'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.SoftwareDescription'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.Type'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'INSTALLATIONS.InstallationDate'}]","['suppliers.suppliername', 'suppliers.suppliercity', 'software.type', 'installations', 'supplies.brand', 'computer.codcomputer', 'suppliers.supplieraddress', 'software.softwaredescription', 'software.codsoftw']","['installations.codsoftw', 'installations.installationdate', 'installations.codcomputer', 'computer.brand', 'installations.codsoftw,installations.codcomputer']","['installations.installationdate', 'computer.model']",6,4,5,0.5455,0.6,0.5714,9,4,6,0.6429,0.8182,0.72
exercise-1,sql,rq2-base,2024-11-12T14-01-22,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,['INSTALLATIONS.InstallationDate'],"[{'from': 'INSTALLATIONS.CodComputer,INSTALLATIONS.CodSoftw', 'label': 'fp', 'to': 'INSTALLATIONS'}, {'from': 'COMPUTER.CodComputer', 'label': 'fp', 'to': 'INSTALLATIONS.CodComputer'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'fp', 'to': 'INSTALLATIONS.CodSoftw'}, {'from': 'COMPUTER.Brand', 'label': 'fp', 'to': 'COMPUTER.CodComputer'}, {'from': 'COMPUTER.Model', 'label': 'fp', 'to': 'COMPUTER.CodComputer'}, {'from': 'SUPPLIES.Brand', 'label': 'fp', 'to': 'COMPUTER.Brand'}, {'from': 'SUPPLIERS.SupplierName', 'label': 'fp', 'to': 'SUPPLIES.SupplierName'}, {'from': 'SUPPLIERS.SupplierCity', 'label': 'fp', 'to': 'SUPPLIERS.SupplierName'}, {'from': 'SUPPLIERS.SupplierAddress', 'label': 'fp', 'to': 'SUPPLIERS.SupplierName'}, {'from': 'SOFTWARE.SoftwareDescription', 'label': 'fp', 'to': 'SOFTWARE.CodSoftw'}, {'from': 'SOFTWARE.Type', 'label': 'fp', 'to': 'SOFTWARE.CodSoftw'}, {'from': 'INSTALLATIONS.InstallationDate', 'label': 'fp', 'to': 'INSTALLATIONS'}]","['suppliers.suppliercity', 'supplies.brand', 'suppliers.suppliername', 'suppliers.supplieraddress', 'computer.codcomputer', 'software.type', 'installations', 'software.softwaredescription', 'software.codsoftw', 'computer.model']","['supplies.suppliername', 'installations.codsoftw,installations.codcomputer', 'installations.codsoftw', 'computer.brand', 'installations.codcomputer', 'installations.installationdate']",['installations.installationdate'],0,10,12,0.0,0.0,0.0,10,4,6,0.625,0.9091,0.7407
exercise-1,sql,rq2-base,2024-11-12T14-01-42,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,['INSTALLATIONS.InstallationDate'],"[{'from': 'INSTALLATIONS.CodComputer,INSTALLATIONS.CodSoftw', 'label': 'fp', 'to': 'INSTALLATIONS'}, {'from': 'COMPUTER.CodComputer', 'label': 'fp', 'to': 'INSTALLATIONS.CodComputer'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'fp', 'to': 'INSTALLATIONS.CodSoftw'}, {'from': 'COMPUTER.CodComputer', 'label': 'fp', 'to': 'COMPUTER.Brand'}, {'from': 'COMPUTER.Brand', 'label': 'fp', 'to': 'SUPPLIES.Brand'}, {'from': 'SUPPLIES.Brand', 'label': 'fp', 'to': 'SUPPLIES.SupplierName'}, {'from': 'SUPPLIES.SupplierName', 'label': 'fp', 'to': 'SUPPLIERS.SupplierName'}, {'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierCity'}, {'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierAddress'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.SoftwareDescription'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.Type'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'INSTALLATIONS.InstallationDate'}]","['computer.codcomputer', 'software.softwaredescription', 'suppliers.supplieraddress', 'suppliers.suppliername', 'suppliers.suppliercity', 'software.codsoftw', 'software.type', 'installations', 'supplies.brand']","['installations.installationdate', 'supplies.suppliername', 'installations.codcomputer,installations.codsoftw', 'computer.brand', 'installations.codsoftw', 'installations.codcomputer']","['installations.installationdate', 'computer.model']",5,5,8,0.4167,0.475,0.4545,9,4,6,0.6,0.8182,0.6923
exercise-1,sql,rq2-base,2024-11-12T14-02-02,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,['INSTALLATIONS.InstallationDate'],"[{'from': 'INSTALLATIONS.CodComputer,INSTALLATIONS.CodSoftw', 'label': 'fp', 'to': 'INSTALLATIONS'}, {'from': 'COMPUTER.CodComputer', 'label': 'fp', 'to': 'INSTALLATIONS.CodComputer'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'fp', 'to': 'INSTALLATIONS.CodSoftw'}, {'from': 'COMPUTER.CodComputer', 'label': 'fp', 'to': 'COMPUTER.Brand,COMPUTER.Model'}, {'from': 'COMPUTER.Brand', 'label': 'fp', 'to': 'SUPPLIES.Brand'}, {'from': 'SUPPLIES.Brand', 'label': 'fp', 'to': 'SUPPLIES.SupplierName'}, {'from': 'SUPPLIES.SupplierName', 'label': 'fp', 'to': 'SUPPLIERS.SupplierName'}, {'from': 'SUPPLIERS.SupplierName', 'label': 'fp', 'to': 'SUPPLIERS.SupplierCity,SUPPLIERS.SupplierAddress'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'fp', 'to': 'SOFTWARE.SoftwareDescription,SOFTWARE.Type'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'INSTALLATIONS.InstallationDate'}]","['supplies.brand', 'suppliers.suppliername', 'software.codsoftw', 'computer.codcomputer', 'installations']","['installations.codcomputer', 'installations.installationdate', 'installations.codsoftw,installations.codcomputer', 'computer.brand,computer.model', 'software.softwaredescription,software.type', 'computer.brand', 'suppliers.suppliercity,suppliers.supplieraddress', 'supplies.suppliername', 'installations.codsoftw']","['computer.model', 'software.softwaredescription', 'installations.installationdate', 'software.type', 'suppliers.supplieraddress', 'suppliers.suppliercity']",1,10,9,0.1,0.1,0.1,5,8,9,0.3571,0.4545,0.4
exercise-1,sql,rq2-base,2024-11-12T14-02-26,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,['INSTALLATIONS.InstallationDate'],"[{'from': 'INSTALLATIONS.CodComputer,INSTALLATIONS.CodSoftw', 'label': 'fp', 'to': 'INSTALLATIONS'}, {'from': 'COMPUTER.CodComputer', 'label': 'fp', 'to': 'INSTALLATIONS.CodComputer'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'fp', 'to': 'INSTALLATIONS.CodSoftw'}, {'from': 'COMPUTER.Brand', 'label': 'fp', 'to': 'COMPUTER.CodComputer'}, {'from': 'COMPUTER.Model', 'label': 'fp', 'to': 'COMPUTER.CodComputer'}, {'from': 'SUPPLIES.Brand', 'label': 'fp', 'to': 'COMPUTER.Brand'}, {'from': 'SUPPLIERS.SupplierName', 'label': 'fp', 'to': 'SUPPLIES.SupplierName'}, {'from': 'SUPPLIERS.SupplierCity', 'label': 'fp', 'to': 'SUPPLIERS.SupplierName'}, {'from': 'SUPPLIERS.SupplierAddress', 'label': 'fp', 'to': 'SUPPLIERS.SupplierName'}, {'from': 'SOFTWARE.SoftwareDescription', 'label': 'fp', 'to': 'SOFTWARE.CodSoftw'}, {'from': 'SOFTWARE.Type', 'label': 'fp', 'to': 'SOFTWARE.CodSoftw'}, {'from': 'INSTALLATIONS.InstallationDate', 'label': 'fp', 'to': 'INSTALLATIONS'}]","['suppliers.suppliercity', 'software.type', 'computer.codcomputer', 'suppliers.suppliername', 'software.codsoftw', 'computer.model', 'suppliers.supplieraddress', 'supplies.brand', 'software.softwaredescription', 'installations']","['installations.codcomputer', 'installations.codsoftw', 'computer.brand', 'installations.installationdate', 'installations.codsoftw,installations.codcomputer', 'supplies.suppliername']",['installations.installationdate'],0,10,12,0.0,0.0,0.0,10,4,6,0.625,0.9091,0.7407
exercise-2,sql,rq2-base,2024-11-12T14-02-45,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue']","[{'from': 'PURCHASE.storeId,PURCHASE.artId,PURCHASE.date', 'label': 'fp', 'to': 'PURCHASE'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.quantity'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.revenue'}, {'from': 'ARTICLES.artId', 'label': 'fp', 'to': 'PURCHASE.artId'}, {'from': 'STORES.storeId', 'label': 'fp', 'to': 'PURCHASE.storeId'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'to': 'ARTICLES.artName'}, {'from': 'ARTICLES.artId', 'label': 'fp', 'to': 'ARTICLES.unitPrice'}, {'from': 'ARTICLES.artId', 'label': 'fp', 'to': 'ARTICLES.type'}, {'from': 'ARTICLES.type', 'label': 'fp', 'to': 'TYPES.typeId'}, {'from': 'TYPES.typeId', 'label': 'tp', 'to': 'TYPES.typeName'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeName'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeAddress'}, {'from': 'STORES.region', 'label': 'fp', 'to': 'REGIONS.regId'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.regionName'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.state'}, {'from': 'REGIONS.regId', 'label': 'fp', 'to': 'REGIONS.country'}]","['regions.state', 'types.typeid', 'regions.country', 'purchase.revenue', 'purchase', 'regions.regionname', 'stores.storeaddress', 'stores.storeid', 'articles.artname', 'purchase.quantity', 'articles.artid', 'types.typename', 'regions.regid', 'stores.storename']","['stores.region', 'articles.unitprice', 'purchase.storeid', 'purchase.date,purchase.storeid,purchase.artid', 'articles.type', 'purchase.artid']","['articles.unitprice', 'purchase.date']",8,7,8,0.5,0.5333,0.5161,14,4,6,0.7,0.875,0.7778
exercise-2,sql,rq2-base,2024-11-12T14-03-07,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue']","[{'from': 'PURCHASE.storeId,PURCHASE.artId,PURCHASE.date', 'label': 'fp', 'to': 'PURCHASE'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.quantity'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.revenue'}, {'from': 'PURCHASE.storeId', 'label': 'fp', 'to': 'STORES.storeId'}, {'from': 'PURCHASE.artId', 'label': 'fp', 'to': 'ARTICLES.artId'}, {'from': 'PURCHASE.date', 'label': 'fp', 'to': 'PURCHASE.date'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'to': 'ARTICLES.artName'}, {'from': 'ARTICLES.artId', 'label': 'fp', 'to': 'ARTICLES.unitPrice'}, {'from': 'ARTICLES.type', 'label': 'fp', 'to': 'TYPES.typeId'}, {'from': 'TYPES.typeId', 'label': 'tp', 'to': 'TYPES.typeName'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeName'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeAddress'}, {'from': 'STORES.region', 'label': 'fp', 'to': 'REGIONS.regId'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.regionName'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.state'}, {'from': 'REGIONS.regId', 'label': 'fp', 'to': 'REGIONS.country'}]","['purchase.revenue', 'regions.state', 'regions.country', 'articles.artname', 'regions.regionname', 'stores.storeaddress', 'stores.storename', 'purchase.date', 'articles.artid', 'types.typeid', 'purchase', 'stores.storeid', 'regions.regid', 'types.typename', 'purchase.quantity']","['purchase.artid', 'stores.region', 'purchase.storeid,purchase.date,purchase.artid', 'articles.type', 'purchase.storeid', 'articles.unitprice']",['articles.unitprice'],8,7,8,0.5,0.5333,0.5161,13,4,6,0.7143,0.9375,0.8108
exercise-2,sql,rq2-base,2024-11-12T14-03-33,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue']","[{'from': 'PURCHASE.storeId,PURCHASE.artId,PURCHASE.date', 'label': 'fp', 'to': 'PURCHASE'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.quantity'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.revenue'}, {'from': 'ARTICLES.artId', 'label': 'fp', 'to': 'PURCHASE.artId'}, {'from': 'STORES.storeId', 'label': 'fp', 'to': 'PURCHASE.storeId'}, {'from': 'ARTICLES.artId', 'label': 'fp', 'to': 'ARTICLES'}, {'from': 'ARTICLES', 'label': 'fp', 'to': 'ARTICLES.artName'}, {'from': 'ARTICLES', 'label': 'fp', 'to': 'ARTICLES.unitPrice'}, {'from': 'ARTICLES.type', 'label': 'fp', 'to': 'TYPES.typeId'}, {'from': 'TYPES.typeId', 'label': 'fp', 'to': 'TYPES'}, {'from': 'TYPES', 'label': 'fp', 'to': 'TYPES.typeName'}, {'from': 'STORES.storeId', 'label': 'fp', 'to': 'STORES'}, {'from': 'STORES', 'label': 'fp', 'to': 'STORES.storeName'}, {'from': 'STORES', 'label': 'fp', 'to': 'STORES.storeAddress'}, {'from': 'STORES.region', 'label': 'fp', 'to': 'REGIONS.regId'}, {'from': 'REGIONS.regId', 'label': 'fp', 'to': 'REGIONS'}, {'from': 'REGIONS', 'label': 'fp', 'to': 'REGIONS.regionName'}, {'from': 'REGIONS', 'label': 'fp', 'to': 'REGIONS.state'}, {'from': 'REGIONS', 'label': 'fp', 'to': 'REGIONS.country'}]","['types.typename', 'types.typeid', 'purchase', 'regions.regid', 'stores.storename', 'stores.storeaddress', 'stores.storeid', 'articles.artid', 'purchase.quantity', 'purchase.revenue', 'regions.state', 'articles.artname', 'regions.country', 'regions.regionname']","['stores', 'purchase.storeid', 'articles.type', 'articles.unitprice', 'stores.region', 'purchase.storeid,purchase.artid,purchase.date', 'articles', 'types', 'regions', 'purchase.artid']","['articles.unitprice', 'purchase.date']",2,13,17,0.1053,0.1333,0.1176,14,4,10,0.5833,0.875,0.7
exercise-2,sql,rq2-base,2024-11-12T14-03-54,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue']","[{'from': 'PURCHASE.storeId,PURCHASE.artId,PURCHASE.date', 'label': 'fp', 'to': 'PURCHASE'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.quantity'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.revenue'}, {'from': 'PURCHASE.storeId', 'label': 'fp', 'to': 'STORES.storeId'}, {'from': 'PURCHASE.artId', 'label': 'fp', 'to': 'ARTICLES.artId'}, {'from': 'PURCHASE.date', 'label': 'fp', 'to': 'PURCHASE.date'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'to': 'ARTICLES.artName'}, {'from': 'ARTICLES.artId', 'label': 'fp', 'to': 'ARTICLES.unitPrice'}, {'from': 'ARTICLES.type', 'label': 'fp', 'to': 'TYPES.typeId'}, {'from': 'TYPES.typeId', 'label': 'tp', 'to': 'TYPES.typeName'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeName'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeAddress'}, {'from': 'STORES.region', 'label': 'fp', 'to': 'REGIONS.regId'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.regionName'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.state'}, {'from': 'REGIONS.regId', 'label': 'fp', 'to': 'REGIONS.country'}]","['purchase.revenue', 'articles.artname', 'purchase.date', 'regions.regionname', 'types.typeid', 'stores.storename', 'purchase.quantity', 'regions.state', 'articles.artid', 'regions.regid', 'purchase', 'stores.storeid', 'stores.storeaddress', 'types.typename', 'regions.country']","['stores.region', 'purchase.storeid,purchase.artid,purchase.date', 'articles.type', 'purchase.artid', 'purchase.storeid', 'articles.unitprice']",['articles.unitprice'],8,7,8,0.5,0.5333,0.5161,13,4,6,0.7143,0.9375,0.8108
exercise-2,sql,rq2-base,2024-11-12T14-04-14,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue']","[{'from': 'PURCHASE.storeId,PURCHASE.artId,PURCHASE.date', 'label': 'fp', 'to': 'PURCHASE'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.quantity'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.revenue'}, {'from': 'PURCHASE.storeId', 'label': 'fp', 'to': 'STORES.storeId'}, {'from': 'PURCHASE.artId', 'label': 'fp', 'to': 'ARTICLES.artId'}, {'from': 'PURCHASE.date', 'label': 'fp', 'to': 'PURCHASE.date'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'to': 'ARTICLES.artName'}, {'from': 'ARTICLES.artId', 'label': 'fp', 'to': 'ARTICLES.unitPrice'}, {'from': 'ARTICLES.type', 'label': 'fp', 'to': 'TYPES.typeId'}, {'from': 'TYPES.typeId', 'label': 'tp', 'to': 'TYPES.typeName'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeName'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeAddress'}, {'from': 'STORES.region', 'label': 'fp', 'to': 'REGIONS.regId'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.regionName'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.state'}, {'from': 'REGIONS.regId', 'label': 'fp', 'to': 'REGIONS.country'}]","['regions.country', 'purchase.quantity', 'regions.state', 'types.typeid', 'stores.storename', 'stores.storeaddress', 'regions.regionname', 'purchase.date', 'regions.regid', 'types.typename', 'purchase', 'articles.artname', 'stores.storeid', 'purchase.revenue', 'articles.artid']","['purchase.storeid', 'purchase.artid', 'purchase.artid,purchase.date,purchase.storeid', 'articles.type', 'stores.region', 'articles.unitprice']",['articles.unitprice'],8,7,8,0.5,0.5333,0.5161,13,4,6,0.7143,0.9375,0.8108
