ex_name,ex_version,ex_prompt_version,timestamp,index,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1
exercise-1,sql,rq2-example,2024-11-12T14-20-06,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierCity'}, {'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierAddress'}, {'from': 'SUPPLIES.Brand', 'label': 'fp', 'to': 'SUPPLIES.SupplierName'}, {'from': 'COMPUTER.CodComputer', 'label': 'fp', 'to': 'COMPUTER.Brand'}, {'from': 'COMPUTER.CodComputer', 'label': 'tp', 'to': 'COMPUTER.Model'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.SoftwareDescription'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.Type'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'COMPUTER.CodComputer'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'SOFTWARE.CodSoftw'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'INSTALLATIONS.InstallationDate'}]","['suppliers.suppliername', 'computer.codcomputer', 'suppliers.suppliercity', 'software.type', 'software.codsoftw', 'suppliers.supplieraddress', 'installations.installationdate', 'computer.model', 'software.softwaredescription', 'supplies.brand', 'installations']","['supplies.suppliername', 'computer.brand']",['traintype.capacity'],8,0,0,0.8,0.8,0.8,11,2,3,0.8462,0.931,0.9167
exercise-1,sql,rq2-example,2024-11-12T14-20-28,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierCity'}, {'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierAddress'}, {'from': 'SUPPLIES.Brand', 'label': 'fp', 'to': 'SUPPLIES.SupplierName'}, {'from': 'COMPUTER.CodComputer', 'label': 'fp', 'to': 'COMPUTER.Brand'}, {'from': 'COMPUTER.CodComputer', 'label': 'tp', 'to': 'COMPUTER.Model'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.SoftwareDescription'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.Type'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'COMPUTER.CodComputer'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'SOFTWARE.CodSoftw'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'INSTALLATIONS.InstallationDate'}]","['suppliers.suppliername', 'software.type', 'suppliers.supplieraddress', 'installations.installationdate', 'supplies.brand', 'software.softwaredescription', 'computer.model', 'installations', 'suppliers.suppliercity', 'computer.codcomputer', 'software.codsoftw']","['supplies.suppliername', 'computer.brand']",['traintype.capacity'],8,0,0,0.8,0.8,0.8,11,2,3,0.8462,0.931,0.9167
exercise-1,sql,rq2-example,2024-11-12T14-20-47,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierCity'}, {'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierAddress'}, {'from': 'SUPPLIES.Brand', 'label': 'fp', 'to': 'SUPPLIES.SupplierName'}, {'from': 'COMPUTER.CodComputer', 'label': 'fp', 'to': 'COMPUTER.Brand'}, {'from': 'COMPUTER.CodComputer', 'label': 'tp', 'to': 'COMPUTER.Model'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.SoftwareDescription'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.Type'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'COMPUTER.CodComputer'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'SOFTWARE.CodSoftw'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'INSTALLATIONS.InstallationDate'}]","['software.codsoftw', 'installations', 'software.type', 'suppliers.suppliername', 'suppliers.supplieraddress', 'computer.model', 'software.softwaredescription', 'suppliers.suppliercity', 'supplies.brand', 'installations.installationdate', 'computer.codcomputer']","['supplies.suppliername', 'computer.brand']",['traintype.capacity'],8,0,0,0.8,0.8,0.8,11,2,3,0.8462,0.931,0.9167
exercise-1,sql,rq2-example,2024-11-12T14-21-06,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierCity'}, {'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierAddress'}, {'from': 'SUPPLIES.Brand', 'label': 'tp', 'to': 'SUPPLIERS.SupplierName'}, {'from': 'COMPUTER.CodComputer', 'label': 'fp', 'to': 'COMPUTER.Brand'}, {'from': 'COMPUTER.CodComputer', 'label': 'tp', 'to': 'COMPUTER.Model'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.SoftwareDescription'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.Type'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'COMPUTER.CodComputer'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'SOFTWARE.CodSoftw'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'INSTALLATIONS.InstallationDate'}]","['suppliers.suppliername', 'suppliers.suppliercity', 'supplies.brand', 'suppliers.supplieraddress', 'software.softwaredescription', 'installations', 'installations.installationdate', 'computer.codcomputer', 'software.type', 'computer.model', 'software.codsoftw']",['computer.brand'],['traintype.capacity'],9,1,1,0.9,0.9,0.9,11,2,1,0.9167,0.931,0.9565
exercise-1,sql,rq2-example,2024-11-12T14-21-24,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierCity'}, {'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierAddress'}, {'from': 'SUPPLIES.Brand', 'label': 'fp', 'to': 'SUPPLIES.SupplierName'}, {'from': 'COMPUTER.CodComputer', 'label': 'fp', 'to': 'COMPUTER.Brand'}, {'from': 'COMPUTER.CodComputer', 'label': 'tp', 'to': 'COMPUTER.Model'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.SoftwareDescription'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.Type'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'COMPUTER.CodComputer'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'SOFTWARE.CodSoftw'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'INSTALLATIONS.InstallationDate'}]","['installations', 'installations.installationdate', 'suppliers.suppliername', 'supplies.brand', 'suppliers.suppliercity', 'computer.model', 'software.softwaredescription', 'computer.codcomputer', 'suppliers.supplieraddress', 'software.type', 'software.codsoftw']","['supplies.suppliername', 'computer.brand']",['traintype.capacity'],8,0,0,0.8,0.8,0.8,11,2,3,0.8462,0.931,0.9167
exercise-2,sql,rq2-example,2024-11-12T14-21-45,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'label': 'tp', 'to': 'TYPES.typeName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'to': 'ARTICLES.artName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'role': 'type', 'to': 'TYPES.typeId'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.regionName'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.state'}, {'from': 'REGIONS.state', 'label': 'tp', 'to': 'REGIONS.country'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeName'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeAddress'}, {'from': 'STORES.storeId', 'label': 'tp', 'role': 'region', 'to': 'REGIONS.regId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.quantity'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.revenue'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.unitPrice'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.artId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'STORES.storeId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.date'}]","['purchase.date', 'articles.unitprice', 'purchase', 'types.typeid', 'purchase.revenue', 'articles.artid', 'articles.artname', 'regions.country', 'stores.storename', 'regions.state', 'regions.regionname', 'stores.storeid', 'regions.regid', 'stores.storeaddress', 'purchase.quantity', 'types.typename']",[],['traintype.capacity'],11,0,0,0.8667,1.0,1.0,16,2,1,1.0,0.931,1.0
exercise-2,sql,rq2-example,2024-11-12T14-22-06,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'label': 'tp', 'to': 'TYPES.typeName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'to': 'ARTICLES.artName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'role': 'type', 'to': 'TYPES.typeId'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.regionName'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.state'}, {'from': 'REGIONS.state', 'label': 'tp', 'to': 'REGIONS.country'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeName'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeAddress'}, {'from': 'STORES.storeId', 'label': 'tp', 'role': 'region', 'to': 'REGIONS.regId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.quantity'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.revenue'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.unitPrice'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.artId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'STORES.storeId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.date'}]","['articles.artname', 'stores.storeaddress', 'articles.artid', 'purchase.date', 'regions.state', 'regions.regionname', 'purchase', 'regions.regid', 'stores.storeid', 'regions.country', 'types.typename', 'stores.storename', 'types.typeid', 'articles.unitprice', 'purchase.revenue', 'purchase.quantity']",[],['traintype.capacity'],11,0,0,0.8667,1.0,1.0,16,2,1,1.0,0.931,1.0
exercise-2,sql,rq2-example,2024-11-12T14-22-29,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'label': 'tp', 'to': 'TYPES.typeName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'to': 'ARTICLES.artName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'role': 'type', 'to': 'TYPES.typeId'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.regionName'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.state'}, {'from': 'REGIONS.state', 'label': 'tp', 'to': 'REGIONS.country'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeName'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeAddress'}, {'from': 'STORES.storeId', 'label': 'tp', 'role': 'region', 'to': 'REGIONS.regId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.quantity'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.revenue'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.unitPrice'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.artId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'STORES.storeId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.date'}]","['stores.storeaddress', 'purchase.revenue', 'purchase', 'regions.regid', 'stores.storeid', 'articles.unitprice', 'regions.state', 'articles.artname', 'regions.country', 'purchase.quantity', 'purchase.date', 'stores.storename', 'types.typeid', 'regions.regionname', 'articles.artid', 'types.typename']",[],['traintype.capacity'],11,0,0,0.8667,1.0,1.0,16,2,1,1.0,0.931,1.0
exercise-2,sql,rq2-example,2024-11-12T14-22-53,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'label': 'tp', 'to': 'TYPES.typeName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'to': 'ARTICLES.artName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'role': 'type', 'to': 'TYPES.typeId'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.regionName'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.state'}, {'from': 'REGIONS.state', 'label': 'tp', 'to': 'REGIONS.country'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeName'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeAddress'}, {'from': 'STORES.storeId', 'label': 'tp', 'role': 'region', 'to': 'REGIONS.regId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.quantity'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.revenue'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.unitPrice'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.artId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'STORES.storeId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.date'}]","['articles.unitprice', 'regions.state', 'stores.storeid', 'purchase.quantity', 'regions.regionname', 'purchase.date', 'regions.regid', 'articles.artname', 'types.typename', 'articles.artid', 'purchase', 'stores.storeaddress', 'types.typeid', 'purchase.revenue', 'stores.storename', 'regions.country']",[],['traintype.capacity'],11,0,0,0.8667,1.0,1.0,16,2,1,1.0,0.931,1.0
exercise-2,sql,rq2-example,2024-11-12T14-23-20,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'label': 'tp', 'to': 'TYPES.typeName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'to': 'ARTICLES.artName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'role': 'type', 'to': 'TYPES.typeId'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.regionName'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.state'}, {'from': 'REGIONS.state', 'label': 'tp', 'to': 'REGIONS.country'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeName'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeAddress'}, {'from': 'STORES.storeId', 'label': 'fp', 'to': 'REGIONS.regId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.quantity'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.revenue'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.unitPrice'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.artId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'STORES.storeId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.date'}]","['types.typename', 'purchase.revenue', 'stores.storeid', 'stores.storeaddress', 'regions.state', 'purchase.quantity', 'regions.regid', 'articles.unitprice', 'articles.artid', 'regions.regionname', 'articles.artname', 'stores.storename', 'purchase.date', 'regions.country', 'types.typeid', 'purchase']",[],['traintype.capacity'],14,1,1,0.9333,0.9333,0.9333,16,2,1,1.0,0.931,1.0
