ex_name,ex_version,ex_prompt_version,timestamp,index,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1
exercise-1,sql,rq3-alg-example,2024-11-12T14-39-56,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierCity'}, {'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierAddress'}, {'from': 'SUPPLIES.Brand', 'label': 'tp', 'to': 'SUPPLIERS.SupplierName'}, {'from': 'COMPUTER.CodComputer', 'label': 'fp', 'to': 'COMPUTER.Brand'}, {'from': 'COMPUTER.CodComputer', 'label': 'tp', 'to': 'COMPUTER.Model'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.SoftwareDescription'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.Type'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'COMPUTER.CodComputer'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'SOFTWARE.CodSoftw'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'INSTALLATIONS.InstallationDate'}]","['supplies.brand', 'computer.codcomputer', 'suppliers.supplieraddress', 'suppliers.suppliername', 'computer.model', 'suppliers.suppliercity', 'software.codsoftw', 'installations.installationdate', 'software.softwaredescription', 'software.type', 'installations']",['computer.brand'],[],9,1,1,0.9,0.9,0.9,11,4,0,0.9167,1.0,0.9565
exercise-1,sql,rq3-alg-example,2024-11-12T14-40-15,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierCity'}, {'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierAddress'}, {'from': 'SUPPLIES.Brand', 'label': 'tp', 'to': 'SUPPLIERS.SupplierName'}, {'from': 'COMPUTER.CodComputer', 'label': 'fp', 'to': 'COMPUTER.Brand'}, {'from': 'COMPUTER.CodComputer', 'label': 'tp', 'to': 'COMPUTER.Model'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.SoftwareDescription'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.Type'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'COMPUTER.CodComputer'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'SOFTWARE.CodSoftw'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'INSTALLATIONS.InstallationDate'}]","['software.codsoftw', 'software.type', 'installations.installationdate', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'software.softwaredescription', 'supplies.brand', 'installations', 'computer.codcomputer', 'computer.model', 'suppliers.suppliername']",['computer.brand'],[],9,1,1,0.9,0.9,0.9,11,4,0,0.9167,1.0,0.9565
exercise-1,sql,rq3-alg-example,2024-11-12T14-40-35,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierCity'}, {'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierAddress'}, {'from': 'SUPPLIES.Brand', 'label': 'tp', 'to': 'SUPPLIERS.SupplierName'}, {'from': 'COMPUTER.CodComputer', 'label': 'tp', 'to': 'COMPUTER.Model'}, {'from': 'COMPUTER.CodComputer', 'label': 'tp', 'to': 'SUPPLIES.Brand'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.SoftwareDescription'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.Type'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'COMPUTER.CodComputer'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'SOFTWARE.CodSoftw'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'INSTALLATIONS.InstallationDate'}]","['suppliers.suppliercity', 'installations.installationdate', 'supplies.brand', 'computer.model', 'installations', 'software.codsoftw', 'software.type', 'suppliers.suppliername', 'computer.codcomputer', 'suppliers.supplieraddress', 'software.softwaredescription']",[],[],10,0,0,1.0,1.0,1.0,11,4,0,1.0,1.0,1.0
exercise-1,sql,rq3-alg-example,2024-11-12T14-40-56,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierCity'}, {'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierAddress'}, {'from': 'SUPPLIES.Brand', 'label': 'tp', 'to': 'SUPPLIERS.SupplierName'}, {'from': 'COMPUTER.CodComputer', 'label': 'fp', 'to': 'COMPUTER.Brand'}, {'from': 'COMPUTER.CodComputer', 'label': 'tp', 'to': 'COMPUTER.Model'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.SoftwareDescription'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.Type'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'COMPUTER.CodComputer'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'SOFTWARE.CodSoftw'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'INSTALLATIONS.InstallationDate'}]","['computer.codcomputer', 'software.softwaredescription', 'suppliers.suppliercity', 'software.type', 'installations.installationdate', 'suppliers.suppliername', 'computer.model', 'installations', 'supplies.brand', 'suppliers.supplieraddress', 'software.codsoftw']",['computer.brand'],[],9,1,1,0.9,0.9,0.9,11,4,0,0.9167,1.0,0.9565
exercise-1,sql,rq3-alg-example,2024-11-12T14-41-19,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierCity'}, {'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierAddress'}, {'from': 'SUPPLIES.Brand', 'label': 'tp', 'to': 'SUPPLIERS.SupplierName'}, {'from': 'COMPUTER.CodComputer', 'label': 'fp', 'to': 'COMPUTER.Brand'}, {'from': 'COMPUTER.CodComputer', 'label': 'tp', 'to': 'COMPUTER.Model'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.SoftwareDescription'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.Type'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'COMPUTER.CodComputer'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'SOFTWARE.CodSoftw'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'INSTALLATIONS.InstallationDate'}]","['software.codsoftw', 'suppliers.suppliercity', 'computer.codcomputer', 'computer.model', 'suppliers.suppliername', 'software.type', 'installations.installationdate', 'suppliers.supplieraddress', 'installations', 'software.softwaredescription', 'supplies.brand']",['computer.brand'],[],9,1,1,0.9,0.9,0.9,11,4,0,0.9167,1.0,0.9565
exercise-2,sql,rq3-alg-example,2024-11-12T14-41-52,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'label': 'tp', 'to': 'TYPES.typeName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'to': 'ARTICLES.artName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'role': 'type', 'to': 'TYPES.typeId'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.regionName'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.state'}, {'from': 'REGIONS.state', 'label': 'tp', 'to': 'REGIONS.country'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeName'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeAddress'}, {'from': 'STORES.storeId', 'label': 'fp', 'to': 'REGIONS.regId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.quantity'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.revenue'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.unitPrice'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.artId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'STORES.storeId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.date'}]","['regions.state', 'stores.storename', 'stores.storeid', 'regions.regid', 'articles.unitprice', 'regions.country', 'purchase.revenue', 'purchase', 'purchase.date', 'types.typeid', 'articles.artname', 'regions.regionname', 'stores.storeaddress', 'articles.artid', 'types.typename', 'purchase.quantity']",[],[],16,1,1,0.9333,0.9333,0.9333,16,4,0,1.0,1.0,1.0
exercise-2,sql,rq3-alg-example,2024-11-12T14-42-16,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'label': 'tp', 'to': 'TYPES.typeName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'to': 'ARTICLES.artName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'role': 'type', 'to': 'TYPES.typeId'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.regionName'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.state'}, {'from': 'REGIONS.state', 'label': 'tp', 'to': 'REGIONS.country'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeName'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeAddress'}, {'from': 'STORES.storeId', 'label': 'fp', 'to': 'REGIONS.regId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.quantity'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.revenue'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.unitPrice'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.artId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'STORES.storeId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.date'}]","['purchase.quantity', 'regions.regid', 'articles.artid', 'articles.unitprice', 'regions.regionname', 'stores.storeid', 'purchase', 'types.typename', 'articles.artname', 'stores.storeaddress', 'regions.country', 'regions.state', 'stores.storename', 'purchase.revenue', 'types.typeid', 'purchase.date']",[],[],16,1,1,0.9333,0.9333,0.9333,16,4,0,1.0,1.0,1.0
exercise-2,sql,rq3-alg-example,2024-11-12T14-42-36,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'label': 'tp', 'to': 'TYPES.typeName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'to': 'ARTICLES.artName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'role': 'type', 'to': 'TYPES.typeId'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.regionName'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.state'}, {'from': 'REGIONS.state', 'label': 'tp', 'to': 'REGIONS.country'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeName'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeAddress'}, {'from': 'STORES.storeId', 'label': 'fp', 'to': 'REGIONS.regId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.quantity'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.revenue'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.unitPrice'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.artId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'STORES.storeId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.date'}]","['stores.storename', 'regions.country', 'regions.state', 'purchase', 'stores.storeaddress', 'types.typename', 'stores.storeid', 'purchase.quantity', 'regions.regionname', 'regions.regid', 'articles.unitprice', 'purchase.date', 'types.typeid', 'articles.artid', 'articles.artname', 'purchase.revenue']",[],[],16,1,1,0.9333,0.9333,0.9333,16,4,0,1.0,1.0,1.0
exercise-2,sql,rq3-alg-example,2024-11-12T14-42-56,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'label': 'tp', 'to': 'TYPES.typeName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'to': 'ARTICLES.artName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'role': 'type', 'to': 'TYPES.typeId'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.regionName'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.state'}, {'from': 'REGIONS.state', 'label': 'tp', 'to': 'REGIONS.country'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeName'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeAddress'}, {'from': 'STORES.storeId', 'label': 'fp', 'to': 'REGIONS.regId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.quantity'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.revenue'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.unitPrice'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.artId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'STORES.storeId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.date'}]","['regions.regionname', 'purchase.revenue', 'purchase.date', 'stores.storeaddress', 'articles.unitprice', 'articles.artname', 'types.typename', 'purchase', 'regions.state', 'articles.artid', 'types.typeid', 'purchase.quantity', 'regions.country', 'stores.storename', 'regions.regid', 'stores.storeid']",[],[],16,1,1,0.9333,0.9333,0.9333,16,4,0,1.0,1.0,1.0
exercise-2,sql,rq3-alg-example,2024-11-12T14-43-20,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'label': 'tp', 'to': 'TYPES.typeName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'to': 'ARTICLES.artName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'role': 'type', 'to': 'TYPES.typeId'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.regionName'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.state'}, {'from': 'REGIONS.state', 'label': 'tp', 'to': 'REGIONS.country'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeName'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeAddress'}, {'from': 'STORES.storeId', 'label': 'fp', 'to': 'REGIONS.regId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.quantity'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.revenue'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.unitPrice'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.artId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'STORES.storeId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.date'}]","['articles.artname', 'stores.storeaddress', 'purchase.revenue', 'purchase.date', 'regions.country', 'articles.unitprice', 'purchase', 'regions.regid', 'regions.regionname', 'types.typeid', 'types.typename', 'stores.storename', 'stores.storeid', 'regions.state', 'articles.artid', 'purchase.quantity']",[],[],16,1,1,0.9333,0.9333,0.9333,16,4,0,1.0,1.0,1.0
