ex_name,ex_version,ex_prompt_version,timestamp,index,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1
exercise-1,sql,rq3-dec-example,2024-11-12T14-59-25,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierCity'}, {'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierAddress'}, {'from': 'SUPPLIES.Brand', 'label': 'tp', 'to': 'SUPPLIERS.SupplierName'}, {'from': 'COMPUTER.CodComputer', 'label': 'tp', 'to': 'COMPUTER.Model'}, {'from': 'COMPUTER.CodComputer', 'label': 'tp', 'to': 'SUPPLIES.Brand'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.SoftwareDescription'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.Type'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'COMPUTER.CodComputer'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'SOFTWARE.CodSoftw'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'INSTALLATIONS.InstallationDate'}]","['installations.installationdate', 'software.type', 'computer.model', 'suppliers.suppliercity', 'software.softwaredescription', 'suppliers.suppliername', 'computer.codcomputer', 'supplies.brand', 'suppliers.supplieraddress', 'installations', 'software.codsoftw']",[],[],10,0,0,1.0,1.0,1.0,11,3,0,1.0,1.0,1.0
exercise-1,sql,rq3-dec-example,2024-11-12T14-59-45,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierCity'}, {'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierAddress'}, {'from': 'SUPPLIES.Brand', 'label': 'tp', 'to': 'SUPPLIERS.SupplierName'}, {'from': 'COMPUTER.CodComputer', 'label': 'tp', 'to': 'COMPUTER.Model'}, {'from': 'COMPUTER.CodComputer', 'label': 'tp', 'to': 'SUPPLIES.Brand'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.SoftwareDescription'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.Type'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'COMPUTER.CodComputer'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'SOFTWARE.CodSoftw'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'INSTALLATIONS.InstallationDate'}]","['installations.installationdate', 'suppliers.suppliername', 'computer.codcomputer', 'installations', 'supplies.brand', 'software.codsoftw', 'suppliers.supplieraddress', 'software.softwaredescription', 'computer.model', 'suppliers.suppliercity', 'software.type']",[],[],10,0,0,1.0,1.0,1.0,11,3,0,1.0,1.0,1.0
exercise-1,sql,rq3-dec-example,2024-11-12T15-00-05,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierCity'}, {'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierAddress'}, {'from': 'SUPPLIES.Brand', 'label': 'tp', 'to': 'SUPPLIERS.SupplierName'}, {'from': 'COMPUTER.CodComputer', 'label': 'tp', 'to': 'COMPUTER.Model'}, {'from': 'COMPUTER.CodComputer', 'label': 'tp', 'to': 'SUPPLIES.Brand'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.SoftwareDescription'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.Type'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'COMPUTER.CodComputer'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'SOFTWARE.CodSoftw'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'INSTALLATIONS.InstallationDate'}]","['suppliers.suppliername', 'computer.model', 'suppliers.supplieraddress', 'software.codsoftw', 'supplies.brand', 'installations', 'installations.installationdate', 'software.type', 'computer.codcomputer', 'suppliers.suppliercity', 'software.softwaredescription']",[],[],10,0,0,1.0,1.0,1.0,11,3,0,1.0,1.0,1.0
exercise-1,sql,rq3-dec-example,2024-11-12T15-00-24,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierCity'}, {'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierAddress'}, {'from': 'SUPPLIES.Brand', 'label': 'tp', 'to': 'SUPPLIERS.SupplierName'}, {'from': 'COMPUTER.CodComputer', 'label': 'tp', 'to': 'COMPUTER.Model'}, {'from': 'COMPUTER.CodComputer', 'label': 'tp', 'to': 'SUPPLIES.Brand'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.SoftwareDescription'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.Type'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'COMPUTER.CodComputer'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'SOFTWARE.CodSoftw'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'INSTALLATIONS.InstallationDate'}]","['computer.model', 'suppliers.supplieraddress', 'computer.codcomputer', 'suppliers.suppliername', 'suppliers.suppliercity', 'supplies.brand', 'installations.installationdate', 'installations', 'software.softwaredescription', 'software.codsoftw', 'software.type']",[],[],10,0,0,1.0,1.0,1.0,11,3,0,1.0,1.0,1.0
exercise-1,sql,rq3-dec-example,2024-11-12T15-00-44,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,INSTALLATIONS,,"[{'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierCity'}, {'from': 'SUPPLIERS.SupplierName', 'label': 'tp', 'to': 'SUPPLIERS.SupplierAddress'}, {'from': 'SUPPLIES.Brand', 'label': 'tp', 'to': 'SUPPLIERS.SupplierName'}, {'from': 'COMPUTER.CodComputer', 'label': 'tp', 'to': 'COMPUTER.Model'}, {'from': 'COMPUTER.CodComputer', 'label': 'tp', 'to': 'SUPPLIES.Brand'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.SoftwareDescription'}, {'from': 'SOFTWARE.CodSoftw', 'label': 'tp', 'to': 'SOFTWARE.Type'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'COMPUTER.CodComputer'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'SOFTWARE.CodSoftw'}, {'from': 'INSTALLATIONS', 'label': 'tp', 'to': 'INSTALLATIONS.InstallationDate'}]","['computer.codcomputer', 'software.type', 'suppliers.supplieraddress', 'software.codsoftw', 'installations', 'installations.installationdate', 'suppliers.suppliercity', 'suppliers.suppliername', 'computer.model', 'supplies.brand', 'software.softwaredescription']",[],[],10,0,0,1.0,1.0,1.0,11,3,0,1.0,1.0,1.0
exercise-2,sql,rq3-dec-example,2024-11-12T15-01-03,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'label': 'tp', 'to': 'TYPES.typeName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'to': 'ARTICLES.artName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'role': 'type', 'to': 'TYPES.typeId'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.regionName'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.state'}, {'from': 'REGIONS.state', 'label': 'tp', 'to': 'REGIONS.country'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeName'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeAddress'}, {'from': 'STORES.storeId', 'label': 'fp', 'to': 'REGIONS.regId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.quantity'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.revenue'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.unitPrice'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.artId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'STORES.storeId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.date'}]","['types.typename', 'regions.regid', 'articles.unitprice', 'purchase', 'types.typeid', 'purchase.date', 'regions.country', 'regions.regionname', 'purchase.revenue', 'articles.artname', 'stores.storeid', 'articles.artid', 'stores.storeaddress', 'regions.state', 'purchase.quantity', 'stores.storename']",[],[],14,1,1,0.9333,0.9333,0.9333,16,3,0,1.0,1.0,1.0
exercise-2,sql,rq3-dec-example,2024-11-12T15-01-24,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'label': 'tp', 'to': 'TYPES.typeName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'to': 'ARTICLES.artName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'role': 'type', 'to': 'TYPES.typeId'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.regionName'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.state'}, {'from': 'REGIONS.state', 'label': 'tp', 'to': 'REGIONS.country'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeName'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeAddress'}, {'from': 'STORES.storeId', 'label': 'fp', 'to': 'REGIONS.regId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.quantity'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.revenue'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.unitPrice'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.artId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'STORES.storeId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.date'}]","['articles.unitprice', 'purchase.revenue', 'stores.storeid', 'regions.regionname', 'purchase.quantity', 'regions.country', 'stores.storename', 'articles.artname', 'purchase', 'regions.state', 'purchase.date', 'articles.artid', 'types.typename', 'types.typeid', 'stores.storeaddress', 'regions.regid']",[],[],14,1,1,0.9333,0.9333,0.9333,16,3,0,1.0,1.0,1.0
exercise-2,sql,rq3-dec-example,2024-11-12T15-01-55,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'label': 'tp', 'to': 'TYPES.typeName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'to': 'ARTICLES.artName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'role': 'type', 'to': 'TYPES.typeId'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.regionName'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.state'}, {'from': 'REGIONS.state', 'label': 'tp', 'to': 'REGIONS.country'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeName'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeAddress'}, {'from': 'STORES.storeId', 'label': 'fp', 'to': 'REGIONS.regId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.quantity'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.revenue'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.unitPrice'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.artId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'STORES.storeId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.date'}]","['regions.country', 'regions.regionname', 'purchase.date', 'regions.state', 'types.typename', 'articles.unitprice', 'regions.regid', 'stores.storeaddress', 'purchase.quantity', 'purchase.revenue', 'stores.storeid', 'purchase', 'stores.storename', 'articles.artid', 'articles.artname', 'types.typeid']",[],[],14,1,1,0.9333,0.9333,0.9333,16,3,0,1.0,1.0,1.0
exercise-2,sql,rq3-dec-example,2024-11-12T15-02-17,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'label': 'tp', 'to': 'TYPES.typeName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'to': 'ARTICLES.artName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'role': 'type', 'to': 'TYPES.typeId'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.regionName'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.state'}, {'from': 'REGIONS.state', 'label': 'tp', 'to': 'REGIONS.country'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeName'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeAddress'}, {'from': 'STORES.storeId', 'label': 'fp', 'to': 'REGIONS.regId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.quantity'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.revenue'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.unitPrice'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.artId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'STORES.storeId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.date'}]","['types.typename', 'regions.country', 'regions.regionname', 'regions.state', 'purchase.revenue', 'articles.unitprice', 'regions.regid', 'purchase.quantity', 'stores.storeaddress', 'stores.storename', 'stores.storeid', 'types.typeid', 'purchase', 'articles.artname', 'purchase.date', 'articles.artid']",[],[],14,1,1,0.9333,0.9333,0.9333,16,3,0,1.0,1.0,1.0
exercise-2,sql,rq3-dec-example,2024-11-12T15-02-38,1,gpt,gpt4o,gpt-4o,2024-04-01-preview,0.1,,1,,0.9,5,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'label': 'tp', 'to': 'TYPES.typeName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'to': 'ARTICLES.artName'}, {'from': 'ARTICLES.artId', 'label': 'tp', 'role': 'type', 'to': 'TYPES.typeId'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.regionName'}, {'from': 'REGIONS.regId', 'label': 'tp', 'to': 'REGIONS.state'}, {'from': 'REGIONS.state', 'label': 'tp', 'to': 'REGIONS.country'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeName'}, {'from': 'STORES.storeId', 'label': 'tp', 'to': 'STORES.storeAddress'}, {'from': 'STORES.storeId', 'label': 'fp', 'to': 'REGIONS.regId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.quantity'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.revenue'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.unitPrice'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'ARTICLES.artId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'STORES.storeId'}, {'from': 'PURCHASE', 'label': 'tp', 'to': 'PURCHASE.date'}]","['purchase.date', 'purchase', 'purchase.revenue', 'stores.storeid', 'articles.unitprice', 'stores.storeaddress', 'purchase.quantity', 'articles.artid', 'stores.storename', 'types.typeid', 'regions.regionname', 'types.typename', 'regions.country', 'regions.regid', 'articles.artname', 'regions.state']",[],[],14,1,1,0.9333,0.9333,0.9333,16,3,0,1.0,1.0,1.0
