ex_name,ex_version,ex_prompt_version,ex_number,timestamp,index,time,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1,errors_dependencies_reversed,errors_dependencies_missing,errors_dependencies_extra,errors_measures_missing,errors_measures_extra,errors_fact_incorrect,errors_fact_false_fact,errors_attributes_shared_missing,errors_attributes_shared_extra,errors_attributes_shared_with_fact_root_missing,errors_attributes_shared_with_fact_root_extra,errors_miscellaneous_extra_disconnected_components,errors_miscellaneous_extra_tags
exercise-1,sql,rq3-dec,1,2025-07-23T22-51-28,1,124.6441,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,INSTALLATIONS,['SOFTWARE.SoftwareDescription'],"[{'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['suppliers.suppliername', 'computer.codcomputer', 'installations.installationdate', 'software.type', 'supplies.brand', 'software.codsoftw', 'installations', 'computer.model']","['computer.brand', 'software.softwaredescription', 'supplies.suppliername']","['suppliers.supplieraddress', 'suppliers.suppliercity', 'software.softwaredescription']",6,4,3,0.6667,0.6,0.6316,8,3,3,0.7273,0.7273,0.7273,0,4,3,0,1,False,1,0,0,0,0,1,False
exercise-1,sql,rq3-dec,1,2025-07-23T22-53-24,1,116.1386,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,INSTALLATIONS,['COMPUTER.Model'],"[{'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['suppliers.suppliername', 'computer.codcomputer', 'software.softwaredescription', 'installations.installationdate', 'software.type', 'supplies.brand', 'software.codsoftw', 'installations']","['computer.model', 'computer.brand', 'supplies.suppliername']","['computer.model', 'suppliers.supplieraddress', 'suppliers.suppliercity']",5,5,4,0.5556,0.5,0.5263,8,3,3,0.7273,0.7273,0.7273,0,5,4,0,1,False,0,0,0,0,0,0,False
exercise-1,sql,rq3-dec,1,2025-07-23T22-55-19,1,115.1293,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,INSTALLATIONS,['SOFTWARE.SoftwareDescription'],"[{'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['suppliers.suppliername', 'computer.codcomputer', 'installations.installationdate', 'software.type', 'supplies.brand', 'software.codsoftw', 'installations', 'computer.model']","['computer.brand', 'software.softwaredescription', 'supplies.suppliername']","['suppliers.supplieraddress', 'suppliers.suppliercity', 'software.softwaredescription']",6,4,3,0.6667,0.6,0.6316,8,3,3,0.7273,0.7273,0.7273,0,4,3,0,1,False,1,0,0,0,0,1,False
exercise-1,sql,rq3-dec,1,2025-07-23T22-57-29,1,130.0105,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,INSTALLATIONS,['SOFTWARE.SoftwareDescription'],"[{'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['suppliers.suppliername', 'computer.codcomputer', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'installations.installationdate', 'software.type', 'supplies.brand', 'software.codsoftw', 'installations', 'computer.model']","['computer.brand', 'software.softwaredescription', 'supplies.suppliername']",['software.softwaredescription'],6,4,5,0.5455,0.6,0.5714,10,1,3,0.7692,0.9091,0.8333,0,4,5,0,1,False,1,0,0,0,0,1,False
exercise-1,sql,rq3-dec,1,2025-07-23T22-59-39,1,130.5429,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,INSTALLATIONS,['SOFTWARE.SoftwareDescription'],"[{'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'tp'}]","['suppliers.suppliername', 'computer.codcomputer', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'installations.installationdate', 'software.type', 'supplies.brand', 'software.codsoftw', 'installations', 'computer.model']","['computer.brand', 'software.softwaredescription', 'supplies.suppliername']",['software.softwaredescription'],8,2,3,0.7273,0.8,0.7619,10,1,3,0.7692,0.9091,0.8333,0,2,3,0,1,False,1,0,0,0,0,1,False
exercise-2,sql,rq3-dec,2,2025-07-23T23-02-17,1,157.4904,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'to': 'TYPES.typeName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.artName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'TYPES.typeId', 'role': 'type', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.regionName', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.state', 'label': 'tp'}, {'from': 'REGIONS.state', 'to': 'REGIONS.country', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeName', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeAddress', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'REGIONS.regId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.artId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'STORES.storeId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.date', 'label': 'tp'}]","['articles.artname', 'purchase.quantity', 'purchase.revenue', 'types.typename', 'purchase.date', 'stores.storeaddress', 'regions.regionname', 'regions.regid', 'articles.artid', 'types.typeid', 'purchase', 'regions.country', 'stores.storename', 'stores.storeid', 'articles.unitprice', 'regions.state']",[],[],14,1,1,0.9333,0.9333,0.9333,16,0,0,1.0,1.0,1.0,0,1,1,0,0,False,0,0,0,0,0,0,False
exercise-2,sql,rq3-dec,2,2025-07-23T23-04-54,1,157.1318,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'to': 'TYPES.typeName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.artName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'TYPES.typeId', 'role': 'type', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.regionName', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.state', 'label': 'tp'}, {'from': 'REGIONS.state', 'to': 'REGIONS.country', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeName', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeAddress', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'REGIONS.regId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.artId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'STORES.storeId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.date', 'label': 'tp'}]","['articles.artname', 'purchase.quantity', 'purchase.revenue', 'types.typename', 'purchase.date', 'stores.storeaddress', 'regions.regionname', 'regions.regid', 'articles.artid', 'types.typeid', 'purchase', 'regions.country', 'stores.storename', 'stores.storeid', 'articles.unitprice', 'regions.state']",[],[],14,1,1,0.9333,0.9333,0.9333,16,0,0,1.0,1.0,1.0,0,1,1,0,0,False,0,0,0,0,0,0,False
exercise-2,sql,rq3-dec,2,2025-07-23T23-07-31,1,156.4266,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'to': 'TYPES.typeName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.artName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'TYPES.typeId', 'role': 'type', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.regionName', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.state', 'label': 'tp'}, {'from': 'REGIONS.state', 'to': 'REGIONS.country', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeName', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeAddress', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'REGIONS.regId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.artId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'STORES.storeId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.date', 'label': 'tp'}]","['articles.artname', 'purchase.quantity', 'purchase.revenue', 'types.typename', 'purchase.date', 'stores.storeaddress', 'regions.regionname', 'regions.regid', 'articles.artid', 'types.typeid', 'purchase', 'regions.country', 'stores.storename', 'stores.storeid', 'articles.unitprice', 'regions.state']",[],[],14,1,1,0.9333,0.9333,0.9333,16,0,0,1.0,1.0,1.0,0,1,1,0,0,False,0,0,0,0,0,0,False
exercise-2,sql,rq3-dec,2,2025-07-23T23-10-08,1,156.9460,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'to': 'TYPES.typeName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.artName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'TYPES.typeId', 'role': 'type', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.regionName', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.state', 'label': 'tp'}, {'from': 'REGIONS.state', 'to': 'REGIONS.country', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeName', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeAddress', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'REGIONS.regId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.artId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'STORES.storeId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.date', 'label': 'tp'}]","['articles.artname', 'purchase.quantity', 'purchase.revenue', 'types.typename', 'purchase.date', 'stores.storeaddress', 'regions.regionname', 'regions.regid', 'articles.artid', 'types.typeid', 'purchase', 'regions.country', 'stores.storename', 'stores.storeid', 'articles.unitprice', 'regions.state']",[],[],14,1,1,0.9333,0.9333,0.9333,16,0,0,1.0,1.0,1.0,0,1,1,0,0,False,0,0,0,0,0,0,False
exercise-2,sql,rq3-dec,2,2025-07-23T23-12-44,1,156.2738,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'to': 'TYPES.typeName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.artName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'TYPES.typeId', 'role': 'type', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.regionName', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.state', 'label': 'tp'}, {'from': 'REGIONS.state', 'to': 'REGIONS.country', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeName', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeAddress', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'REGIONS.regId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.artId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'STORES.storeId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.date', 'label': 'tp'}]","['articles.artname', 'purchase.quantity', 'purchase.revenue', 'types.typename', 'purchase.date', 'stores.storeaddress', 'regions.regionname', 'regions.regid', 'articles.artid', 'types.typeid', 'purchase', 'regions.country', 'stores.storename', 'stores.storeid', 'articles.unitprice', 'regions.state']",[],[],14,1,1,0.9333,0.9333,0.9333,16,0,0,1.0,1.0,1.0,0,1,1,0,0,False,0,0,0,0,0,0,False
