ex_name,ex_version,ex_prompt_version,ex_number,timestamp,index,time,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1,errors_dependencies_reversed,errors_dependencies_missing,errors_dependencies_extra,errors_measures_missing,errors_measures_extra,errors_fact_incorrect,errors_fact_false_fact,errors_attributes_shared_missing,errors_attributes_shared_extra,errors_attributes_shared_with_fact_root_missing,errors_attributes_shared_with_fact_root_extra,errors_miscellaneous_extra_disconnected_components,errors_miscellaneous_extra_tags
exercise-1,sql,rq3-dec,1,2025-07-23T12-53-04,1,126.2678,llama-3.1-8B-inst-hf,lama3.1-8-inst,,,0.2,,,,0.9,,INSTALLATIONS,"['COMPUTER.Model', 'SOFTWARE.Type', 'SUPPLIERS.SupplierCity', 'SUPPLIERS.SupplierAddress']","[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'COMPUTER.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.Type', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'SUPPLIERS.SupplierCity', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'fp'}]","['computer.codcomputer', 'suppliers.suppliername', 'supplies.brand', 'software.codsoftw', 'installations', 'software.softwaredescription']","['computer.brand', 'computer.model', 'suppliers.supplieraddress', 'supplies.suppliername', 'suppliers.suppliercity', 'software.type']","['computer.model', 'installations.installationdate', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'software.type']",6,4,8,0.4286,0.6,0.5,6,5,6,0.5,0.5455,0.5217,0,4,8,0,4,False,0,0,3,0,3,0,False
exercise-1,sql,rq3-dec,1,2025-07-23T12-54-55,1,110.7925,llama-3.1-8B-inst-hf,lama3.1-8-inst,,,0.2,,,,0.9,,INSTALLATIONS,"['COMPUTER.Model', 'SOFTWARE.SoftwareDescription', 'SOFTWARE.Type']","[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'COMPUTER.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.Type', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}]","['computer.codcomputer', 'suppliers.suppliername', 'suppliers.supplieraddress', 'supplies.brand', 'suppliers.suppliercity', 'software.codsoftw', 'installations']","['computer.brand', 'computer.model', 'supplies.suppliername', 'software.type', 'software.softwaredescription']","['installations.installationdate', 'software.softwaredescription', 'computer.model', 'software.type']",7,3,6,0.5385,0.7,0.6087,7,4,5,0.5833,0.6364,0.6087,0,3,6,0,3,False,0,0,2,0,2,0,False
exercise-1,sql,rq3-dec,1,2025-07-23T12-56-41,1,106.0048,llama-3.1-8B-inst-hf,lama3.1-8-inst,,,0.2,,,,0.9,,INSTALLATIONS,"['COMPUTER.Model', 'SOFTWARE.SoftwareDescription', 'SOFTWARE.Type']","[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'COMPUTER.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}]","['computer.codcomputer', 'suppliers.suppliername', 'suppliers.supplieraddress', 'supplies.brand', 'suppliers.suppliercity', 'software.codsoftw', 'installations']","['computer.brand', 'computer.model', 'supplies.suppliername', 'software.type', 'software.softwaredescription']","['installations.installationdate', 'software.softwaredescription', 'computer.model', 'software.type']",6,4,6,0.5,0.6,0.5455,7,4,5,0.5833,0.6364,0.6087,0,4,6,0,3,False,0,0,1,0,1,0,False
exercise-1,sql,rq3-dec,1,2025-07-23T12-58-25,1,104.2140,llama-3.1-8B-inst-hf,lama3.1-8-inst,,,0.2,,,,0.9,,INSTALLATIONS,"['COMPUTER.Model', 'SOFTWARE.Type', 'SUPPLIERS.SupplierCity', 'SUPPLIERS.SupplierAddress']","[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'COMPUTER.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.Type', 'label': 'fp'}]","['computer.codcomputer', 'suppliers.suppliername', 'supplies.brand', 'software.codsoftw', 'installations', 'software.softwaredescription']","['computer.brand', 'computer.model', 'suppliers.supplieraddress', 'supplies.suppliername', 'suppliers.suppliercity', 'software.type']","['computer.model', 'installations.installationdate', 'suppliers.supplieraddress', 'suppliers.suppliercity', 'software.type']",6,4,5,0.5455,0.6,0.5714,6,5,6,0.5,0.5455,0.5217,0,4,5,0,4,False,1,0,1,0,1,1,False
exercise-1,sql,rq3-dec,1,2025-07-23T13-00-08,1,103.1222,llama-3.1-8B-inst-hf,lama3.1-8-inst,,,0.2,,,,0.9,,INSTALLATIONS,"['COMPUTER.Model', 'SOFTWARE.SoftwareDescription', 'SOFTWARE.Type']","[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierCity', 'label': 'tp'}, {'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierAddress', 'label': 'tp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'COMPUTER.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.CodSoftw', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER.CodComputer', 'label': 'tp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE.Type', 'label': 'fp'}]","['computer.codcomputer', 'suppliers.suppliername', 'suppliers.supplieraddress', 'supplies.brand', 'suppliers.suppliercity', 'software.codsoftw', 'installations']","['computer.brand', 'computer.model', 'supplies.suppliername', 'software.type', 'software.softwaredescription']","['installations.installationdate', 'software.softwaredescription', 'computer.model', 'software.type']",6,4,6,0.5,0.6,0.5455,7,4,5,0.5833,0.6364,0.6087,0,4,6,0,3,False,1,0,2,0,2,1,False
exercise-2,sql,rq3-dec,2,2025-07-23T13-02-14,1,125.5742,llama-3.1-8B-inst-hf,lama3.1-8-inst,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'to': 'TYPES.typeName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.artName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'TYPES.typeId', 'role': 'type', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.regionName', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.state', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.country', 'label': 'fp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeName', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeAddress', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'REGIONS.regId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.artId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'STORES.storeId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.date', 'label': 'tp'}]","['types.typename', 'regions.regid', 'regions.state', 'stores.storeid', 'stores.storename', 'regions.regionname', 'stores.storeaddress', 'purchase.date', 'articles.artname', 'purchase.revenue', 'articles.unitprice', 'purchase', 'articles.artid', 'regions.country', 'types.typeid', 'purchase.quantity']",[],[],13,2,2,0.8667,0.8667,0.8667,16,0,0,1.0,1.0,1.0,0,2,2,0,0,False,0,0,0,0,0,0,False
exercise-2,sql,rq3-dec,2,2025-07-23T13-04-19,1,125.1250,llama-3.1-8B-inst-hf,lama3.1-8-inst,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'to': 'TYPES.typeName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.artName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'TYPES.typeId', 'role': 'type', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.regionName', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.state', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.country', 'label': 'fp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeName', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeAddress', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'REGIONS.regId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.artId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'STORES.storeId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.date', 'label': 'tp'}]","['types.typename', 'regions.regid', 'regions.state', 'stores.storeid', 'stores.storename', 'regions.regionname', 'stores.storeaddress', 'purchase.date', 'articles.artname', 'purchase.revenue', 'articles.unitprice', 'purchase', 'articles.artid', 'regions.country', 'types.typeid', 'purchase.quantity']",[],[],13,2,2,0.8667,0.8667,0.8667,16,0,0,1.0,1.0,1.0,0,2,2,0,0,False,0,0,0,0,0,0,False
exercise-2,sql,rq3-dec,2,2025-07-23T13-06-24,1,124.7130,llama-3.1-8B-inst-hf,lama3.1-8-inst,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'to': 'TYPES.typeName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.artName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'TYPES.typeId', 'role': 'type', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.regionName', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.state', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.country', 'label': 'fp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeName', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeAddress', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'REGIONS.regId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.artId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'STORES.storeId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.date', 'label': 'tp'}]","['types.typename', 'regions.regid', 'regions.state', 'stores.storeid', 'stores.storename', 'regions.regionname', 'stores.storeaddress', 'purchase.date', 'articles.artname', 'purchase.revenue', 'articles.unitprice', 'purchase', 'articles.artid', 'regions.country', 'types.typeid', 'purchase.quantity']",[],[],13,2,2,0.8667,0.8667,0.8667,16,0,0,1.0,1.0,1.0,0,2,2,0,0,False,0,0,0,0,0,0,False
exercise-2,sql,rq3-dec,2,2025-07-23T13-08-29,1,125.4932,llama-3.1-8B-inst-hf,lama3.1-8-inst,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'to': 'TYPES.typeName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.artName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'TYPES.typeId', 'role': 'type', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.regionName', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.state', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.country', 'label': 'fp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeName', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeAddress', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'REGIONS.regId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.artId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'STORES.storeId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.date', 'label': 'tp'}]","['types.typename', 'regions.regid', 'regions.state', 'stores.storeid', 'stores.storename', 'regions.regionname', 'stores.storeaddress', 'purchase.date', 'articles.artname', 'purchase.revenue', 'articles.unitprice', 'purchase', 'articles.artid', 'regions.country', 'types.typeid', 'purchase.quantity']",[],[],13,2,2,0.8667,0.8667,0.8667,16,0,0,1.0,1.0,1.0,0,2,2,0,0,False,0,0,0,0,0,0,False
exercise-2,sql,rq3-dec,2,2025-07-23T13-10-39,1,129.4177,llama-3.1-8B-inst-hf,lama3.1-8-inst,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.revenue', 'ARTICLES.unitPrice', 'PURCHASE.quantity']","[{'from': 'REGIONS.regId', 'to': 'REGIONS.regionName', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.state', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.country', 'label': 'fp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeName', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeAddress', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'REGIONS.regId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.artId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'STORES.storeId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.date', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.artName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'TYPES.typeId', 'label': 'fp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.unitPrice', 'label': 'fp'}, {'from': 'TYPES.typeId', 'to': 'TYPES.typeName', 'label': 'tp'}]","['types.typename', 'regions.regid', 'regions.state', 'stores.storeid', 'stores.storename', 'regions.regionname', 'stores.storeaddress', 'purchase.date', 'articles.artname', 'purchase.revenue', 'articles.unitprice', 'purchase', 'articles.artid', 'regions.country', 'types.typeid', 'purchase.quantity']",[],[],12,3,4,0.75,0.8,0.7742,16,0,0,1.0,1.0,1.0,0,3,4,0,0,False,0,0,1,0,1,0,False
