ex_name,ex_version,ex_prompt_version,ex_number,timestamp,index,time,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1,errors_dependencies_reversed,errors_dependencies_missing,errors_dependencies_extra,errors_measures_missing,errors_measures_extra,errors_fact_incorrect,errors_fact_false_fact,errors_attributes_shared_missing,errors_attributes_shared_extra,errors_attributes_shared_with_fact_root_missing,errors_attributes_shared_with_fact_root_extra,errors_miscellaneous_extra_disconnected_components,errors_miscellaneous_extra_tags
exercise-1,sql,rq3-dec,1,2025-07-23T19-28-33,1,62.3554,llama-3.2-3B-inst-hf,lama3.2-3-inst,,,0.2,,,,0.9,,INSTALLATIONS,"['COMPUTER.Brand', 'SOFTWARE.Type', 'SUPPLIES.SupplierName']","[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Description', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'SOFTWARE.Description', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'fp'}]","['computer.codcomputer', 'computer.model', 'supplies.brand', 'installations', 'software.codsoftw', 'suppliers.suppliername']","['software.type', 'computer.brand', 'software.description', 'installations.codsoftw', 'supplies.suppliername', 'installations.codcomputer']","['software.type', 'installations.installationdate', 'suppliers.suppliercity', 'suppliers.supplieraddress', 'software.softwaredescription']",1,9,11,0.0833,0.1,0.0909,6,5,6,0.5,0.5455,0.5217,0,9,11,0,3,False,3,0,4,0,0,1,False
exercise-1,sql,rq3-dec,1,2025-07-23T19-29-22,1,49.2369,llama-3.2-3B-inst-hf,lama3.2-3-inst,,,0.2,,,,0.9,,INSTALLATIONS,"['COMPUTER.Model', 'SOFTWARE.Type', 'SUPPLIES.SupplierName']","[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}]","['computer.codcomputer', 'supplies.brand', 'installations.installationdate', 'installations', 'software.codsoftw']","['software.type', 'computer.brand', 'computer.model', 'installations.codsoftw', 'supplies.suppliername', 'installations.codcomputer']","['software.type', 'computer.model', 'suppliers.suppliercity', 'suppliers.supplieraddress', 'suppliers.suppliername', 'software.softwaredescription']",1,9,9,0.1,0.1,0.1,5,6,6,0.4545,0.4545,0.4545,0,9,9,0,3,False,3,0,3,0,0,1,False
exercise-1,sql,rq3-dec,1,2025-07-23T19-30-16,1,54.3010,llama-3.2-3B-inst-hf,lama3.2-3-inst,,,0.2,,,,0.9,,INSTALLATIONS,"['COMPUTER.Model', 'SOFTWARE.Type', 'SUPPLIES.SupplierName']","[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierAddress', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.Model', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}]","['installations', 'computer.codcomputer', 'software.codsoftw', 'supplies.brand']","['supplies.supplieraddress', 'supplies.suppliercity', 'software.type', 'computer.brand', 'computer.model', 'installations.codsoftw', 'supplies.suppliername', 'installations.codcomputer']","['software.type', 'computer.model', 'installations.installationdate', 'suppliers.suppliercity', 'suppliers.supplieraddress', 'suppliers.suppliername', 'software.softwaredescription']",2,8,10,0.1667,0.2,0.1818,4,7,8,0.3333,0.3636,0.3478,0,8,10,0,3,False,1,0,2,0,0,2,False
exercise-1,sql,rq3-dec,1,2025-07-23T19-31-17,1,60.7833,llama-3.2-3B-inst-hf,lama3.2-3-inst,,,0.2,,,,0.9,,INSTALLATIONS,"['COMPUTER.Model', 'SOFTWARE.Type', 'SUPPLIES.SupplierName']","[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierAddress', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}]","['installations', 'computer.codcomputer', 'software.codsoftw', 'supplies.brand']","['supplies.supplieraddress', 'supplies.suppliercity', 'software.type', 'computer.brand', 'computer.model', 'installations.codsoftw', 'supplies.suppliername', 'installations.codcomputer']","['software.type', 'computer.model', 'installations.installationdate', 'suppliers.suppliercity', 'suppliers.supplieraddress', 'suppliers.suppliername', 'software.softwaredescription']",1,9,13,0.0714,0.1,0.0833,4,7,8,0.3333,0.3636,0.3478,1,8,12,0,3,False,1,0,4,0,0,1,False
exercise-1,sql,rq3-dec,1,2025-07-23T19-32-20,1,63.1447,llama-3.2-3B-inst-hf,lama3.2-3-inst,,,0.2,,,,0.9,,INSTALLATION,"['COMPUTER.Brand', 'SOFTWARE.Type', 'SUPPLIES.SupplierName']","[{'from': 'SUPPLIES.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'SUPPLIES.SupplierName', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.SupplierName', 'label': 'fp'}, {'from': 'COMPUTER.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.CodComputer', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'COMPUTER.Brand', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.Type', 'label': 'tp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'COMPUTER.CodComputer', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'SOFTWARE.CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'INSTALLATIONS.CodComputer', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'INSTALLATIONS.CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodComputer', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'fp'}, {'from': 'INSTALLATIONS.CodSoftw', 'to': 'INSTALLATIONS.InstallationDate', 'label': 'fp'}]","['computer.codcomputer', 'computer.model', 'supplies.brand', 'installations.installationdate', 'software.codsoftw', 'software.softwaredescription']","['software.type', 'computer.brand', 'installation', 'installations.codsoftw', 'supplies.suppliername', 'installations.codcomputer']","['software.type', 'suppliers.suppliercity', 'installations', 'suppliers.supplieraddress', 'suppliers.suppliername']",2,8,13,0.1333,0.2,0.16,6,5,6,0.5,0.5455,0.5217,0,8,13,0,3,True,1,0,5,0,0,1,False
exercise-2,sql,rq3-dec,2,2025-07-23T19-33-38,1,77.9616,llama-3.2-3B-inst-hf,lama3.2-3-inst,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.revenue', 'PURCHASE.quantity']","[{'from': 'TYPES.typeId', 'to': 'TYPES.typeName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.artName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.unitPrice', 'label': 'fp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.type', 'label': 'fp'}, {'from': 'ARTICLES.type', 'to': 'TYPES.typeId', 'label': 'fp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.regionName', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.state', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.country', 'label': 'fp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeName', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeAddress', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'REGIONS.regId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.artId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.type', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'STORES.storeId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'STORES.storeAddress', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'REGIONS.regId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'REGIONS.state', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'REGIONS.country', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.date', 'label': 'tp'}]","['purchase.revenue', 'regions.regionname', 'stores.storeaddress', 'articles.artname', 'articles.artid', 'regions.regid', 'purchase.date', 'purchase.quantity', 'purchase', 'types.typename', 'regions.state', 'stores.storeid', 'stores.storename', 'regions.country', 'types.typeid']","['articles.type', 'articles.unitprice']",['articles.unitprice'],12,3,10,0.5455,0.8,0.6486,15,1,2,0.8824,0.9375,0.9091,0,3,10,1,0,False,0,0,6,0,6,0,False
exercise-2,sql,rq3-dec,2,2025-07-23T19-34-38,1,59.1284,llama-3.2-3B-inst-hf,lama3.2-3-inst,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.revenue', 'PURCHASE.quantity']","[{'from': 'PURCHASE.storeId', 'to': 'STORES.storeId', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'STORES.storeName', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'STORES.storeAddress', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'REGIONS.regId', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'REGIONS.regionName', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'REGIONS.state', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'REGIONS.country', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'ARTICLES.artName', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'ARTICLES.unitPrice', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'ARTICLES.type', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'TYPES.typeId', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'TYPES.typeName', 'label': 'fp'}, {'from': 'PURCHASE.date', 'to': 'PURCHASE.quantity', 'label': 'fp'}, {'from': 'PURCHASE.date', 'to': 'PURCHASE.revenue', 'label': 'fp'}]","['purchase.revenue', 'types.typename', 'regions.regionname', 'stores.storeaddress', 'articles.artname', 'regions.regid', 'purchase.date', 'purchase.quantity', 'purchase', 'regions.country', 'regions.state', 'stores.storeid', 'stores.storename', 'types.typeid']","['articles.type', 'articles.unitprice', 'purchase.artid', 'purchase.storeid']","['articles.unitprice', 'articles.artid']",0,15,14,0.0,0.0,0,14,2,4,0.7778,0.875,0.8235,0,15,14,1,0,False,3,0,0,0,0,2,False
exercise-2,sql,rq3-dec,2,2025-07-23T19-35-33,1,55.3455,llama-3.2-3B-inst-hf,lama3.2-3-inst,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.revenue', 'PURCHASE.quantity']","[{'from': 'PURCHASE.storeId', 'to': 'STORES.storeId', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'STORES.storeName', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'STORES.storeAddress', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'REGIONS.regId,REGIONS.state,REGIONS.country', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'ARTICLES.artId', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'ARTICLES.artName', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'ARTICLES.unitPrice', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'ARTICLES.type', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'TYPES.typeId', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'TYPES.typeName', 'label': 'fp'}, {'from': 'PURCHASE.date', 'to': 'PURCHASE.quantity', 'label': 'fp'}, {'from': 'PURCHASE.date', 'to': 'PURCHASE.revenue', 'label': 'fp'}]","['purchase.revenue', 'stores.storeaddress', 'articles.artname', 'articles.artid', 'purchase.date', 'purchase.quantity', 'purchase', 'types.typename', 'stores.storeid', 'stores.storename', 'types.typeid']","['purchase.storeid', 'articles.type', 'purchase.artid', 'regions.country,regions.regid,regions.state', 'articles.unitprice']","['regions.regionname', 'regions.country', 'regions.regid', 'regions.state', 'articles.unitprice']",0,15,12,0.0,0.0,0,11,5,5,0.6875,0.6875,0.6875,0,15,12,1,0,False,3,0,0,0,0,2,False
exercise-2,sql,rq3-dec,2,2025-07-23T19-36-28,1,55.2550,llama-3.2-3B-inst-hf,lama3.2-3-inst,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.revenue', 'PURCHASE.quantity']","[{'from': 'PURCHASE.storeId', 'to': 'STORES.storeId', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'STORES.storeName', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'STORES.storeAddress', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'REGIONS.regId,REGIONS.state,REGIONS.country', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'ARTICLES.artId', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'ARTICLES.artName', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'ARTICLES.unitPrice', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'ARTICLES.type', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'TYPES.typeId', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'TYPES.typeName', 'label': 'fp'}, {'from': 'PURCHASE.date', 'to': 'PURCHASE.quantity', 'label': 'fp'}, {'from': 'PURCHASE.date', 'to': 'PURCHASE.revenue', 'label': 'fp'}]","['purchase.revenue', 'stores.storeaddress', 'articles.artname', 'articles.artid', 'purchase.date', 'purchase.quantity', 'purchase', 'types.typename', 'stores.storeid', 'stores.storename', 'types.typeid']","['purchase.storeid', 'articles.type', 'purchase.artid', 'regions.country,regions.regid,regions.state', 'articles.unitprice']","['regions.regionname', 'regions.country', 'regions.regid', 'regions.state', 'articles.unitprice']",0,15,12,0.0,0.0,0,11,5,5,0.6875,0.6875,0.6875,0,15,12,1,0,False,3,0,0,0,0,2,False
exercise-2,sql,rq3-dec,2,2025-07-23T19-37-23,1,55.1077,llama-3.2-3B-inst-hf,lama3.2-3-inst,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.revenue', 'PURCHASE.quantity']","[{'from': 'PURCHASE.storeId', 'to': 'STORES.storeId', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'STORES.storeName', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'STORES.storeAddress', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'REGIONS.regId,REGIONS.state', 'label': 'fp'}, {'from': 'PURCHASE.storeId', 'to': 'REGIONS.regionName', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'ARTICLES.artName', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'ARTICLES.unitPrice', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'ARTICLES.type', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'TYPES.typeId', 'label': 'fp'}, {'from': 'PURCHASE.artId', 'to': 'TYPES.typeName', 'label': 'fp'}, {'from': 'PURCHASE.date', 'to': 'PURCHASE.quantity', 'label': 'fp'}, {'from': 'PURCHASE.date', 'to': 'PURCHASE.revenue', 'label': 'fp'}]","['purchase.revenue', 'regions.regionname', 'stores.storeaddress', 'articles.artname', 'purchase.date', 'purchase.quantity', 'purchase', 'types.typename', 'stores.storeid', 'stores.storename', 'types.typeid']","['purchase.storeid', 'articles.type', 'purchase.artid', 'regions.regid,regions.state', 'articles.unitprice']","['articles.artid', 'regions.country', 'regions.regid', 'regions.state', 'articles.unitprice']",0,15,12,0.0,0.0,0,11,5,5,0.6875,0.6875,0.6875,0,15,12,1,0,False,3,0,0,0,0,2,False
