ex_name,ex_version,ex_prompt_version,ex_number,timestamp,index,time,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1,errors_dependencies_reversed,errors_dependencies_missing,errors_dependencies_extra,errors_measures_missing,errors_measures_extra,errors_fact_incorrect,errors_fact_false_fact,errors_attributes_shared_missing,errors_attributes_shared_extra,errors_attributes_shared_with_fact_root_missing,errors_attributes_shared_with_fact_root_extra,errors_miscellaneous_extra_disconnected_components,errors_miscellaneous_extra_tags
exercise-1,sql,rq3-dec,1,2025-07-24T03-01-57,1,106.6665,mistral-7B-inst-v0.3-hf,mistral-7-inst,,,0.2,,,,0.9,,INSTALLATIONS,['INSTALLATIONS.InstallationDate'],"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.Model', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.Type', 'to': 'SOFTWARE.Type', 'label': 'fp'}]","['installations', 'software.softwaredescription', 'supplies.brand', 'suppliers.suppliername', 'software.codsoftw', 'computer.model', 'software.type']","['installations.installationdate', 'computer.brand']","['installations.installationdate', 'suppliers.suppliercity', 'suppliers.supplieraddress', 'computer.codcomputer']",1,9,5,0.1667,0.1,0.125,7,4,2,0.7778,0.6364,0.7,0,9,5,0,1,False,1,0,0,0,0,5,False
exercise-1,sql,rq3-dec,1,2025-07-24T03-03-39,1,102.4062,mistral-7B-inst-v0.3-hf,mistral-7-inst,,,0.2,,,,0.9,,INSTALLATIONS,['INSTALLATIONS.InstallationDate'],"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.Model', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.Type', 'to': 'SOFTWARE.Type', 'label': 'fp'}]","['installations', 'software.softwaredescription', 'supplies.brand', 'suppliers.suppliername', 'software.codsoftw', 'computer.model', 'software.type']","['installations.installationdate', 'computer.brand']","['installations.installationdate', 'suppliers.suppliercity', 'suppliers.supplieraddress', 'computer.codcomputer']",1,9,5,0.1667,0.1,0.125,7,4,2,0.7778,0.6364,0.7,0,9,5,0,1,False,1,0,0,0,0,5,False
exercise-1,sql,rq3-dec,1,2025-07-24T03-05-20,1,100.8828,mistral-7B-inst-v0.3-hf,mistral-7-inst,,,0.2,,,,0.9,,INSTALLATIONS,['INSTALLATIONS.InstallationDate'],"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.Model', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.Type', 'to': 'SOFTWARE.Type', 'label': 'fp'}]","['installations', 'software.softwaredescription', 'supplies.brand', 'suppliers.suppliername', 'software.codsoftw', 'computer.model', 'software.type']","['installations.installationdate', 'computer.brand']","['installations.installationdate', 'suppliers.suppliercity', 'suppliers.supplieraddress', 'computer.codcomputer']",1,9,5,0.1667,0.1,0.125,7,4,2,0.7778,0.6364,0.7,0,9,5,0,1,False,1,0,0,0,0,5,False
exercise-1,sql,rq3-dec,1,2025-07-24T03-07-00,1,99.6601,mistral-7B-inst-v0.3-hf,mistral-7-inst,,,0.2,,,,0.9,,INSTALLATIONS,['INSTALLATIONS.InstallationDate'],"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.Model', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.Type', 'to': 'SOFTWARE.Type', 'label': 'fp'}]","['installations', 'software.softwaredescription', 'supplies.brand', 'suppliers.suppliername', 'software.codsoftw', 'computer.model', 'software.type']","['installations.installationdate', 'computer.brand']","['installations.installationdate', 'suppliers.suppliercity', 'suppliers.supplieraddress', 'computer.codcomputer']",1,9,5,0.1667,0.1,0.125,7,4,2,0.7778,0.6364,0.7,0,9,5,0,1,False,1,0,0,0,0,5,False
exercise-1,sql,rq3-dec,1,2025-07-24T03-08-39,1,99.1815,mistral-7B-inst-v0.3-hf,mistral-7-inst,,,0.2,,,,0.9,,INSTALLATIONS,['INSTALLATIONS.InstallationDate'],"[{'from': 'SUPPLIERS.SupplierName', 'to': 'SUPPLIERS.SupplierName', 'label': 'fp'}, {'from': 'SUPPLIES.Brand', 'to': 'SUPPLIES.Brand', 'label': 'fp'}, {'from': 'COMPUTER.Brand', 'to': 'COMPUTER.Brand', 'label': 'fp'}, {'from': 'COMPUTER.Model', 'to': 'COMPUTER.Model', 'label': 'fp'}, {'from': 'SOFTWARE.CodSoftw', 'to': 'SOFTWARE.SoftwareDescription', 'label': 'tp'}, {'from': 'SOFTWARE.Type', 'to': 'SOFTWARE.Type', 'label': 'fp'}]","['installations', 'software.softwaredescription', 'supplies.brand', 'suppliers.suppliername', 'software.codsoftw', 'computer.model', 'software.type']","['installations.installationdate', 'computer.brand']","['installations.installationdate', 'suppliers.suppliercity', 'suppliers.supplieraddress', 'computer.codcomputer']",1,9,5,0.1667,0.1,0.125,7,4,2,0.7778,0.6364,0.7,0,9,5,0,1,False,1,0,0,0,0,5,False
exercise-2,sql,rq3-dec,2,2025-07-24T03-11-18,1,158.6098,mistral-7B-inst-v0.3-hf,mistral-7-inst,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'to': 'TYPES.typeName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.artName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'TYPES.typeId', 'label': 'fp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.regionName', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.state', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.country', 'label': 'fp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeName', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeAddress', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'REGIONS.regId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.artId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'STORES.storeId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.date', 'label': 'tp'}]","['purchase.quantity', 'articles.artid', 'stores.storeid', 'purchase.revenue', 'regions.regionname', 'purchase', 'types.typeid', 'purchase.date', 'types.typename', 'stores.storename', 'articles.unitprice', 'articles.artname', 'regions.state', 'stores.storeaddress', 'regions.regid', 'regions.country']",[],[],12,3,3,0.8,0.8,0.8,16,0,0,1.0,1.0,1.0,0,3,3,0,0,False,0,0,0,0,0,0,False
exercise-2,sql,rq3-dec,2,2025-07-24T03-13-56,1,158.5767,mistral-7B-inst-v0.3-hf,mistral-7-inst,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'to': 'TYPES.typeName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.artName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'TYPES.typeId', 'label': 'fp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.regionName', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.state', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.country', 'label': 'fp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeName', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeAddress', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'REGIONS.regId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.artId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'STORES.storeId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.date', 'label': 'tp'}]","['purchase.quantity', 'articles.artid', 'stores.storeid', 'purchase.revenue', 'regions.regionname', 'purchase', 'types.typeid', 'purchase.date', 'types.typename', 'stores.storename', 'articles.unitprice', 'articles.artname', 'regions.state', 'stores.storeaddress', 'regions.regid', 'regions.country']",[],[],12,3,3,0.8,0.8,0.8,16,0,0,1.0,1.0,1.0,0,3,3,0,0,False,0,0,0,0,0,0,False
exercise-2,sql,rq3-dec,2,2025-07-24T03-16-35,1,158.4964,mistral-7B-inst-v0.3-hf,mistral-7-inst,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'to': 'TYPES.typeName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.artName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'TYPES.typeId', 'label': 'fp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.regionName', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.state', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.country', 'label': 'fp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeName', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeAddress', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'REGIONS.regId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.artId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'STORES.storeId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.date', 'label': 'tp'}]","['purchase.quantity', 'articles.artid', 'stores.storeid', 'purchase.revenue', 'regions.regionname', 'purchase', 'types.typeid', 'purchase.date', 'types.typename', 'stores.storename', 'articles.unitprice', 'articles.artname', 'regions.state', 'stores.storeaddress', 'regions.regid', 'regions.country']",[],[],12,3,3,0.8,0.8,0.8,16,0,0,1.0,1.0,1.0,0,3,3,0,0,False,0,0,0,0,0,0,False
exercise-2,sql,rq3-dec,2,2025-07-24T03-19-14,1,159.6695,mistral-7B-inst-v0.3-hf,mistral-7-inst,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'to': 'TYPES.typeName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.artName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'TYPES.typeId', 'label': 'fp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.regionName', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.state', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.country', 'label': 'fp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeName', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeAddress', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'REGIONS.regId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.artId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'STORES.storeId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.date', 'label': 'tp'}]","['purchase.quantity', 'articles.artid', 'stores.storeid', 'purchase.revenue', 'regions.regionname', 'purchase', 'types.typeid', 'purchase.date', 'types.typename', 'stores.storename', 'articles.unitprice', 'articles.artname', 'regions.state', 'stores.storeaddress', 'regions.regid', 'regions.country']",[],[],12,3,3,0.8,0.8,0.8,16,0,0,1.0,1.0,1.0,0,3,3,0,0,False,0,0,0,0,0,0,False
exercise-2,sql,rq3-dec,2,2025-07-24T03-21-54,1,159.2164,mistral-7B-inst-v0.3-hf,mistral-7-inst,,,0.2,,,,0.9,,PURCHASE,"['PURCHASE.quantity', 'PURCHASE.revenue', 'ARTICLES.unitPrice']","[{'from': 'TYPES.typeId', 'to': 'TYPES.typeName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'ARTICLES.artName', 'label': 'tp'}, {'from': 'ARTICLES.artId', 'to': 'TYPES.typeId', 'label': 'fp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.regionName', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.state', 'label': 'tp'}, {'from': 'REGIONS.regId', 'to': 'REGIONS.country', 'label': 'fp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeName', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'STORES.storeAddress', 'label': 'tp'}, {'from': 'STORES.storeId', 'to': 'REGIONS.regId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.quantity', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.revenue', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.unitPrice', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'ARTICLES.artId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'STORES.storeId', 'label': 'tp'}, {'from': 'PURCHASE', 'to': 'PURCHASE.date', 'label': 'tp'}]","['purchase.quantity', 'articles.artid', 'stores.storeid', 'purchase.revenue', 'regions.regionname', 'purchase', 'types.typeid', 'purchase.date', 'types.typename', 'stores.storename', 'articles.unitprice', 'articles.artname', 'regions.state', 'stores.storeaddress', 'regions.regid', 'regions.country']",[],[],12,3,3,0.8,0.8,0.8,16,0,0,1.0,1.0,1.0,0,3,3,0,0,False,0,0,0,0,0,0,False
