ex_name,ex_version,ex_prompt_version,ex_number,timestamp,index,time,config_name,config_label,config_deployment,config_api_version,config_temperature,config_max_tokens,config_n_responses,config_stop,config_top_p,config_top_k,fact,measures,dependencies,node_tp,node_fp,node_fn,edges_tp,edges_fn,edges_fp,edges_precision,edges_recall,edges_f1,nodes_tp,nodes_fn,nodes_fp,nodes_precision,nodes_recall,nodes_f1,errors_dependencies_reversed,errors_dependencies_missing,errors_dependencies_extra,errors_measures_missing,errors_measures_extra,errors_fact_incorrect,errors_fact_false_fact,errors_attributes_shared_missing,errors_attributes_shared_extra,errors_attributes_shared_with_fact_root_missing,errors_attributes_shared_with_fact_root_extra,errors_miscellaneous_extra_disconnected_components,errors_miscellaneous_extra_tags
exercise-1,sql,rq5,1,2025-07-25T16-04-56,1,101.6807,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,INSTALLATION,['none'],"[{'from': 'SUPPLIES', 'to': 'SUPPLIERS', 'label': 'fp'}, {'from': 'SUPPLIES', 'to': 'SUPPLIES', 'label': 'fp'}, {'from': 'COMPUTER', 'to': 'SUPPLIES', 'label': 'fp'}, {'from': 'SOFTWARE', 'to': 'SOFTWARE', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'COMPUTER', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'SOFTWARE', 'label': 'fp'}, {'from': 'SUPPLIERS', 'to': 'SupplierName', 'label': 'fp'}, {'from': 'SUPPLIERS', 'to': 'SupplierCity', 'label': 'fp'}, {'from': 'SUPPLIERS', 'to': 'SupplierAddress', 'label': 'fp'}, {'from': 'SUPPLIES', 'to': 'Brand', 'label': 'fp'}, {'from': 'COMPUTER', 'to': 'CodComputer', 'label': 'fp'}, {'from': 'COMPUTER', 'to': 'Brand', 'label': 'fp'}, {'from': 'COMPUTER', 'to': 'Model', 'label': 'fp'}, {'from': 'SOFTWARE', 'to': 'CodSoftw', 'label': 'fp'}, {'from': 'SOFTWARE', 'to': 'SoftwareDescription', 'label': 'fp'}, {'from': 'SOFTWARE', 'to': 'Type', 'label': 'fp'}, {'from': 'INSTALLATIONS', 'to': 'InstallationDate', 'label': 'fp'}]",[],"['computer', 'codcomputer', 'supplieraddress', 'brand', 'installations', 'suppliername', 'installation', 'type', 'codsoftw', 'supplies', 'software', 'installationdate', 'suppliers', 'model', 'softwaredescription', 'none', 'suppliercity']","['suppliers.supplieraddress', 'supplies.brand', 'installations', 'suppliers.suppliername', 'computer.model', 'software.type', 'installations.installationdate', 'software.softwaredescription', 'suppliers.suppliercity', 'software.codsoftw', 'computer.codcomputer']",0,10,17,0.0,0.0,0,0,11,17,0.0,0.0,0,0,10,17,0,1,True,0,0,3,0,0,0,False
exercise-1,sql,rq5,1,2025-07-25T16-06-06,1,69.7120,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,INSTALLATION,['none'],"[{'from': 'CodComputer', 'to': 'Brand', 'label': 'fp'}, {'from': 'CodComputer', 'to': 'Model', 'label': 'fp'}, {'from': 'Brand', 'to': 'SupplierName', 'label': 'fp'}, {'from': 'SupplierName', 'to': 'SupplierCity', 'label': 'fp'}, {'from': 'SupplierName', 'to': 'SupplierAddress', 'label': 'fp'}, {'from': 'CodSoftw', 'to': 'SoftwareDescription', 'label': 'fp'}, {'from': 'CodSoftw', 'to': 'Type', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'CodComputer', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'InstallationDate', 'label': 'fp'}]",[],"['codcomputer', 'supplieraddress', 'brand', 'codsoftw', 'suppliername', 'installation', 'type', 'installationdate', 'model', 'softwaredescription', 'none', 'suppliercity']","['suppliers.supplieraddress', 'supplies.brand', 'installations', 'suppliers.suppliername', 'computer.model', 'software.type', 'installations.installationdate', 'software.softwaredescription', 'suppliers.suppliercity', 'software.codsoftw', 'computer.codcomputer']",0,10,10,0.0,0.0,0,0,11,12,0.0,0.0,0,0,10,10,0,1,True,1,0,0,0,0,0,False
exercise-1,sql,rq5,1,2025-07-25T16-07-27,1,80.7861,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,INSTALLATION,['none'],"[{'from': 'SUPPLIES', 'to': 'SUPPLIERS', 'label': 'fp'}, {'from': 'SUPPLIES', 'to': 'BRAND', 'label': 'fp'}, {'from': 'COMPUTER', 'to': 'BRAND', 'label': 'fp'}, {'from': 'COMPUTER', 'to': 'MODEL', 'label': 'fp'}, {'from': 'SOFTWARE', 'to': 'SOFTWAREDESCRIPTION', 'label': 'fp'}, {'from': 'SOFTWARE', 'to': 'TYPE', 'label': 'fp'}, {'from': 'SUPPLIERS', 'to': 'SUPPLIERCITY', 'label': 'fp'}, {'from': 'SUPPLIERS', 'to': 'SUPPLIERADDRESS', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'CODCOMPUTER', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'CODSOFTWARE', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'INSTALLATIONDATE', 'label': 'fp'}, {'from': 'SUPPLIERS', 'to': 'SUPPLIERNAME', 'label': 'fp'}]",[],"['computer', 'codcomputer', 'supplieraddress', 'brand', 'suppliername', 'installation', 'type', 'supplies', 'codsoftware', 'software', 'installationdate', 'suppliers', 'model', 'softwaredescription', 'none', 'suppliercity']","['suppliers.supplieraddress', 'supplies.brand', 'installations', 'suppliers.suppliername', 'computer.model', 'software.type', 'installations.installationdate', 'software.softwaredescription', 'suppliers.suppliercity', 'software.codsoftw', 'computer.codcomputer']",0,10,12,0.0,0.0,0,0,11,16,0.0,0.0,0,0,10,12,0,1,True,4,0,1,0,0,2,False
exercise-1,sql,rq5,1,2025-07-25T16-09-00,1,93.1788,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,INSTALLATION,['none'],"[{'from': 'SUPPLIES', 'to': 'SUPPLIERS', 'label': 'fp'}, {'from': 'SUPPLIES', 'to': 'BRAND', 'label': 'fp'}, {'from': 'COMPUTER', 'to': 'BRAND', 'label': 'fp'}, {'from': 'COMPUTER', 'to': 'MODEL', 'label': 'fp'}, {'from': 'SOFTWARE', 'to': 'SOFTWAREDESCRIPTION', 'label': 'fp'}, {'from': 'SOFTWARE', 'to': 'TYPE', 'label': 'fp'}, {'from': 'SUPPLIERS', 'to': 'SUPPLIERNAME', 'label': 'fp'}, {'from': 'SUPPLIERS', 'to': 'SUPPLIERCITY', 'label': 'fp'}, {'from': 'SUPPLIERS', 'to': 'SUPPLIERADDRESS', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'CODCOMPUTER', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'CODSOFTWARE', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'INSTALLATIONDATE', 'label': 'fp'}, {'from': 'SUPPLIERS', 'to': 'SUPPLIES', 'label': 'fp'}, {'from': 'COMPUTER', 'to': 'INSTALLATION', 'label': 'fp'}, {'from': 'SOFTWARE', 'to': 'INSTALLATION', 'label': 'fp'}]",[],"['computer', 'codcomputer', 'supplieraddress', 'brand', 'suppliername', 'installation', 'type', 'supplies', 'codsoftware', 'software', 'installationdate', 'suppliers', 'model', 'softwaredescription', 'none', 'suppliercity']","['suppliers.supplieraddress', 'supplies.brand', 'installations', 'suppliers.suppliername', 'computer.model', 'software.type', 'installations.installationdate', 'software.softwaredescription', 'suppliers.suppliercity', 'software.codsoftw', 'computer.codcomputer']",0,10,15,0.0,0.0,0,0,11,16,0.0,0.0,0,0,10,15,0,1,True,2,0,2,0,2,0,False
exercise-1,sql,rq5,1,2025-07-25T16-10-14,1,73.9236,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,INSTALLATION,"['CodComputer', 'CodSoftw']","[{'from': 'CodComputer', 'to': 'Brand', 'label': 'fp'}, {'from': 'CodComputer', 'to': 'Model', 'label': 'fp'}, {'from': 'Brand', 'to': 'SupplierName', 'label': 'fp'}, {'from': 'SupplierName', 'to': 'SupplierCity', 'label': 'fp'}, {'from': 'SupplierName', 'to': 'SupplierAddress', 'label': 'fp'}, {'from': 'CodSoftw', 'to': 'SoftwareDescription', 'label': 'fp'}, {'from': 'CodSoftw', 'to': 'Type', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'CodComputer', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'CodSoftw', 'label': 'fp'}, {'from': 'INSTALLATION', 'to': 'InstallationDate', 'label': 'fp'}]",[],"['codcomputer', 'supplieraddress', 'brand', 'codsoftw', 'suppliername', 'installation', 'type', 'model', 'softwaredescription', 'suppliercity', 'installationdate']","['suppliers.supplieraddress', 'supplies.brand', 'installations', 'suppliers.suppliername', 'computer.model', 'software.type', 'installations.installationdate', 'software.softwaredescription', 'suppliers.suppliercity', 'software.codsoftw', 'computer.codcomputer']",0,10,10,0.0,0.0,0,0,11,11,0.0,0.0,0,0,10,10,0,2,True,1,0,0,0,0,0,False
exercise-2,sql,rq5,2,2025-07-25T16-11-43,1,88.8158,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,PURCHASE,"['quantity', 'revenue']","[{'from': 'artId', 'to': 'artName', 'label': 'fp'}, {'from': 'artId', 'to': 'unitPrice', 'label': 'fp'}, {'from': 'artId', 'to': 'type', 'label': 'fp'}, {'from': 'type', 'to': 'typeName', 'label': 'fp'}, {'from': 'storeId', 'to': 'storeName', 'label': 'fp'}, {'from': 'storeId', 'to': 'storeAddress', 'label': 'fp'}, {'from': 'storeId', 'to': 'region', 'label': 'fp'}, {'from': 'region', 'to': 'regionName', 'label': 'fp'}, {'from': 'region', 'to': 'state', 'label': 'fp'}, {'from': 'region', 'to': 'country', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'quantity', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'revenue', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'artId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'storeId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'date', 'label': 'fp'}]",['purchase'],"['artname', 'storeaddress', 'region', 'artid', 'type', 'revenue', 'date', 'typename', 'storename', 'regionname', 'storeid', 'state', 'country', 'unitprice', 'quantity']","['stores.storename', 'articles.unitprice', 'purchase.revenue', 'articles.artid', 'purchase.date', 'types.typeid', 'regions.regionname', 'articles.artname', 'regions.country', 'purchase.quantity', 'regions.state', 'stores.storeaddress', 'stores.storeid', 'types.typename', 'regions.regid']",0,15,15,0.0,0.0,0,1,15,15,0.0625,0.0625,0.0625,0,15,15,3,2,False,0,0,0,0,0,0,False
exercise-2,sql,rq5,2,2025-07-25T16-13-12,1,88.7652,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,PURCHASE,"['quantity', 'revenue']","[{'from': 'artId', 'to': 'artName', 'label': 'fp'}, {'from': 'artId', 'to': 'unitPrice', 'label': 'fp'}, {'from': 'artId', 'to': 'type', 'label': 'fp'}, {'from': 'type', 'to': 'typeName', 'label': 'fp'}, {'from': 'storeId', 'to': 'storeName', 'label': 'fp'}, {'from': 'storeId', 'to': 'storeAddress', 'label': 'fp'}, {'from': 'storeId', 'to': 'region', 'label': 'fp'}, {'from': 'region', 'to': 'regionName', 'label': 'fp'}, {'from': 'region', 'to': 'state', 'label': 'fp'}, {'from': 'region', 'to': 'country', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'quantity', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'revenue', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'artId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'storeId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'date', 'label': 'fp'}]",['purchase'],"['artname', 'storeaddress', 'region', 'artid', 'type', 'revenue', 'date', 'typename', 'storename', 'regionname', 'storeid', 'state', 'country', 'unitprice', 'quantity']","['stores.storename', 'articles.unitprice', 'purchase.revenue', 'articles.artid', 'purchase.date', 'types.typeid', 'regions.regionname', 'articles.artname', 'regions.country', 'purchase.quantity', 'regions.state', 'stores.storeaddress', 'stores.storeid', 'types.typename', 'regions.regid']",0,15,15,0.0,0.0,0,1,15,15,0.0625,0.0625,0.0625,0,15,15,3,2,False,0,0,0,0,0,0,False
exercise-2,sql,rq5,2,2025-07-25T16-14-41,1,88.9503,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,PURCHASE,"['quantity', 'revenue']","[{'from': 'artId', 'to': 'artName', 'label': 'fp'}, {'from': 'artId', 'to': 'unitPrice', 'label': 'fp'}, {'from': 'artId', 'to': 'type', 'label': 'fp'}, {'from': 'type', 'to': 'typeName', 'label': 'fp'}, {'from': 'storeId', 'to': 'storeName', 'label': 'fp'}, {'from': 'storeId', 'to': 'storeAddress', 'label': 'fp'}, {'from': 'storeId', 'to': 'region', 'label': 'fp'}, {'from': 'region', 'to': 'regionName', 'label': 'fp'}, {'from': 'region', 'to': 'state', 'label': 'fp'}, {'from': 'region', 'to': 'country', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'quantity', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'revenue', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'artId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'storeId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'date', 'label': 'fp'}]",['purchase'],"['artname', 'storeaddress', 'region', 'artid', 'type', 'revenue', 'date', 'typename', 'storename', 'regionname', 'storeid', 'state', 'country', 'unitprice', 'quantity']","['stores.storename', 'articles.unitprice', 'purchase.revenue', 'articles.artid', 'purchase.date', 'types.typeid', 'regions.regionname', 'articles.artname', 'regions.country', 'purchase.quantity', 'regions.state', 'stores.storeaddress', 'stores.storeid', 'types.typename', 'regions.regid']",0,15,15,0.0,0.0,0,1,15,15,0.0625,0.0625,0.0625,0,15,15,3,2,False,0,0,0,0,0,0,False
exercise-2,sql,rq5,2,2025-07-25T16-16-10,1,89.2175,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,PURCHASE,"['quantity', 'revenue']","[{'from': 'artId', 'to': 'artName', 'label': 'fp'}, {'from': 'artId', 'to': 'unitPrice', 'label': 'fp'}, {'from': 'artId', 'to': 'type', 'label': 'fp'}, {'from': 'type', 'to': 'typeName', 'label': 'fp'}, {'from': 'storeId', 'to': 'storeName', 'label': 'fp'}, {'from': 'storeId', 'to': 'storeAddress', 'label': 'fp'}, {'from': 'storeId', 'to': 'region', 'label': 'fp'}, {'from': 'region', 'to': 'regionName', 'label': 'fp'}, {'from': 'region', 'to': 'state', 'label': 'fp'}, {'from': 'region', 'to': 'country', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'quantity', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'revenue', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'artId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'storeId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'date', 'label': 'fp'}]",['purchase'],"['artname', 'storeaddress', 'region', 'artid', 'type', 'revenue', 'date', 'typename', 'storename', 'regionname', 'storeid', 'state', 'country', 'unitprice', 'quantity']","['stores.storename', 'articles.unitprice', 'purchase.revenue', 'articles.artid', 'purchase.date', 'types.typeid', 'regions.regionname', 'articles.artname', 'regions.country', 'purchase.quantity', 'regions.state', 'stores.storeaddress', 'stores.storeid', 'types.typename', 'regions.regid']",0,15,15,0.0,0.0,0,1,15,15,0.0625,0.0625,0.0625,0,15,15,3,2,False,0,0,0,0,0,0,False
exercise-2,sql,rq5,2,2025-07-25T16-17-39,1,88.7602,falcon-3-10B-inst-hf,falcon3-10-inst,,,0.2,,,,0.9,,PURCHASE,"['quantity', 'revenue']","[{'from': 'artId', 'to': 'artName', 'label': 'fp'}, {'from': 'artId', 'to': 'unitPrice', 'label': 'fp'}, {'from': 'artId', 'to': 'type', 'label': 'fp'}, {'from': 'type', 'to': 'typeName', 'label': 'fp'}, {'from': 'storeId', 'to': 'storeName', 'label': 'fp'}, {'from': 'storeId', 'to': 'storeAddress', 'label': 'fp'}, {'from': 'storeId', 'to': 'region', 'label': 'fp'}, {'from': 'region', 'to': 'regionName', 'label': 'fp'}, {'from': 'region', 'to': 'state', 'label': 'fp'}, {'from': 'region', 'to': 'country', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'quantity', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'revenue', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'artId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'storeId', 'label': 'fp'}, {'from': 'PURCHASE', 'to': 'date', 'label': 'fp'}]",['purchase'],"['artname', 'storeaddress', 'region', 'artid', 'type', 'revenue', 'date', 'typename', 'storename', 'regionname', 'storeid', 'state', 'country', 'unitprice', 'quantity']","['stores.storename', 'articles.unitprice', 'purchase.revenue', 'articles.artid', 'purchase.date', 'types.typeid', 'regions.regionname', 'articles.artname', 'regions.country', 'purchase.quantity', 'regions.state', 'stores.storeaddress', 'stores.storeid', 'types.typename', 'regions.regid']",0,15,15,0.0,0.0,0,1,15,15,0.0625,0.0625,0.0625,0,15,15,3,2,False,0,0,0,0,0,0,False
